chunk_id,condition_code,chunk_type,language,text,source_id,source_title,source_url,source_org,license_note,review_status
rag_hypertension_003,hypertension,faq,vi,"Vì sao cần bớt muối khi huyết áp cao? Lý do chính là ăn mặn thường làm lượng natri trong khẩu phần tăng, và điều này có thể khiến cơ thể giữ nước, làm huyết áp khó kiểm soát hơn. Giảm muối không chỉ là nêm nhạt hơn, mà còn là chọn thực phẩm ít chế biến, hạn chế đồ chấm mặn và thử dùng gia vị tạo mùi như hành, tỏi, tiêu, chanh hoặc rau thơm. Câu trả lời này cần được rà soát để phù hợp với khuyến nghị y khoa hiện hành.",aha_sodium_per_day,How Much Sodium Should I Eat Per Day?,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-much-sodium-should-i-eat-per-day,American Heart Association,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_hypertension_004,hypertension,lifestyle,vi,"Trong bữa ăn Việt, nước mắm, nước tương, mắm tôm, mắm nêm, dưa cà muối, đồ kho mặn và các gói gia vị có thể làm tổng lượng muối tăng nhanh dù mỗi lần dùng chỉ một ít. Gợi ý an toàn ở mức giáo dục là giảm dần lượng chấm, pha loãng nước chấm, nêm nhạt từ lúc nấu và tăng vị bằng rau thơm hoặc vị chua tự nhiên. Nội dung này có yếu tố bản địa hóa, vì vậy phải giữ review_status là needs_review để chuyên gia Việt Nam kiểm tra.",aha_shaking_salt_habit,Shaking the Salt Habit to Lower High Blood Pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure,American Heart Association,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_gout_001,gout,explanation,vi,"Gout liên quan đến tình trạng acid uric trong máu tăng và hình thành tinh thể tại khớp, gây các đợt đau, sưng, nóng, đỏ, thường xuất hiện đột ngột. Dinh dưỡng không phải là yếu tố duy nhất, nhưng lựa chọn ăn uống có thể góp phần làm cơn gout dễ bùng phát hơn hoặc khó kiểm soát hơn ở một số người. Bản nháp này chỉ giải thích cơ chế chung, không dùng để chẩn đoán đau khớp hay thay thế xét nghiệm acid uric và đánh giá của bác sĩ.",medlineplus_gout,Gout,https://medlineplus.gov/gout.html,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_gout_002,gout,warning,vi,"Một số thực phẩm giàu purine có thể làm tăng acid uric sau khi chuyển hóa, vì vậy người bị gout thường cần thận trọng với nội tạng, một số loại thịt đỏ, nước hầm đậm đặc và vài loại hải sản. Tuy nhiên, mức độ hạn chế nên dựa trên tình trạng bệnh, thuốc đang dùng và tư vấn của bác sĩ hoặc chuyên gia dinh dưỡng. Không nên biến cảnh báo này thành danh sách cấm tuyệt đối cho mọi người nếu chưa có đánh giá cá nhân.",medlineplus_gout_encyclopedia,Gout Medical Encyclopedia,https://medlineplus.gov/ency/article/000422.htm,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_gout_003,gout,warning,vi,"Rượu bia có thể là yếu tố làm cơn gout dễ xuất hiện hơn ở một số người, đặc biệt khi đi kèm ăn nhiều món giàu purine hoặc uống ít nước. Khi người dùng hỏi về gout, hệ thống nên nhắc rằng giảm hoặc tránh bia rượu là một điểm cần trao đổi nghiêm túc với bác sĩ, nhất là nếu đã có cơn đau khớp tái phát. Đây là cảnh báo tổng quát cần review, không phải lời khẳng định rằng mọi trường hợp đều có cùng mức nguy cơ.",medlineplus_gout,Gout,https://medlineplus.gov/gout.html,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_gout_004,gout,explanation,vi,"Thận đóng vai trò quan trọng trong việc đào thải acid uric, nên gout và vấn đề thận có thể liên quan với nhau trong một số tình huống. Người có acid uric cao, đau khớp tái phát, sỏi thận hoặc bệnh thận mạn cần được theo dõi bởi nhân viên y tế thay vì chỉ tự điều chỉnh thực đơn. Nội dung này nên giúp hệ thống nhận diện nhu cầu tư vấn an toàn: khuyến khích khám, xét nghiệm và không tự ý ngừng thuốc gout nếu đang được kê.",medlineplus_uric_acid_blood,Uric Acid Blood,https://medlineplus.gov/ency/article/003476.htm,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_gout_005,gout,faq,vi,"Người bị gout có ăn hải sản được không? Câu trả lời nên thận trọng: một số hải sản có thể chứa nhiều purine hơn và không phù hợp nếu người dùng đang có cơn gout hoặc acid uric chưa kiểm soát tốt. Tuy vậy, không nên đưa ra lệnh cấm chung cho mọi loại hải sản và mọi người bệnh. Hệ thống nên gợi ý hỏi bác sĩ hoặc chuyên gia dinh dưỡng về loại, lượng và tần suất phù hợp với tình trạng cụ thể.",medlineplus_gout_encyclopedia,Gout Medical Encyclopedia,https://medlineplus.gov/ency/article/000422.htm,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_ckd_001,chronic_kidney_disease,explanation,vi,"Trong bệnh thận mạn, chế độ ăn thường cần chú ý đến huyết áp, lượng muối, tình trạng giữ nước và kết quả xét nghiệm. Giảm natri có thể hỗ trợ kiểm soát huyết áp và phù ở một số người, nhưng nhu cầu chất lỏng không giống nhau giữa các giai đoạn bệnh. Vì vậy, nội dung RAG nên dùng cách nói thận trọng: người bệnh cần theo hướng dẫn của bác sĩ hoặc chuyên gia dinh dưỡng thận học thay vì tự đặt giới hạn cứng cho nước uống hay muối.",nkf_nutrition_ckd_stages_1_5,Nutrition and Kidney Disease Stages 1-5,https://www.kidney.org/kidney-topics/nutrition-and-kidney-disease-stages-1-5-not-dialysis,National Kidney Foundation,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_ckd_002,chronic_kidney_disease,explanation,vi,"Kali là khoáng chất có trong nhiều thực phẩm như trái cây, rau, đậu và một số sản phẩm chế biến. Với bệnh thận mạn, cơ thể có thể khó giữ kali ở mức phù hợp nếu chức năng thận giảm, nhưng không phải ai cũng cần kiêng kali giống nhau. Hệ thống nên khuyến khích người dùng dựa vào xét nghiệm máu và tư vấn chuyên môn trước khi kiêng chuối, cam, khoai hay rau xanh, vì hạn chế sai cách có thể làm bữa ăn nghèo dinh dưỡng.",nkf_potassium_ckd_diet,Potassium in Your CKD Diet,https://www.kidney.org/kidney-topics/potassium-your-ckd-diet,National Kidney Foundation,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_ckd_003,chronic_kidney_disease,explanation,vi,"Phosphorus là khoáng chất có trong nhiều thực phẩm tự nhiên và cũng có thể xuất hiện dưới dạng phụ gia trong đồ chế biến sẵn. Khi bệnh thận mạn tiến triển, việc kiểm soát phosphorus có thể trở thành một phần của kế hoạch dinh dưỡng, nhưng mức cần hạn chế phụ thuộc vào xét nghiệm, giai đoạn bệnh và điều trị. Nội dung nháp nên nhắc người dùng đọc nhãn thực phẩm và hỏi chuyên gia, tránh tự cắt bỏ nhiều nhóm thức ăn khi chưa được hướng dẫn.",medlineplus_ckd_diet,Diet - Chronic Kidney Disease,https://medlineplus.gov/ency/article/002442.htm,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_ckd_004,chronic_kidney_disease,lifestyle,vi,"Nhu cầu protein ở người bệnh thận mạn không cố định cho tất cả mọi người. Một số người chưa lọc máu có thể cần điều chỉnh lượng protein để giảm gánh nặng cho thận, trong khi người đang lọc máu hoặc có tình trạng khác có thể có nhu cầu khác. Vì vậy, hệ thống không nên khuyên tự giảm thịt, cá, trứng, sữa quá mạnh. Câu trả lời an toàn là cần cá nhân hóa theo giai đoạn bệnh, cân nặng, xét nghiệm và hướng dẫn từ đội ngũ điều trị.",nkf_nutrition_ckd_stages_1_5,Nutrition and Kidney Disease Stages 1-5,https://www.kidney.org/kidney-topics/nutrition-and-kidney-disease-stages-1-5-not-dialysis,National Kidney Foundation,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_ckd_005,chronic_kidney_disease,warning,vi,"Cảnh báo quan trọng cho bệnh thận mạn: không nên tự kiêng quá nhiều thực phẩm chỉ dựa trên lời truyền miệng hoặc một chỉ số đơn lẻ. Kiêng kali, phosphorus, protein, muối hoặc nước không đúng cách có thể làm bữa ăn thiếu chất, giảm chất lượng sống hoặc không phù hợp với thuốc và giai đoạn bệnh. Mọi gợi ý từ hệ thống phải được xem là thông tin giáo dục, cần bác sĩ hoặc chuyên gia dinh dưỡng thận học rà soát trước khi áp dụng.",medlineplus_ckd_diet,Diet - Chronic Kidney Disease,https://medlineplus.gov/ency/article/002442.htm,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_obesity_001,obesity,explanation,vi,"Thừa cân và béo phì thường liên quan đến cân bằng năng lượng trong thời gian dài: năng lượng nạp vào từ ăn uống cao hơn năng lượng cơ thể sử dụng. Tuy nhiên, cân nặng còn chịu ảnh hưởng bởi giấc ngủ, stress, môi trường sống, thuốc, bệnh nền và khả năng vận động. Vì vậy, hệ thống nên giải thích bằng giọng không phán xét, tập trung vào thay đổi bền vững thay vì đổ lỗi cá nhân hoặc hứa hẹn giảm cân nhanh.",medlineplus_obesity,Obesity,https://medlineplus.gov/obesity.html,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_obesity_002,obesity,lifestyle,vi,"Quản lý cân nặng nên bắt đầu bằng kế hoạch nhỏ và có thể duy trì: đặt mục tiêu thực tế, theo dõi thói quen ăn uống, tăng vận động phù hợp, ngủ đủ hơn và chuẩn bị môi trường ăn uống lành mạnh hơn. Những thay đổi dần dần thường dễ giữ lâu hơn so với chế độ quá khắt khe. Nội dung này là bản nháp giáo dục sức khỏe, cần được chuyên gia kiểm tra trước khi dùng cho người có bệnh nền, rối loạn ăn uống hoặc đang dùng thuốc.",cdc_steps_losing_weight,Steps for Losing Weight,https://www.cdc.gov/healthy-weight-growth/losing-weight/index.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_obesity_003,obesity,lifestyle,vi,"Một đĩa ăn hỗ trợ kiểm soát cân nặng thường ưu tiên rau, trái cây nguyên dạng, ngũ cốc hoặc tinh bột phù hợp khẩu phần, thực phẩm giàu đạm và chất béo có lợi. Chất xơ và protein có thể giúp no lâu hơn, từ đó giảm nhu cầu ăn vặt nhiều năng lượng. Khi bản địa hóa cho bữa Việt, có thể gợi ý tăng rau, chọn món luộc/hấp, giảm nước chấm ngọt mặn và kiểm soát khẩu phần cơm, nhưng cần review để tránh đơn giản hóa quá mức.",cdc_healthy_eating_weight,Tips for Healthy Eating for a Healthy Weight,https://www.cdc.gov/healthy-weight-growth/healthy-eating/index.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
rag_obesity_004,obesity,warning,vi,"Không nên khuyến khích chế độ ăn cực đoan, nhịn ăn kéo dài, thuốc giảm cân không rõ nguồn gốc hoặc mẹo giảm cân nhanh chưa được kiểm chứng. Những cách này có thể gây thiếu chất, mệt mỏi, rối loạn ăn uống hoặc tương tác với bệnh nền và thuốc đang dùng. Hệ thống nên hướng người dùng đến kế hoạch an toàn, theo dõi tiến triển và hỏi nhân viên y tế nếu cân nặng đi kèm triệu chứng bất thường hoặc bệnh mạn tính.",medlineplus_obesity,Obesity,https://medlineplus.gov/obesity.html,NIH MedlinePlus,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review
