example_id,query,condition_code,language,example_type,source_chunk_ids,review_status,notes
router_ckd_dialysis_014,Tác hại của việc để nồng độ kali trong máu tăng quá cao giữa các lần lọc máu chu kỳ?,ckd_dialysis,vi,medication_safety,medquad_ckd_dialysis_003,auto_validated,medication safety intent
router_ckd_dialysis_015,Chế độ ăn giàu đạm giúp người chạy thận nhân tạo bù đắp lượng protein bị mất như thế nào?,ckd_dialysis,vi,nutrition,medquad_ckd_dialysis_005,auto_validated,nutrition intent
router_ckd_dialysis_016,Khi nào dịch tháo ra bị đục ở người bệnh lọc màng bụng cần liên hệ khẩn cấp với bác sĩ?,ckd_dialysis,vi,symptom_context,medquad_ckd_dialysis_008,auto_validated,treatment context
router_ckd_dialysis_017,dang loc mang bung chu ky thi an kieng the nao,ckd_dialysis,vi,nutrition,ckd_dialysis_009,auto_validated,accentless variation
router_ckd_dialysis_018,vi sao nguoi chay than nhan tao lai hay bi ngua da,ckd_dialysis,vi,symptom_context,vihealthqa_ckd_dialysis_0001,auto_validated,accentless variation
router_ckd_dialysis_019,nguoi chay than kieng gi,ckd_dialysis,vi,nutrition,medquad_ckd_dialysis_006,auto_validated,short colloquial query
router_ckd_dialysis_020,loc mang bung bi dau bung,ckd_dialysis,vi,symptom_context,medquad_ckd_dialysis_008,auto_validated,short colloquial query
router_ckd_g1_001,Chức năng lọc của cầu thận được đánh giá như thế nào ở giai đoạn suy thận mạn G1?,ckd_g1,vi,direct_condition,ckd_g1_001,auto_validated,explicit diagnosis
router_ckd_g1_002,Tại sao chẩn đoán suy thận giai đoạn G1 lại cần thêm bằng chứng tổn thương thận kéo dài trên 3 tháng?,ckd_g1,vi,direct_condition,ckd_g1_002,auto_validated,explicit diagnosis
router_ckd_g1_003,Tần suất thực hiện xét nghiệm nước tiểu và máu định kỳ cho người bệnh thận mạn giai đoạn 1?,ckd_g1,vi,measurement,ckd_g1_003,auto_validated,measurement context
router_ckd_g1_004,Bệnh nhân suy thận giai đoạn G1 có phải hạn chế ăn đạm hay kiêng kali nghiêm ngặt hay chưa?,ckd_g1,vi,nutrition,ckd_g1_004,auto_validated,nutrition intent
router_ckd_g1_005,Tại sao việc đánh giá chuyên khoa thận ban đầu lại quan trọng đối với người bệnh CKD G1?,ckd_g1,vi,direct_condition,ckd_g1_005,auto_validated,treatment context
router_ckd_g1_006,Mối liên quan giữa kiểm soát đường huyết chặt chẽ và khả năng bảo vệ cầu thận ở người bị CKD G1?,ckd_g1,vi,direct_condition,ckd_g1_006,auto_validated,explicit diagnosis
router_ckd_g1_007,Người bệnh thận mạn giai đoạn G1 có cần kiêng chất béo bão hòa từ mỡ động vật không?,ckd_g1,vi,food_restriction,ckd_g1_007,auto_validated,food restriction intent
router_ckd_g1_008,Lượng nước lọc cần bổ sung mỗi ngày đối với người bệnh thận mạn giai đoạn G1 là bao nhiêu?,ckd_g1,vi,nutrition,ckd_g1_008,auto_validated,nutrition intent
router_ckd_g1_009,eGFR trên 90 kèm theo albumin niệu dương tính có phải là suy thận giai đoạn 1 không?,ckd_g1,vi,direct_condition,ckd_g1_002,auto_validated,explicit diagnosis
router_ckd_g1_010,Chế độ ăn nhạt giảm muối hỗ trợ như thế nào cho người bệnh thận mạn giai đoạn G1?,ckd_g1,vi,nutrition,ckd_g1_004,auto_validated,nutrition intent
router_ckd_g1_011,Người suy thận giai đoạn 1 nên xét nghiệm creatinine máu và tổng phân tích nước tiểu bao lâu một lần?,ckd_g1,vi,measurement,ckd_g1_003,auto_validated,measurement context
router_ckd_g1_012,Tại sao kiểm soát huyết áp tối ưu lại giúp làm chậm tiến triển bệnh thận mạn giai đoạn G1?,ckd_g1,vi,direct_condition,ckd_g1_006,auto_validated,explicit diagnosis
router_ckd_g1_013,Hạn chế mỡ động vật giúp bảo vệ mạch máu thận ở bệnh nhân CKD G1 ra sao?,ckd_g1,vi,food_restriction,ckd_g1_007,auto_validated,food restriction intent
router_ckd_g1_014,Tại sao người bệnh thận mạn giai đoạn 1 cần uống đủ từ 1.5 đến 2 lít nước mỗi ngày?,ckd_g1,vi,nutrition,ckd_g1_008,auto_validated,nutrition intent
router_ckd_g1_015,Mục tiêu điều trị chính cho người mới phát hiện bị bệnh thận mạn giai đoạn G1 là gì?,ckd_g1,vi,direct_condition,ckd_g1_005,auto_validated,treatment context
router_ckd_g1_016,Các khuyến nghị về lối sống lành mạnh để phòng ngừa suy giảm eGFR ở người bệnh CKD G1?,ckd_g1,vi,lifestyle,ckd_g1_004,auto_validated,lifestyle intent
router_ckd_g1_017,eGFR tren 90 va albumin nieu cao co phai la suy than giai doan 1,ckd_g1,vi,direct_condition,ckd_g1_002,auto_validated,accentless variation
router_ckd_g1_018,luong nuoc uong hang ngay cho nguoi suy than giai doan G1,ckd_g1,vi,nutrition,ckd_g1_008,auto_validated,accentless variation
router_ckd_g1_019,suy than do 1 kieng gi,ckd_g1,vi,nutrition,ckd_g1_004,auto_validated,short colloquial query
router_ckd_g1_020,uong nuoc o benh than do 1,ckd_g1,vi,nutrition,ckd_g1_008,auto_validated,short colloquial query
router_ckd_g2_001,Chức năng lọc của cầu thận giảm nhẹ ở mức eGFR bao nhiêu đối với người bị CKD G2?,ckd_g2,vi,direct_condition,ckd_g2_001,auto_validated,explicit diagnosis
router_ckd_g2_002,Tại sao chỉ số eGFR từ 60-89 ở người cao tuổi đơn thuần chưa đủ để kết luận suy thận giai đoạn G2?,ckd_g2,vi,direct_condition,ckd_g2_002,auto_validated,explicit diagnosis
router_ckd_g2_003,Người bệnh thận mạn giai đoạn G2 cần thực hiện các xét nghiệm định kỳ nào để theo dõi tiến triển?,ckd_g2,vi,measurement,ckd_g2_003,auto_validated,measurement context
router_ckd_g2_004,Tại sao đái tháo đường và tăng huyết áp lại là hai nguyên nhân hàng đầu làm suy giảm chức năng thận ở giai đoạn G2?,ckd_g2,vi,direct_condition,ckd_g2_004,auto_validated,explicit diagnosis
router_ckd_g2_005,Những nhóm thuốc nào có nguy cơ gây độc cho thận mà người bệnh CKD G2 cần tuyệt đối tránh?,ckd_g2,vi,medication_safety,ckd_g2_005,auto_validated,medication safety intent
router_ckd_g2_006,Mục tiêu kiểm soát huyết áp theo khuyến nghị KDIGO cho bệnh nhân suy thận giai đoạn G2 kèm cao huyết áp?,ckd_g2,vi,direct_condition,ckd_g2_006,auto_validated,explicit diagnosis
router_ckd_g2_007,Nguy cơ lạm dụng thuốc đông y hoặc thảo dược khô đối với bệnh nhân suy thận giai đoạn 2 là gì?,ckd_g2,vi,medication_safety,ckd_g2_007,auto_validated,medication safety intent
router_ckd_g2_008,Chế độ luyện tập thể dục thể thao phù hợp cho người bệnh thận mạn giai đoạn G2?,ckd_g2,vi,exercise,ckd_g2_008,auto_validated,exercise intent
router_ckd_g2_009,eGFR từ 60 đến 89 mL/phút/1.73m2 có ý nghĩa gì đối với chẩn đoán bệnh thận mạn giai đoạn G2?,ckd_g2,vi,direct_condition,ckd_g2_001,auto_validated,explicit diagnosis
router_ckd_g2_010,Bệnh nhân suy thận giai đoạn G2 cần theo dõi nồng độ protein trong nước tiểu định kỳ thế nào?,ckd_g2,vi,measurement,ckd_g2_003,auto_validated,measurement context
router_ckd_g2_011,Tại sao kiểm soát đường huyết tối ưu lại đặc biệt quan trọng để ngăn ngừa tổn thương thận tiến triển ở giai đoạn G2?,ckd_g2,vi,direct_condition,ckd_g2_004,auto_validated,explicit diagnosis
router_ckd_g2_012,Các thuốc kháng viêm giảm đau không kê đơn có an toàn cho người bệnh thận mạn giai đoạn G2 hay không?,ckd_g2,vi,medication_safety,ckd_g2_005,auto_validated,medication safety intent
router_ckd_g2_013,Huyết áp mục tiêu tối đa cho người bệnh CKD G2 để bảo tồn chức năng thận?,ckd_g2,vi,direct_condition,ckd_g2_006,auto_validated,treatment context
router_ckd_g2_014,Tại sao thảo dược khô chưa rõ nguồn gốc lại dễ gây suy thận cấp tiến triển ở giai đoạn G2?,ckd_g2,vi,medication_safety,ckd_g2_007,auto_validated,medication safety intent
router_ckd_g2_015,Người bệnh thận mạn giai đoạn 2 nên tập thể dục nhẹ nhàng bao nhiêu phút mỗi ngày?,ckd_g2,vi,exercise,ckd_g2_008,auto_validated,exercise intent
router_ckd_g2_016,Người già có eGFR bằng 75 nhưng không có tổn thương thận thì có bị coi là suy thận giai đoạn G2 không?,ckd_g2,vi,direct_condition,ckd_g2_002,auto_validated,explicit diagnosis
router_ckd_g2_017,eGFR tu 60 den 89 co phai la suy than giai doan G2 khong,ckd_g2,vi,direct_condition,ckd_g2_001,auto_validated,accentless variation
router_ckd_g2_018,thuoc doc than can tranh cho nguoi suy than do 2,ckd_g2,vi,medication_safety,ckd_g2_005,auto_validated,accentless variation
router_ckd_g2_019,suy than do 2 kieng gi,ckd_g2,vi,direct_condition,ckd_g2_005,auto_validated,short colloquial query
router_ckd_g2_020,tap the duc cho nguoi suy than do 2,ckd_g2,vi,exercise,ckd_g2_008,auto_validated,short colloquial query
router_ckd_g3a_001,Chức năng lọc của thận bị giảm ở mức độ nhẹ đến trung bình với eGFR bao nhiêu ở giai đoạn G3a?,ckd_g3a,vi,direct_condition,ckd_g3a_001,auto_validated,explicit diagnosis
router_ckd_g3a_002,Tại sao bệnh nhân suy thận giai đoạn G3a bắt buộc phải hạn chế muối natri dưới 2000mg mỗi ngày?,ckd_g3a,vi,nutrition,ckd_g3a_003,auto_validated,nutrition intent
router_ckd_g3a_003,Người bệnh thận mạn giai đoạn G3a có cần áp dụng thực đơn kiêng kali một cách tuyệt đối không?,ckd_g3a,vi,nutrition,ckd_g3a_004,auto_validated,nutrition intent
router_ckd_g3a_004,Tại sao phốt pho vô cơ trong chất bảo quản thực phẩm đóng hộp lại nguy hại cho người bị CKD G3a?,ckd_g3a,vi,food_restriction,ckd_g3a_005,auto_validated,food restriction intent
router_ckd_g3a_005,Mức độ quan trọng của việc đồng quản lý tiểu đường và huyết áp ở giai đoạn suy thận G3a?,ckd_g3a,vi,direct_condition,ckd_g3a_006,auto_validated,treatment context
router_ckd_g3a_006,Bệnh nhân thận mạn giai đoạn G3a cần theo dõi chức năng lọc cầu thận tối thiểu mấy lần mỗi năm?,ckd_g3a,vi,measurement,ckd_g3a_007,auto_validated,measurement context
router_ckd_g3a_007,Tác hại của các loại phụ gia phốt pho có trong nước ngọt đối với người bị CKD G3a?,ckd_g3a,vi,food_restriction,ckd_g3a_009,auto_validated,food restriction intent
router_ckd_g3a_008,Hiện tượng thiếu máu do giảm sản xuất hormone erythropoietin có thể bắt đầu ở giai đoạn CKD G3a không?,ckd_g3a,vi,symptom_context,ckd_g3a_010,auto_validated,treatment context
router_ckd_g3a_009,Tại sao người bệnh suy thận giai đoạn G3a phải tránh các loại thuốc cản quang có chứa i-ốt?,ckd_g3a,vi,medication_safety,ckd_g3a_011,auto_validated,medication safety intent
router_ckd_g3a_010,Chỉ số eGFR nằm trong khoảng 45 đến 59 chỉ ra suy thận giai đoạn mấy và cần làm gì?,ckd_g3a,vi,direct_condition,ckd_g3a_001,auto_validated,explicit diagnosis
router_ckd_g3a_011,"Người bệnh CKD G3a cần lưu ý gì khi ăn các thực phẩm giàu muối như dưa muối, mắm tôm?",ckd_g3a,vi,food_restriction,ckd_g3a_003,auto_validated,food restriction intent
router_ckd_g3a_012,Làm thế nào để cá nhân hóa lượng kali nạp vào cho bệnh nhân suy thận giai đoạn 3a?,ckd_g3a,vi,nutrition,ckd_g3a_004,auto_validated,nutrition intent
router_ckd_g3a_013,Xét nghiệm máu định kỳ kiểm tra kali máu cho bệnh nhân CKD G3a bao lâu một lần?,ckd_g3a,vi,measurement,ckd_g3a_007,auto_validated,measurement context
router_ckd_g3a_014,Tại sao chụp CT cắt lớp có cản quang lại bị hạn chế đối với người suy thận độ 3a?,ckd_g3a,vi,medication_safety,ckd_g3a_011,auto_validated,medication safety intent
router_ckd_g3a_015,Chế độ kiểm soát đường huyết tối ưu cho người bệnh đái tháo đường đã tiến triển sang CKD G3a?,ckd_g3a,vi,direct_condition,ckd_g3a_006,auto_validated,treatment context
router_ckd_g3a_016,Phụ gia phốt pho vô cơ ẩn giấu trong thực phẩm nào mà người suy thận 3a cần tránh?,ckd_g3a,vi,food_restriction,ckd_g3a_009,auto_validated,food restriction intent
router_ckd_g3a_017,eGFR tu 45 den 59 co phai suy than giai doan 3a khong,ckd_g3a,vi,direct_condition,ckd_g3a_001,auto_validated,accentless variation
router_ckd_g3a_018,vi sao nguoi benh suy than do 3a can kieng muoi natri,ckd_g3a,vi,nutrition,ckd_g3a_003,auto_validated,accentless variation
router_ckd_g3a_019,suy than do 3a kieng gi,ckd_g3a,vi,nutrition,ckd_g3a_005,auto_validated,short colloquial query
router_ckd_g3a_020,eGFR cho suy than do 3a,ckd_g3a,vi,measurement,ckd_g3a_007,auto_validated,short colloquial query
router_ckd_g3b_001,Chức năng lọc của thận bị suy giảm mức độ trung bình đến nặng với chỉ số eGFR bao nhiêu ở giai đoạn G3b?,ckd_g3b,vi,direct_condition,ckd_g3b_001,auto_validated,explicit diagnosis
router_ckd_g3b_002,Tại sao người bệnh thận mạn giai đoạn G3b cần hạn chế natri nghiêm ngặt dưới 2g mỗi ngày?,ckd_g3b,vi,nutrition,ckd_g3b_003,auto_validated,nutrition intent
router_ckd_g3b_003,Khi nồng độ kali trong máu vượt ngưỡng an toàn ở bệnh nhân CKD G3b thì cần kiêng những gì?,ckd_g3b,vi,nutrition,ckd_g3b_004,auto_validated,nutrition intent
router_ckd_g3b_004,Tại sao người bệnh suy thận giai đoạn G3b cần bắt đầu hạn chế phốt pho từ thực phẩm tự nhiên?,ckd_g3b,vi,food_restriction,ckd_g3b_005,auto_validated,food restriction intent
router_ckd_g3b_005,Tần suất theo dõi y khoa định kỳ tối thiểu mỗi năm cho người bệnh thận mạn giai đoạn G3b?,ckd_g3b,vi,measurement,ckd_g3b_006,auto_validated,measurement context
router_ckd_g3b_006,Tại sao việc làm việc với chuyên gia dinh dưỡng tiết chế lại cần thiết ở giai đoạn suy thận G3b?,ckd_g3b,vi,direct_condition,ckd_g3b_007,auto_validated,treatment context
router_ckd_g3b_007,Các dấu hiệu cho thấy nồng độ kali trong máu của người bệnh CKD G3b tăng cao quá mức?,ckd_g3b,vi,symptom_context,ckd_g3b_009,auto_validated,treatment context
router_ckd_g3b_008,Tại sao bệnh nhân thận mạn giai đoạn G3b thường bị giảm hấp thu canxi do thiếu hụt vitamin D hoạt tính?,ckd_g3b,vi,direct_condition,ckd_g3b_010,auto_validated,explicit diagnosis
router_ckd_g3b_009,Tại sao bác sĩ cần rà soát và điều chỉnh liều lượng thuốc metformin đang dùng của bệnh nhân suy thận G3b?,ckd_g3b,vi,medication_safety,ckd_g3b_011,auto_validated,medication safety intent
router_ckd_g3b_010,eGFR từ 30 đến 44 chỉ ra tình trạng suy thận giai đoạn mấy và nguy cơ của nó?,ckd_g3b,vi,direct_condition,ckd_g3b_001,auto_validated,explicit diagnosis
router_ckd_g3b_011,Người bị suy thận giai đoạn 3b có cần kiêng hoàn toàn các loại trái cây nhiều kali không?,ckd_g3b,vi,nutrition,ckd_g3b_004,auto_validated,nutrition intent
router_ckd_g3b_012,Phốt pho tự nhiên trong thực phẩm nào mà người bệnh CKD G3b cần bắt đầu cắt giảm?,ckd_g3b,vi,food_restriction,ckd_g3b_005,auto_validated,food restriction intent
router_ckd_g3b_013,Xét nghiệm máu định kỳ kiểm tra kali và calci cho bệnh nhân suy thận giai đoạn G3b bao lâu một lần?,ckd_g3b,vi,measurement,ckd_g3b_006,auto_validated,measurement context
router_ckd_g3b_014,Tại sao thiếu hụt vitamin D hoạt tính lại ảnh hưởng đến xương của người bệnh CKD G3b?,ckd_g3b,vi,direct_condition,ckd_g3b_010,auto_validated,explicit diagnosis
router_ckd_g3b_015,Rà soát điều chỉnh các thuốc thải qua thận đối với bệnh nhân suy thận giai đoạn 3b?,ckd_g3b,vi,medication_safety,ckd_g3b_011,auto_validated,medication safety intent
router_ckd_g3b_016,Chế độ ăn giảm natri nghiêm ngặt dưới 5g muối ăn mỗi ngày cho người bệnh CKD G3b?,ckd_g3b,vi,nutrition,ckd_g3b_003,auto_validated,nutrition intent
router_ckd_g3b_017,eGFR tu 30 den 44 co phai suy than giai doan 3b khong,ckd_g3b,vi,direct_condition,ckd_g3b_001,auto_validated,accentless variation
router_ckd_g3b_018,tai sao suy than do 3b can chinh lieu thuoc metformin,ckd_g3b,vi,medication_safety,ckd_g3b_011,auto_validated,accentless variation
router_ckd_g3b_019,suy than do 3b kieng gi,ckd_g3b,vi,nutrition,ckd_g3b_005,auto_validated,short colloquial query
router_ckd_g3b_020,metformin cho suy than do 3b,ckd_g3b,vi,medication_safety,ckd_g3b_011,auto_validated,short colloquial query
router_ckd_g4_001,Chức năng lọc của thận bị suy giảm nghiêm trọng với eGFR bao nhiêu ở giai đoạn CKD G4?,ckd_g4,vi,direct_condition,ckd_g4_001,auto_validated,explicit diagnosis
router_ckd_g4_002,Nguyên tắc hạn chế natri dưới 2000mg mỗi ngày có vai trò gì đối với người bệnh CKD G4?,ckd_g4,vi,nutrition,ckd_g4_003,auto_validated,nutrition intent
router_ckd_g4_003,Nguy cơ tăng kali máu đe dọa tính mạng gây loạn nhịp tim ở bệnh nhân suy thận giai đoạn G4?,ckd_g4,vi,symptom_context,ckd_g4_004,auto_validated,treatment context
router_ckd_g4_004,Tại sao kiểm soát lượng phốt pho nạp vào lại cực kỳ quan trọng đối với người bệnh CKD G4?,ckd_g4,vi,food_restriction,ckd_g4_005,auto_validated,food restriction intent
router_ckd_g4_005,Làm thế nào để cá nhân hóa lượng nước uống hàng ngày cho bệnh nhân suy thận giai đoạn G4?,ckd_g4,vi,nutrition,ckd_g4_006,auto_validated,nutrition intent
router_ckd_g4_006,Tại sao người bệnh CKD G4 cần chuẩn bị trước kế hoạch và thông tin điều trị thay thế thận?,ckd_g4,vi,direct_condition,ckd_g4_007,auto_validated,treatment context
router_ckd_g4_007,Lợi ích của việc chuyển gửi sớm bệnh nhân CKD G4 đến bác sĩ chuyên khoa thận học?,ckd_g4,vi,direct_condition,ckd_g4_008,auto_validated,treatment context
router_ckd_g4_008,Hiện tượng toan chuyển hóa do giảm thải axit qua nước tiểu ở giai đoạn suy thận G4 là gì?,ckd_g4,vi,symptom_context,ckd_g4_009,auto_validated,treatment context
router_ckd_g4_009,Tại sao bệnh nhân suy thận giai đoạn G4 được khuyến nghị tiêm phòng viêm gan B từ sớm?,ckd_g4,vi,medication_safety,ckd_g4_010,auto_validated,medication safety intent
router_ckd_g4_010,Làm thế nào để bảo vệ các tĩnh mạch ở vùng cổ tay và cánh tay cho người bệnh CKD G4?,ckd_g4,vi,direct_condition,ckd_g4_011,auto_validated,treatment context
router_ckd_g4_011,Tại sao tần suất theo dõi nồng độ kali trong máu ở giai đoạn suy thận G4 cần được tăng lên?,ckd_g4,vi,measurement,ckd_g4_012,auto_validated,measurement context
router_ckd_g4_012,Rối loạn khoáng chất xương CKD-MBD gây đau nhức xương khớp ở người bệnh G4 thế nào?,ckd_g4,vi,symptom_context,ckd_g4_013,auto_validated,treatment context
router_ckd_g4_013,Chỉ số eGFR nằm trong khoảng 15 đến 29 biểu thị suy thận giai đoạn mấy và cần lưu ý gì?,ckd_g4,vi,direct_condition,ckd_g4_001,auto_validated,explicit diagnosis
router_ckd_g4_014,Người bệnh suy thận độ 4 cần kiêng những thực phẩm giàu phốt pho nào để tránh ngứa da?,ckd_g4,vi,food_restriction,ckd_g4_005,auto_validated,food restriction intent
router_ckd_g4_015,Tính toán lượng nước uống hàng ngày dựa trên các yếu tố lâm sàng nào cho người bệnh CKD G4?,ckd_g4,vi,measurement,ckd_g4_006,auto_validated,measurement context
router_ckd_g4_016,Tại sao việc tiêm phòng viêm gan B lại hiệu quả hơn khi được thực hiện từ giai đoạn CKD G4?,ckd_g4,vi,medication_safety,ckd_g4_010,auto_validated,medication safety intent
router_ckd_g4_017,eGFR tu 15 den 29 co phai suy than giai doan 4 khong,ckd_g4,vi,direct_condition,ckd_g4_001,auto_validated,accentless variation
router_ckd_g4_018,bao ve tinh mach tay de lam cau noi chay than cho nguoi do 4,ckd_g4,vi,direct_condition,ckd_g4_011,auto_validated,accentless variation
router_ckd_g4_019,suy than do 4 kieng gi,ckd_g4,vi,nutrition,ckd_g4_005,auto_validated,short colloquial query
router_ckd_g4_020,nuoc uong cho suy than do 4,ckd_g4,vi,nutrition,ckd_g4_006,auto_validated,short colloquial query
router_ckd_g5_non_dialysis_001,Chẩn đoán bệnh thận mạn giai đoạn G5 chưa lọc máu dựa trên mức eGFR dưới bao nhiêu?,ckd_g5_non_dialysis,vi,direct_condition,ckd_g5_nondialysis_001,auto_validated,explicit diagnosis
router_ckd_g5_non_dialysis_002,Tại sao người bệnh suy thận giai đoạn 5 chưa chạy thận cần hạn chế natri nghiêm ngặt dưới 2g/ngày?,ckd_g5_non_dialysis,vi,nutrition,ckd_g5_nondialysis_003,auto_validated,nutrition intent
router_ckd_g5_non_dialysis_003,Biến chứng tăng kali máu nguy hiểm như thế nào đối với người bệnh CKD G5 chưa lọc máu?,ckd_g5_non_dialysis,vi,symptom_context,ckd_g5_nondialysis_004,auto_validated,treatment context
router_ckd_g5_non_dialysis_004,Mục đích hạn chế phốt pho ở bệnh nhân suy thận giai đoạn G5 chưa chạy thận là để kiểm soát bệnh gì?,ckd_g5_non_dialysis,vi,direct_condition,ckd_g5_nondialysis_005,auto_validated,explicit diagnosis
router_ckd_g5_non_dialysis_005,Làm thế nào để đo lường lượng nước tiểu hàng ngày nhằm tính lượng nước uống ở giai đoạn G5 chưa chạy thận?,ckd_g5_non_dialysis,vi,measurement,ckd_g5_nondialysis_006,auto_validated,measurement context
router_ckd_g5_non_dialysis_006,Tại sao người bệnh CKD G5 chưa lọc máu cần được giám sát y khoa cực kỳ chặt chẽ bởi bác sĩ thận?,ckd_g5_non_dialysis,vi,direct_condition,ckd_g5_nondialysis_007,auto_validated,treatment context
router_ckd_g5_non_dialysis_007,Dấu hiệu quá tải nước nặng đòi hỏi bệnh nhân suy thận độ 5 chưa chạy thận nhập viện ngay lập tức?,ckd_g5_non_dialysis,vi,symptom_context,ckd_g5_nondialysis_008,auto_validated,treatment context
router_ckd_g5_non_dialysis_008,Cách phối hợp giữa chế độ ăn nhạt và sử dụng thuốc gắn phốt pho cho người CKD G5 chưa lọc máu?,ckd_g5_non_dialysis,vi,medication_safety,ckd_g5_nondialysis_010,auto_validated,medication safety intent
router_ckd_g5_non_dialysis_009,Tại sao người bệnh suy thận giai đoạn 5 chưa chạy thận cần kiêng tuyệt đối phốt pho từ phụ gia vô cơ?,ckd_g5_non_dialysis,vi,food_restriction,ckd_g5_nondialysis_011,auto_validated,food restriction intent
router_ckd_g5_non_dialysis_010,Hiện tượng buồn nôn và chán ăn do urê huyết cao biểu hiện ở người bệnh CKD G5 chưa lọc máu thế nào?,ckd_g5_non_dialysis,vi,symptom_context,ckd_g5_nondialysis_012,auto_validated,treatment context
router_ckd_g5_non_dialysis_011,Tại sao cần dừng hoặc thay đổi các thuốc hạ đường huyết thải qua thận ở người CKD G5 chưa chạy thận?,ckd_g5_non_dialysis,vi,medication_safety,ckd_g5_nondialysis_013,auto_validated,medication safety intent
router_ckd_g5_non_dialysis_012,Lượng nước uống cho phép mỗi ngày tính theo lượng nước tiểu của người bệnh suy thận độ 5 chưa chạy thận?,ckd_g5_non_dialysis,vi,measurement,ckd_g5_nondialysis_006,auto_validated,measurement context
router_ckd_g5_non_dialysis_013,Hạn chế đạm ở mức độ nào là an toàn cho bệnh nhân suy thận giai đoạn G5 chưa lọc máu để tránh suy dinh dưỡng?,ckd_g5_non_dialysis,vi,nutrition,ckd_g5_nondialysis_001,auto_validated,nutrition intent
router_ckd_g5_non_dialysis_014,Tại sao phụ gia phốt pho vô cơ lại hấp thu nhanh hơn phốt pho hữu cơ ở người bệnh CKD G5 chưa chạy thận?,ckd_g5_non_dialysis,vi,food_restriction,ckd_g5_nondialysis_011,auto_validated,food restriction intent
router_ckd_g5_non_dialysis_015,Làm thế nào để phát hiện sớm triệu chứng tích tụ độc tố ure huyết cao ở bệnh nhân suy thận giai đoạn 5 chưa lọc máu?,ckd_g5_non_dialysis,vi,symptom_context,ckd_g5_nondialysis_012,auto_validated,treatment context
router_ckd_g5_non_dialysis_016,Vai trò của bác sĩ thận học trong việc theo dõi chức năng tim mạch cho bệnh nhân CKD G5 chưa lọc máu?,ckd_g5_non_dialysis,vi,direct_condition,ckd_g5_nondialysis_007,auto_validated,treatment context
router_ckd_g5_non_dialysis_017,suy than giai doan 5 chua loc mau can kieng kali the nao,ckd_g5_non_dialysis,vi,nutrition,ckd_g5_nondialysis_004,auto_validated,accentless variation
