example_id,user_text,condition_code,language,source_type,review_status,notes,review_flags,review_notes
sym_0053,cao huyết áp có nên hạn chế đồ hộp không,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0054,bị huyết áp cao uống nước ngọt có sao không,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,ambiguous_mapping,"Question may also touch diabetes/weight management, though hypertension mapping is still plausible."
sym_0055,tôi cần gợi ý món Việt ít mặn hơn,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,ambiguous_mapping,No strong condition-specific keyword detected.
sym_0056,huyết áp cao có liên quan đến muối như thế nào,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0057,mẹ tôi cao huyết áp và ăn rất mặn,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0058,tôi muốn đổi gia vị để bớt muối,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0059,đồ ăn nhanh có làm tăng natri không,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0060,"tôi bị tăng huyết áp, nên tránh snack mặn không",hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0061,"tôi bị axit uric cao, hay đau ngón chân cái",gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0062,bị gout có nên kiêng hải sản không,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0063,tôi uống bia xong hay đau khớp bàn chân,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0064,acid uric cao thì ăn thịt đỏ thế nào,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,ambiguous_mapping,High uric acid alone may not mean gout.
sym_0065,gout có liên quan đến thận không,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0066,"tôi bị gout, có ăn nước hầm xương được không",gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0067,đang đau gout thì nên tránh món gì,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0068,tôi muốn giảm cơn gout bằng ăn uống,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0069,bị gout có cần uống nhiều nước hơn không,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0070,tôi có sỏi thận và acid uric cao,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,ambiguous_mapping,High uric acid alone may not mean gout.
sym_0071,người gout ăn đậu phụ được không,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0072,tôi bị gout nhưng rất thích nội tạng,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0073,cơn đau gout của tôi tái phát sau tiệc nhậu,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0074,axit uric cao nhưng chưa đau khớp thì có cần kiêng không,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0075,gout có ăn cá biển được không,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0076,"tôi đang uống thuốc gout, có cần đổi chế độ ăn không",gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0077,bị gout nên chọn bữa tối nhẹ thế nào,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0078,món lẩu có làm gout nặng hơn không,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0079,tôi đau sưng đỏ khớp ngón chân sau khi ăn nhậu,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0080,người bị gout cần hỏi bác sĩ những gì về ăn uống,gout,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0081,"tôi bị bệnh thận mạn, có cần kiêng chuối không",chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0082,"bác sĩ nói thận yếu, tôi nên ăn nhạt hơn không",chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0083,bệnh thận mạn có cần giảm đạm không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0084,"tôi bị suy thận, không biết nên uống bao nhiêu nước",chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0085,bị thận mạn có phải kiêng hết rau xanh không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0086,kali cao thì nên hỏi bác sĩ về món gì,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0087,tôi bệnh thận mạn và huyết áp cao,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0088,người bệnh thận có cần tránh đồ hộp không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0089,"tôi nghe nói suy thận phải kiêng trái cây, đúng không",chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0090,bị thận mạn có ăn trứng được không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0091,phospho là gì mà bác sĩ nhắc trong bệnh thận,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0092,"tôi đang theo dõi creatinine, muốn ăn uống an toàn hơn",chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0093,bệnh thận mạn giai đoạn đầu nên chú ý gì khi ăn,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0094,tôi có kết quả kali máu cao,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0095,người bệnh thận có nên tự cắt hết thịt cá không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0096,tôi lọc máu thì chế độ ăn có khác không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0097,"mẹ tôi bệnh thận mạn, ăn uống rất kém",chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0098,bị thận có nên hạn chế nước chấm mặn không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0099,tôi muốn hỏi chuyên gia dinh dưỡng thận về khẩu phần,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0100,suy thận có cần đọc nhãn phụ gia phosphate không,chronic_kidney_disease,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0101,"tôi thừa cân, muốn giảm cân nhưng vẫn đủ chất",obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0102,béo phì thì nên bắt đầu ăn uống lành mạnh từ đâu,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0103,tôi muốn giảm cân nhưng hay đói buổi tối,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0104,giảm cân có cần bỏ hoàn toàn tinh bột không,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0105,tôi uống nước ngọt mỗi ngày và tăng cân,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0106,muốn giảm cân an toàn thì tập và ăn thế nào,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0107,"tôi bị béo bụng, nên đổi bữa sáng ra sao",obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,ambiguous_mapping,No strong condition-specific keyword detected.
sym_0108,ăn nhiều rau có giúp no lâu khi giảm cân không,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0109,tôi sợ ăn kiêng quá mức rồi thiếu chất,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0110,béo phì có liên quan huyết áp và đường huyết không,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0111,tôi muốn kiểm soát khẩu phần cơm để giảm cân,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0112,giảm cân nhanh bằng thuốc không rõ nguồn gốc có nguy hiểm không,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0113,tôi hay ăn vặt khi căng thẳng nên khó giảm cân,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0114,thừa cân thì nên chọn đồ uống gì,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0115,tôi muốn kế hoạch giảm cân từ từ,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0116,bữa ăn giảm cân có cần nhiều đạm không,obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,,Natural short Vietnamese utterance; mapping appears plausible but remains needs_review.
sym_0117,"tôi ngồi nhiều, ít vận động và tăng cân",obesity,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.,ambiguous_mapping,No strong condition-specific keyword detected.
