chunk_id,condition_code,content,source_id
diabetes_t2_004,diabetes_type_2,"Hạn chế tối đa các loại đồ uống ngọt là khuyến nghị hàng đầu đối với người bệnh đái tháo đường type 2. Nước ngọt, nước ép trái cây đóng hộp, trà sữa hoặc cà phê thêm nhiều sữa đặc chứa lượng đường hấp thu nhanh rất lớn, dễ gây tăng vọt đường huyết và nạp nhiều năng lượng dư thừa. Người bệnh nên chọn nước lọc, trà không đường hoặc nước khoáng để thay thế.",ada_eating_healthy
diabetes_t2_005,diabetes_type_2,"Thực phẩm giàu chất xơ mang lại lợi ích kép cho người bệnh đái tháo đường type 2. Chất xơ trong rau xanh, các loại đậu, ngũ cốc nguyên hạt và trái cây ít ngọt không chỉ làm chậm quá trình tiêu hóa tinh bột giúp duy trì đường huyết ổn định sau ăn, mà còn tăng cảm giác no lâu, hỗ trợ quá trình giảm cân và cải thiện sức khỏe tim mạch.",cdc_diabetes_meal_planning
diabetes_t2_006,diabetes_type_2,"Hoạt động thể lực là một trụ cột quan trọng trong quản lý đái tháo đường type 2. Luyện tập thể dục thường xuyên giúp tế bào cơ sử dụng glucose hiệu quả hơn, trực tiếp cải thiện tình trạng kháng insulin. Người bệnh được khuyến khích đạt mục tiêu tập luyện tối thiểu 150 phút mỗi tuần với cường độ trung bình (như đi bộ nhanh, đạp xe) theo thể trạng.",niddk_diabetes_diet
diabetes_t2_007,diabetes_type_2,"Quản lý cân nặng thông qua giảm cân bền vững mang lại hiệu quả cao trong việc cải thiện kiểm soát đái tháo đường type 2. Giảm từ 5% đến 10% trọng lượng cơ thể ban đầu ở những người thừa cân hoặc béo phì có thể cải thiện đáng kể chỉ số HbA1c, giảm liều lượng thuốc hạ đường huyết cần dùng và giảm thiểu các nguy cơ biến chứng tim mạch.",cdc_diabetes_meal_planning
diabetes_t2_008,diabetes_type_2,"Tự theo dõi đường huyết là công cụ phản hồi quan trọng cho người bệnh đái tháo đường type 2. Bằng cách tự đo đường huyết lúc đói và sau ăn, người bệnh có thể nhận thấy tác động thực tế của từng loại thực phẩm và thói quen vận động lên cơ thể mình. Kết quả tự theo dõi này giúp người bệnh chủ động điều chỉnh lối sống và hỗ trợ bác sĩ khi tái khám.",cdc_diabetes_meal_planning
diabetes_t2_009,diabetes_type_2,"Người bệnh đái tháo đường type 2 đang sử dụng một số loại thuốc nhất định (như sulfonylurea hoặc insulin) cần lưu ý đến rủi ro hạ đường huyết. Mặc dù hạ đường huyết ít gặp hơn ở người chỉ điều trị bằng metformin hoặc thay đổi lối sống đơn thuần, việc nhận biết các dấu hiệu sớm (run tay, chóng mặt, vã mồ hôi) và mang theo đường nhanh vẫn là cần thiết.",niddk_diabetes_diet
diabetes_t2_010,diabetes_type_2,"Người bệnh đái tháo đường type 2 nên tìm kiếm sự tư vấn chuyên môn từ bác sĩ hoặc chuyên gia dinh dưỡng được chứng nhận khi muốn thiết kế thực đơn chi tiết. Sự hỗ trợ từ chuyên gia giúp cá nhân hóa lượng carbohydrate dựa trên thuốc điều trị, mức độ hoạt động và sự hiện diện của các bệnh đi kèm như tăng huyết áp hay suy thận.",cdc_diabetes_meal_planning
diabetes_unknown_001,diabetes_type_unknown,"Đối với người mắc bệnh đái tháo đường chưa rõ phân loại (chưa xác định type 1 hay type 2), các thông tin giáo dục sức khỏe chung nhấn mạnh việc duy trì thói quen ăn uống cân bằng và lành mạnh. Hướng đi an toàn ban đầu là chọn các loại thực phẩm ít chế biến, nhiều rau xanh và hạn chế đồ ngọt để tránh làm dao động đường huyết đột ngột.",cdc_diabetes_meal_planning
diabetes_unknown_002,diabetes_type_unknown,"Người dùng đái tháo đường chưa rõ phân loại cần lưu ý rằng các khuyến nghị cụ thể về y khoa, đặc biệt là liều lượng insulin và tần suất theo dõi đường huyết, có thể khác biệt lớn giữa đái tháo đường type 1 và type 2. Type 1 đòi hỏi tiêm insulin bắt buộc phối hợp chặt chẽ với bữa ăn, trong khi type 2 có thể quản lý bằng lối sống hoặc thuốc viên.",niddk_type1_diabetes
diabetes_unknown_003,diabetes_type_unknown,Hệ thống khuyến khích người dùng có chẩn đoán đái tháo đường nhưng chưa rõ phân loại cần liên hệ với bác sĩ điều trị để xác nhận chính xác type bệnh của mình. Việc cung cấp chính xác type bệnh (type 1 hay type 2) giúp hệ thống RAG đưa ra các thông tin hỗ trợ kiểm soát carbohydrate và an toàn vận động chuẩn xác và an toàn nhất.,niddk_type1_diabetes
diabetes_unknown_004,diabetes_type_unknown,"Trong bối cảnh người dùng chưa cung cấp rõ phân loại đái tháo đường, các thông tin tư vấn tự động sẽ tránh đưa ra các giả định về việc sử dụng insulin hay lịch tiêm cụ thể. Các gợi ý chỉ tập trung vào việc giảm muối, giảm đường ngọt và tăng cường chất xơ, vốn là những lối sống có lợi chung và có độ an toàn cao cho cả hai nhóm bệnh.",ada_eating_healthy
prediabetes_001,prediabetes,"Đối với người dùng có tình trạng tiền đái tháo đường, điều quan trọng là hiểu rõ sự khác biệt giữa tiền đái tháo đường và đái tháo đường thực sự. Tiền đái tháo đường là giai đoạn cảnh báo khi mức đường huyết đã cao hơn bình thường nhưng chưa chạm ngưỡng chẩn đoán đái tháo đường type 2, đây là cơ hội vàng để đảo ngược tình thế bằng cách thay đổi lối sống.",cdc_prediabetes_lifestyle_change
prediabetes_002,prediabetes,"Trong chế độ ăn của người tiền đái tháo đường, kiểm soát khẩu phần carbohydrate như cơm, bún, phở là rất cần thiết nhưng không được khuyến khích cắt bỏ hoàn toàn. Người dùng nên điều chỉnh giảm bớt lượng tinh bột tinh chế trong bữa ăn chính, kết hợp tăng lượng rau xanh để làm chậm tốc độ tăng đường huyết sau ăn, thay vì nhịn ăn tinh bột cực đoan.",cdc_prevent_type2_guide
prediabetes_003,prediabetes,"Người tiền đái tháo đường cần hạn chế tối đa các loại đồ uống có đường ngọt như trà sữa, nước ngọt đóng chai, nước ép trái cây thêm đường. Năng lượng hấp thu nhanh từ nhóm đồ uống này có liên quan trực tiếp đến việc tăng tích tụ mỡ và suy giảm độ nhạy insulin. Thay thế bằng nước lọc là bước khởi đầu dễ thực hiện và hiệu quả cao.",cdc_prevent_type2_guide
prediabetes_004,prediabetes,Quản lý cân nặng là mục tiêu then chốt trong phòng ngừa tiến triển từ tiền đái tháo đường thành đái tháo đường type 2. Các nghiên cứu lâm sàng chỉ ra rằng việc giảm từ 5% đến 7% trọng lượng cơ thể (ví dụ giảm khoảng 3.5 đến 5kg đối với người nặng 70kg) ở người thừa cân có thể giúp giảm hơn một nửa nguy cơ tiến triển thành bệnh thực sự.,cdc_prevent_type2_guide
prediabetes_005,prediabetes,"Vận động thể chất thường xuyên giúp bảo vệ người tiền đái tháo đường khỏi nguy cơ mắc bệnh đái tháo đường type 2. Người dùng nên đặt mục tiêu thực hiện ít nhất 150 phút hoạt động thể thao cường độ trung bình mỗi tuần (như đi bộ nhanh, bơi lội, đạp xe), chia đều thành 5 ngày trong tuần, khoảng 30 phút mỗi ngày theo thể trạng.",cdc_prevent_type2_guide
prediabetes_006,prediabetes,"Tham gia vào các chương trình thay đổi lối sống có cấu trúc (như Chương trình Phòng ngừa Đái tháo đường Quốc gia - DPP) được chứng minh mang lại lợi ích lâu dài cho người tiền đái tháo đường. Các chương trình này cung cấp người hướng dẫn giúp người dùng duy trì thói quen ăn uống lành mạnh, tăng hoạt động thể lực và kiểm soát stress hiệu quả.",cdc_prediabetes_lifestyle_change
prediabetes_008,prediabetes,Người tiền đái tháo đường cần hiểu rằng việc sử dụng thuốc (như metformin) không phải là bắt buộc đối với tất cả mọi người và quyết định này phụ thuộc vào đánh giá chuyên môn của bác sĩ dựa trên các yếu tố nguy cơ cá nhân. Thay đổi lối sống thông qua ăn uống và vận động vẫn là can thiệp đầu tay nhằm quản lý và phòng ngừa tiểu đường.,cdc_prevent_type2_guide
hypertension_001,hypertension,Kiểm soát lượng natri nạp vào cơ thể là nguyên tắc cốt lõi trong chế độ ăn uống của người bệnh tăng huyết áp. Hiệp hội Tim mạch Hoa Kỳ (AHA) khuyến nghị người trưởng thành bị tăng huyết áp nên hướng tới giới hạn natri dưới 1500 mg mỗi ngày để hỗ trợ hạ huyết áp hiệu quả và giảm thiểu nguy cơ tai biến mạch máu não.,aha_sodium_per_day
hypertension_002,hypertension,"Đối với người tăng huyết áp, việc sử dụng các gia vị truyền thống như nước mắm, nước tương cần đặc biệt thận trọng. Một muỗng canh nước mắm có thể chứa tới 1000 mg natri (tương đương khoảng 66% giới hạn khuyên dùng hàng ngày của AHA). Người bệnh nên ưu tiên sử dụng nước mắm giảm natri, pha loãng hoặc dùng gia vị thảo mộc thay thế muối.",aha_shaking_salt_habit
hypertension_003,hypertension,"Các loại thực phẩm chế biến sẵn là nguồn natri ẩn giấu nguy hiểm cho người bệnh tăng huyết áp. Mì ăn liền, thịt nguội, đồ hộp, dưa muối và các gói gia vị đi kèm thường chứa lượng muối cực kỳ lớn để bảo quản. Người bệnh cần học cách đọc nhãn dinh dưỡng và ưu tiên lựa chọn thực phẩm tươi sống tự chế biến tại nhà.",cdc_sodium_health
hypertension_004,hypertension,"Tăng cường rau xanh và trái cây là phần quan trọng trong chế độ ăn Dash dành cho người bệnh tăng huyết áp. Rau quả tươi cung cấp lượng kali dồi dào, hỗ trợ cơ thể đào thải bớt natri qua đường tiểu và làm giãn thành mạch, giúp hạ áp tự nhiên. Tuy nhiên, nếu người bệnh tăng huyết áp có kèm suy thận, lượng kali nạp vào phải được kiểm soát theo xét nghiệm máu.",aha_shaking_salt_habit
hypertension_007,hypertension,"Tự đo huyết áp tại nhà bằng máy đo bắp tay tiêu chuẩn giúp người bệnh tăng huyết áp theo dõi sát sao tình trạng sức khỏe của mình. Nên đo huyết áp vào các thời điểm cố định (như buổi sáng sau khi ngủ dậy và buổi tối trước khi đi ngủ), ghi chép lại kết quả để cung cấp cho bác sĩ, giúp đánh giá hiệu quả của phác đồ điều trị lối sống và thuốc.",cdc_sodium_health
hypertension_008,hypertension,"Mọi quyết định bắt đầu, điều chỉnh liều lượng hoặc dừng sử dụng các loại thuốc hạ huyết áp (như thuốc chẹn kênh calci, ức chế men chuyển) phải được chỉ định trực tiếp bởi bác sĩ. Người bệnh tuyệt đối không được tự ý ngưng thuốc khi thấy huyết áp trở về bình thường, vì tăng huyết áp là bệnh mạn tính cần điều trị duy trì để ngừa đột quỵ.",cdc_sodium_health
ckd_g1_001,ckd_g1,"Đối với người dùng thuộc nhóm bệnh thận mạn giai đoạn G1 (CKD G1), chức năng lọc của cầu thận vẫn ở mức bình thường hoặc cao (eGFR từ 90 mL/phút/1.73m2 trở lên). Mục tiêu chính ở giai đoạn này là làm chậm tốc độ tổn thương thận và bảo vệ cầu thận bằng cách kiểm soát tốt huyết áp, đường huyết và duy trì lối sống lành mạnh.",kdigo_2024_ckd_guideline
ckd_g1_002,ckd_g1,"Người dùng cần lưu ý rằng chẩn đoán bệnh thận mạn giai đoạn G1 (CKD G1) không thể chỉ dựa vào chỉ số eGFR trên 90 đơn thuần. Để kết luận mắc bệnh ở giai đoạn này, bắt buộc phải có các bằng chứng khác về tổn thương thận kéo dài trên 3 tháng, ví dụ như có albumin trong nước tiểu (microalbumin niệu), đái máu kéo dài hoặc bất thường cấu trúc thận trên siêu âm.",kdigo_2024_ckd_guideline
ckd_g1_003,ckd_g1,Theo dõi định kỳ là yêu cầu thiết yếu đối với người bệnh thận mạn giai đoạn G1 (CKD G1). Người bệnh nên thực hiện các xét nghiệm máu đo creatinine (để tính eGFR) và xét nghiệm nước tiểu đo tỷ lệ albumin/creatinine (UACR) ít nhất một lần mỗi năm để theo dõi sự tiến triển của bệnh và hiệu quả của các biện pháp bảo vệ thận.,kdigo_2024_ckd_guideline
ckd_g1_004,ckd_g1,"Đối với người bệnh thận mạn giai đoạn G1 (CKD G1), chức năng lọc của thận vẫn hoàn toàn đảm bảo. Do đó, người bệnh cần tránh áp dụng các chế độ kiêng khem khắt khe không cần thiết như hạn chế đạm (protein) quá mức, kiêng kali (trái cây, rau quả) hay kiêng phốt pho, ngoại trừ trường hợp có các chỉ định y khoa đặc biệt từ bác sĩ điều trị.",nkf_nutrition_ckd_stages_1_5
ckd_g1_005,ckd_g1,"Đánh giá chuyên khoa ban đầu là rất quan trọng đối với người nghi ngờ hoặc mới chẩn đoán bệnh thận mạn giai đoạn G1 (CKD G1). Người bệnh nên tham khảo ý kiến bác sĩ thận học để xác định nguyên nhân gây tổn thương thận (như đái tháo đường, tăng huyết áp hay viêm cầu thận) nhằm thiết lập phác đồ điều trị nguyên nhân sớm nhất.",kdigo_2024_ckd_guideline
ckd_g2_001,ckd_g2,"Đối với người dùng thuộc nhóm bệnh thận mạn giai đoạn G2 (CKD G2), chức năng lọc của cầu thận bị giảm nhẹ (chỉ số eGFR nằm trong khoảng từ 60 đến 89 mL/phút/1.73m2). Ở giai đoạn này, thận vẫn hoạt động tương đối tốt; trọng tâm điều trị là kiểm soát các yếu tố đẩy nhanh suy giảm chức năng thận như tăng huyết áp và đái tháo đường.",kdigo_2024_ckd_guideline
ckd_g2_002,ckd_g2,"Cần lưu ý rằng chỉ số eGFR nằm trong khoảng 60-89 mL/phút/1.73m2 đơn thuần ở người lớn tuổi không đủ để chẩn đoán bệnh thận mạn giai đoạn G2 (CKD G2). Tương tự như giai đoạn G1, chẩn đoán CKD G2 đòi hỏi phải có sự hiện diện của các dấu hiệu tổn thương thận đi kèm như protein niệu, đái máu hoặc bất thường cấu trúc thận kéo dài trên 3 tháng.",kdigo_2024_ckd_guideline
ckd_g2_003,ckd_g2,"Theo dõi tiến triển bệnh thận mạn giai đoạn G2 (CKD G2) cần được thực hiện thông qua xét nghiệm máu và nước tiểu định kỳ hàng năm. Việc này giúp theo dõi xem tốc độ giảm eGFR có bình thường theo tuổi hay đang suy giảm nhanh hơn (giảm trên 5 mL/phút/1.73m2 trong một năm), từ đó điều chỉnh can thiệp kịp thời.",kdigo_2024_ckd_guideline
ckd_g2_004,ckd_g2,Bệnh đái tháo đường và tăng huyết áp là hai nguyên nhân hàng đầu gây tổn thương thận tiến triển ở giai đoạn G2 (CKD G2). Người bệnh ở giai đoạn này cần duy trì huyết áp tâm thu dưới 120 mmHg (nếu dung nạp tốt) theo khuyến nghị KDIGO và kiểm soát chỉ số đường huyết chặt chẽ để giảm áp lực lọc lên các nephron thận còn lại.,kdigo_2024_ckd_guideline
ckd_g2_005,ckd_g2,"Người bệnh thận mạn giai đoạn G2 (CKD G2) nên được đánh giá bởi bác sĩ điều trị để đảm bảo tránh xa các loại thuốc hoặc chất có hại cho thận (như thuốc giảm đau kháng viêm NSAID bao gồm ibuprofen, naproxen) vốn có thể làm suy giảm nhanh chóng chức năng thận đang bị tổn thương nhẹ.",medlineplus_ckd_diet
ckd_g3a_001,ckd_g3a,"Đối với người dùng thuộc nhóm bệnh thận mạn giai đoạn G3a (CKD G3a), chức năng lọc của thận đã bị suy giảm ở mức độ nhẹ đến trung bình (chỉ số eGFR nằm trong khoảng từ 45 đến 59 mL/phút/1.73m2). Ở giai đoạn này, các khuyến nghị dinh dưỡng bắt đầu có sự điều chỉnh nhẹ để giảm tải công việc lọc chất thải cho thận.",kdigo_2024_ckd_guideline
ckd_g3a_003,ckd_g3a,"Hạn chế muối natri là khuyến nghị bắt buộc đối với tất cả người bệnh thận mạn giai đoạn G3a (CKD G3a). Giảm lượng natri dưới 2000 mg mỗi ngày (tương đương dưới 5g muối ăn hoặc khoảng 1 muỗng cà phê muối) giúp kiểm soát tình trạng giữ nước, giảm huyết áp và bảo vệ các mạch máu nhỏ ở thận khỏi bị quá tải.",kdigo_2024_ckd_guideline
ckd_g3a_004,ckd_g3a,"Khuyến nghị về lượng kali đối với người bệnh thận mạn giai đoạn G3a (CKD G3a) không được áp dụng một cách rập khuôn. Người bệnh chỉ cần hạn chế các loại quả, rau nhiều kali (như chuối, khoai tây) khi có kết quả xét nghiệm máu cho thấy mức kali máu cao (hyperkalemia) hoặc khi có chỉ định cụ thể của bác sĩ.",nkf_potassium_ckd_diet
ckd_g3a_005,ckd_g3a,"Hạn chế lượng phốt pho đối với người bệnh thận mạn giai đoạn G3a (CKD G3a) tập trung chủ yếu vào việc tránh các loại phốt pho vô cơ (chất phụ gia thực phẩm) có trong đồ uống đóng chai, thực phẩm chế biến sẵn và thức ăn nhanh, vì phốt pho vô cơ được hấp thu gần như hoàn toàn vào máu và làm tăng gánh nặng đào thải cho thận.",medlineplus_ckd_diet
ckd_g3a_006,ckd_g3a,Người bệnh thận mạn giai đoạn G3a (CKD G3a) có kèm đái tháo đường hoặc tăng huyết áp cần được quản lý phối hợp chặt chẽ. Việc duy trì chỉ số đường huyết ổn định và huyết áp tối ưu dưới 120/80 mmHg ở giai đoạn G3a giúp bảo tồn tối đa các nephron còn lại và hạn chế tốc độ sụt giảm chức năng lọc của cầu thận.,kdigo_2024_ckd_guideline
ckd_g3a_007,ckd_g3a,Người bệnh thận mạn giai đoạn G3a (CKD G3a) cần theo dõi định kỳ chức năng lọc của thận tối thiểu 2 lần mỗi năm. Các xét nghiệm creatinine máu để tính eGFR và định lượng albumin niệu giúp bác sĩ đánh giá liệu bệnh đang ổn định hay có sự suy sụp chức năng lọc đột ngột để đổi phác đồ bảo vệ thận.,kdigo_2024_ckd_guideline
ckd_g3b_001,ckd_g3b,"Đối với người dùng thuộc nhóm bệnh thận mạn giai đoạn G3b (CKD G3b), chức năng lọc của thận đã bị suy giảm ở mức độ trung bình đến nặng (chỉ số eGFR nằm trong khoảng từ 30 đến 44 mL/phút/1.73m2). Ở giai đoạn này, các hướng dẫn về chế độ ăn uống cần được kiểm soát chặt chẽ hơn để tránh tích tụ chất độc.",kdigo_2024_ckd_guideline
ckd_g3b_003,ckd_g3b,"Hạn chế muối natri nghiêm ngặt dưới 2000 mg mỗi ngày (khoảng 5g muối ăn) là cần thiết cho người bệnh thận mạn giai đoạn G3b (CKD G3b). Natri dư thừa ở giai đoạn này dễ gây giữ nước, phù chân, tăng huyết áp và tăng nguy cơ suy tim do thận giảm khả năng đào thải muối.",kdigo_2024_ckd_guideline
ckd_g3b_004,ckd_g3b,"Người bệnh thận mạn giai đoạn G3b (CKD G3b) cần theo dõi sát sao nồng độ kali trong máu. Việc hạn chế các thực phẩm giàu kali (như chuối, bơ, cam, khoai tây) chỉ nên thực hiện khi có tình trạng kali máu tăng trên mức bình thường (thường là trên 5.0 mEq/L) hoặc theo chỉ dẫn dinh dưỡng từ chuyên gia y tế.",nkf_potassium_ckd_diet
ckd_g3b_005,ckd_g3b,"Người bệnh thận mạn giai đoạn G3b (CKD G3b) cần bắt đầu hạn chế phốt pho từ thực phẩm tự nhiên bên cạnh việc tránh các chất phụ gia phốt pho. Giảm tiêu thụ sữa, phô mai, các loại hạt và lòng đỏ trứng giúp giữ mức phốt pho trong máu ổn định, ngăn ngừa các biến chứng xơ vữa mạch máu và bệnh xương do thận.",medlineplus_ckd_diet
ckd_g3b_006,ckd_g3b,"Người bệnh thận mạn giai đoạn G3b (CKD G3b) cần được bác sĩ theo dõi định kỳ tối thiểu 3 lần mỗi năm. Tần suất theo dõi cao hơn giúp kiểm soát chặt chẽ tốc độ suy giảm chức năng thận, phát hiện sớm các biến chứng như thiếu máu do thận thiếu erythropoietin hoặc rối loạn thăng bằng kiềm toan.",kdigo_2024_ckd_guideline
ckd_g3b_007,ckd_g3b,"Khuyến khích người bệnh thận mạn giai đoạn G3b (CKD G3b) làm việc cùng một chuyên gia dinh dưỡng tiết chế chuyên khoa thận (renal dietitian). Chuyên gia sẽ giúp thiết kế thực đơn cá nhân hóa, giúp người bệnh giảm đạm, natri mà vẫn đảm bảo cung cấp đủ calo để tránh suy mòn cơ bắp (protein-energy wasting).",nkf_nutrition_ckd_stages_1_5
ckd_g4_001,ckd_g4,"Đối với người dùng thuộc nhóm bệnh thận mạn giai đoạn G4 (CKD G4), chức năng lọc của thận bị suy giảm nghiêm trọng (chỉ số eGFR nằm trong khoảng từ 15 đến 29 mL/phút/1.73m2). Ở giai đoạn suy thận tiến triển này, chế độ ăn uống đòi hỏi kiểm soát cực kỳ nghiêm ngặt và chuẩn bị tâm lý cho giai đoạn điều trị thay thế thận.",kdigo_2024_ckd_guideline
ckd_g4_003,ckd_g4,"Hạn chế natri dưới 2000 mg mỗi ngày (khoảng 5g muối ăn) là nguyên tắc bắt buộc ở giai đoạn G4 (CKD G4) để ngăn ngừa tình trạng quá tải thể tích tuần hoàn, phù phổi cấp và tăng huyết áp kháng trị, do thận lúc này đã mất phần lớn khả năng bài tiết muối dư thừa.",kdigo_2024_ckd_guideline
ckd_g4_004,ckd_g4,"Người bệnh thận mạn giai đoạn G4 (CKD G4) có nguy cơ cao bị tăng kali máu đe dọa tính mạng (gây loạn nhịp tim). Hạn chế kali từ chế độ ăn uống (tránh chuối, nước dừa, khoai tây, rau muống và thực phẩm chế biến) là cần thiết khi kali máu bắt đầu tăng cao, và phải được hướng dẫn cụ thể dựa trên xét nghiệm kali máu định kỳ.",nkf_potassium_ckd_diet
ckd_g4_005,ckd_g4,"Kiểm soát lượng phốt pho là vô cùng quan trọng đối với người bệnh thận mạn giai đoạn G4 (CKD G4). Do thận giảm bài tiết phốt pho, người bệnh cần hạn chế phốt pho ở mức 800-1000 mg mỗi ngày bằng cách giảm sữa, lòng đỏ trứng, các loại hạt và tuyệt đối tránh các thực phẩm chứa chất bảo quản phốt pho vô cơ để bảo vệ mạch máu.",medlineplus_ckd_diet
ckd_g4_006,ckd_g4,"Khuyến nghị về lượng nước uống đối với người bệnh thận mạn giai đoạn G4 (CKD G4) phải được cá nhân hóa theo tình trạng lâm sàng. Người bệnh chỉ cần hạn chế lượng nước uống vào khi cơ thể bắt đầu có dấu hiệu giữ nước (phù chân, phù mặt, khó thở) hoặc khi lượng nước tiểu giảm đi rõ rệt, dưới sự hướng dẫn trực tiếp của bác sĩ.",medlineplus_ckd_diet
ckd_g4_007,ckd_g4,"Người bệnh thận mạn giai đoạn G4 (CKD G4) cần chuẩn bị trước thông tin và kế hoạch cho việc điều trị thay thế thận trong tương lai. Kế hoạch này bao gồm thảo luận về các phương pháp lọc máu chu kỳ, lọc màng bụng (thẩm phân phúc mạc) hoặc đăng ký ghép thận, giúp người bệnh chủ động lựa chọn phương pháp phù hợp với cuộc sống.",kdigo_2024_ckd_guideline
ckd_g4_008,ckd_g4,"Người bệnh thận mạn giai đoạn G4 (CKD G4) cần được chuyển gửi đến chuyên gia thận học (nephrologist) và chuyên gia dinh dưỡng để kiểm soát các biến chứng nặng như thiếu máu, tăng huyết áp kháng trị, tăng kali máu, toan chuyển hóa và ngăn ngừa suy mòn cơ thể trước khi bước vào giai đoạn cuối.",kdigo_2024_ckd_guideline
