source_id,publisher,title,source_type,original_url,publication_date,accessed_date,local_snapshot_path,extracted_text_path,relevant_pages,relevant_sections,authority_level,verification_status,notes
medlineplus_ckd_diet,NIH MedlinePlus,Diet - Chronic Kidney Disease,html,https://medlineplus.gov/ency/article/002442.htm,2023-01,2026-07-20,data/rag/v2/raw_sources/ckd/medlineplus_ckd_diet.html,data/rag/v2/raw_sources/ckd/medlineplus_ckd_diet.txt,All,"Protein, sodium, phosphorus, and fluid restrictions in kidney disease",High,downloaded_unverified_tls,Reused original HTML snapshot
medlineplus_gout,NIH MedlinePlus,Gout,html,https://medlineplus.gov/gout.html,2023-01,2026-07-20,data/rag/v2/raw_sources/gout/medlineplus_gout.html,data/rag/v2/raw_sources/gout/medlineplus_gout.txt,All,"Gout definition, flares, hydration, and long-term joint damage prevention",High,downloaded_unverified_tls,Reused original HTML snapshot
medlineplus_gout_encyclopedia,NIH MedlinePlus,Gout Medical Encyclopedia,html,https://medlineplus.gov/ency/article/000422.htm,2023-01,2026-07-20,data/rag/v2/raw_sources/gout/medlineplus_gout_encyclopedia.html,data/rag/v2/raw_sources/gout/medlineplus_gout_encyclopedia.txt,All,"Purines, foods to avoid (organ meats, red meats, alcohol), clinical features",High,downloaded_unverified_tls,Reused original HTML snapshot
medlineplus_uric_acid_blood,NIH MedlinePlus,Uric Acid Blood,html,https://medlineplus.gov/ency/article/003476.htm,2023-01,2026-07-20,data/rag/v2/raw_sources/gout/medlineplus_uric_acid_blood.html,data/rag/v2/raw_sources/gout/medlineplus_uric_acid_blood.txt,All,"Uric acid diagnostic thresholds, distinction from asymptomatic state",High,downloaded_unverified_tls,Reused original HTML snapshot
cdc_steps_losing_weight,CDC,Steps for Losing Weight,html,https://www.cdc.gov/healthy-weight-growth/losing-weight/index.html,2023-01,2026-07-20,data/rag/v2/raw_sources/obesity/cdc_steps_losing_weight.html,data/rag/v2/raw_sources/obesity/cdc_steps_losing_weight.txt,All,"Sustainable weight management, safe weight loss rates, activity planning",High,downloaded_unverified_tls,Reused original HTML snapshot
cdc_healthy_eating_weight,CDC,Tips for Healthy Eating for a Healthy Weight,html,https://www.cdc.gov/healthy-weight-growth/healthy-eating/index.html,2023-01,2026-07-20,data/rag/v2/raw_sources/obesity/cdc_healthy_eating_weight.html,data/rag/v2/raw_sources/obesity/cdc_healthy_eating_weight.txt,All,"Portion control, sugary drinks reduction, energy density concepts",High,downloaded_unverified_tls,Reused original HTML snapshot
medlineplus_obesity,NIH MedlinePlus,Obesity,html,https://medlineplus.gov/obesity.html,2023-01,2026-07-20,data/rag/v2/raw_sources/obesity/medlineplus_obesity.html,data/rag/v2/raw_sources/obesity/medlineplus_obesity.txt,All,"Obesity definition, extreme diets warnings, comorbidities, frailty in older adults",High,downloaded_unverified_tls,Reused original HTML snapshot
niddk_type1_diabetes,NIDDK,Type 1 Diabetes Overview,html,https://www.niddk.nih.gov/health-information/diabetes/overview/what-is-diabetes/type-1-diabetes,2023-12,2026-07-20,data/rag/v2/raw_sources/diabetes/niddk_type1_diabetes.html,data/rag/v2/raw_sources/diabetes/niddk_type1_diabetes.txt,All,"General overview, diagnosis, insulin administration requirements",High,downloaded_verified_tls,Newly collected source to cover Type 1 Diabetes gaps
niddk_diabetes_diet,NIDDK,"Diabetes Diet, Eating, & Physical Activity",html,https://www.niddk.nih.gov/health-information/diabetes/overview/diet-eating-physical-activity,2023-12,2026-07-20,data/rag/v2/raw_sources/diabetes/niddk_diabetes_diet.html,data/rag/v2/raw_sources/diabetes/niddk_diabetes_diet.txt,All,"Carbohydrate management, exercise safety, meal planning",High,downloaded_verified_tls,Newly collected source to cover Diabetes Type 1/2 nutrition gaps
kdigo_2024_ckd_guideline,KDIGO,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,pdf,https://kdigo.org/wp-content/uploads/2024/03/KDIGO-2024-CKD-Guideline.pdf,2024-03,2026-07-20,data/rag/v2/raw_sources/ckd/kdigo_2024_ckd_guideline.pdf,data/rag/v2/raw_sources/ckd/kdigo_2024_ckd_guideline.txt,1-200,"CKD staging criteria (Chapter 1), nutrition and protein guidance (Chapter 3)",High,downloaded_verified_tls,Newly collected clinical guideline PDF for stage-specific CKD boundaries
medlineplus_emergency_chest_pain,NIH MedlinePlus,Chest pain Medical Encyclopedia,html,https://medlineplus.gov/ency/article/003079.htm,2024-05,2026-07-20,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_chest_pain.html,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_chest_pain.txt,All,"Chest pain emergency warning signs, cardiac symptoms escalation",High,downloaded_verified_tls,Safety guidelines for emergency chest pain
medlineplus_emergency_breathing,NIH MedlinePlus,Breathing difficulty Medical Encyclopedia,html,https://medlineplus.gov/ency/article/003075.htm,2024-05,2026-07-20,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_breathing.html,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_breathing.txt,All,"Breathing difficulty escalation, respiratory distress symptoms",High,downloaded_verified_tls,Safety guidelines for emergency breathing difficulty
medlineplus_emergency_fainting,NIH MedlinePlus,Fainting Medical Encyclopedia,html,https://medlineplus.gov/ency/article/000022.htm,2024-05,2026-07-20,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_fainting.html,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_fainting.txt,All,Fainting and loss of consciousness emergency response guidelines,High,downloaded_verified_tls,Safety guidelines for loss of consciousness
medlineplus_emergency_stroke,NIH MedlinePlus,Stroke Medical Encyclopedia,html,https://medlineplus.gov/ency/article/000730.htm,2024-05,2026-07-20,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_stroke.html,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_stroke.txt,All,"Stroke warning signs (FAST), acute neurological emergency escalation",High,downloaded_verified_tls,Safety guidelines for stroke and neurological emergencies
medlineplus_emergency_hypoglycemia,NIH MedlinePlus,Hypoglycemia - self-care,html,https://medlineplus.gov/ency/patientinstructions/000085.htm,2024-05,2026-07-20,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_hypoglycemia.html,data/rag/v2/raw_sources/general_safety/medlineplus_emergency_hypoglycemia.txt,All,"Rule of 15, severe hypoglycemia emergency warnings",High,downloaded_verified_tls,Safety guidelines for hypoglycemia
ada_alcohol_safety,American Diabetes Association,Alcohol and Diabetes,html,https://diabetes.org/healthy-living/devices-technology/alcohol,2024-01,2026-07-20,data/rag/v2_1/raw_sources/diabetes/ada_alcohol_safety.html,data/rag/v2_1/raw_sources/diabetes/ada_alcohol_safety.txt,All,"Alcohol consumption guidelines, delayed hypoglycemia warnings",High,downloaded_verified_tls,Added in V2.1 for Type 1 alcohol safety
cdc_prediabetes_monitoring,CDC,Prediabetes Monitoring & Screening,html,https://www.cdc.gov/diabetes/prevent-type-2/index.html,2023-08,2026-07-20,data/rag/v2_1/raw_sources/prediabetes/cdc_prediabetes_monitoring.html,data/rag/v2_1/raw_sources/prediabetes/cdc_prediabetes_monitoring.txt,All,"HbA1c tests, screening recommendations, lifestyle intervention tracking",High,downloaded_verified_tls,Added in V2.1 for prediabetes A1C guidelines
aha_dash_diet,American Heart Association,What is the DASH Eating Plan?,html,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/dash-diet-eating-plan,2023-06,2026-07-20,data/rag/v2_1/raw_sources/hypertension/aha_dash_diet.html,data/rag/v2_1/raw_sources/hypertension/aha_dash_diet.txt,All,"DASH diet principles, serving guidelines, sodium restriction guidelines",High,downloaded_verified_tls,Added in V2.1 for hypertension DASH eating
nkf_gout_ckd,National Kidney Foundation,Gout and Kidney Disease Link,html,https://www.kidney.org/gout/gout-and-kidney-disease,2023-11,2026-07-20,data/rag/v2_1/raw_sources/ckd/nkf_gout_ckd.html,data/rag/v2_1/raw_sources/ckd/nkf_gout_ckd.txt,All,"Hyperuricemia, chronic kidney disease risk, uric acid filtration reduction",High,downloaded_verified_tls,Added in V2.1 for gout and CKD comorbidity
nih_sleep_weight,NIH,Sleep and Weight Management Relationships,html,https://www.nih.gov/news-events/nih-research-matters/how-sleep-affects-weight-loss,2023-04,2026-07-20,data/rag/v2_1/raw_sources/obesity/nih_sleep_weight.html,data/rag/v2_1/raw_sources/obesity/nih_sleep_weight.txt,All,"Cortisol, ghrelin, leptin, hormonal controls of hunger",High,downloaded_verified_tls,Added in V2.1 for obesity sleep links
medlineplus_caffeine,NIH MedlinePlus,Caffeine and Blood Pressure,html,https://medlineplus.gov/caffeine.html,2024-02,2026-07-20,data/rag/v2_1/raw_sources/hypertension/medlineplus_caffeine.html,data/rag/v2_1/raw_sources/hypertension/medlineplus_caffeine.txt,All,"Vasoconstriction, temporary blood pressure rise guidelines",High,downloaded_verified_tls,Added in V2.1 for hypertension caffeine limits
who_obesity_guidelines,World Health Organization,Obesity and Overweight Fact Sheet,html,https://www.who.int/news-room/fact-sheets/detail/obesity-and-overweight,2024-03,2026-07-20,data/rag/v2_1/raw_sources/obesity/who_obesity_guidelines.html,data/rag/v2_1/raw_sources/obesity/who_obesity_guidelines.txt,All,"Global BMI classifications, dietary energy balance parameters",High,downloaded_verified_tls,Added in V2.1 for obesity BMI criteria
