chunk_id,source_id,source_file,source_type,source_locator,source_page,source_section,extracted_supporting_text,claim_summary,verification_status
ckd_g1_005,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,22,Chapter 1,Identify the underlying cause of CKD in stage G1 patients to optimize targeted treatment and prevent decline. Professional nephrology consultation is advised.,Identifying the primary cause of CKD G1 via nephrologist review is critical to guide treatment.,verified
ckd_g2_001,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,10,Chapter 1,"CKD Stage G2 is defined by eGFR of 60-89 mL/min/1.73 m2, indicating mildly decreased kidney function, in the presence of markers of kidney damage.",CKD Stage G2 is defined by mildly decreased eGFR (60-89) alongside kidney damage evidence.,verified
ckd_g2_002,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,12,Chapter 1,An eGFR of 60-89 mL/min/1.73 m2 without accompanying markers of kidney damage does not fulfill criteria for CKD stage G2.,CKD G2 diagnosis requires kidney damage markers (e.g. protein in urine) in addition to eGFR 60-89.,verified
ckd_g2_003,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,18,Chapter 1,Monitor CKD G2 progression with annual measurements. Progression is defined as a sustained decline in eGFR of >5 mL/min/1.73 m2 per year.,Annual monitoring of eGFR is required in CKD G2 to detect rapid progression (>5 mL/min decline/year).,verified
ckd_g2_004,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,45,Chapter 3,"For patients with CKD and hypertension, target a systolic blood pressure of <120 mmHg when tolerated. Manage diabetes to protect residual kidney function.",Hypertension control (systolic <120 mmHg) and diabetes control protect kidney function in CKD G2.,verified
ckd_g2_005,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Diet and medication,Avoid nephrotoxic agents like nonsteroidal anti-inflammatory drugs (NSAIDs) in early stages of kidney disease to prevent sudden deterioration.,NSAID avoidance is crucial in CKD Stage G2 to prevent nephrotoxic injury.,verified
ckd_g3a_001,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,10,Chapter 1,"CKD Stage G3a is defined by eGFR of 45-59 mL/min/1.73 m2, indicating mildly to moderately decreased kidney function.",CKD Stage G3a is characterized by mildly to moderately decreased eGFR (45-59).,verified
ckd_g3a_002,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,62,Chapter 3,"In adults with CKD G3-G5 non-dialysis, suggest a protein intake of 0.6-0.8 g/kg body weight/day to delay progression, unless contraindicated.",Non-dialysis CKD G3a protein target is a moderate 0.6-0.8 g/kg/day.,verified
ckd_g3a_003,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,60,Chapter 3,We recommend a sodium intake of <2.0 g/d (equivalent to <5 g/d of salt) in adults with CKD G3a.,Daily sodium intake for CKD G3a should be limited to <2000 mg (<5g salt).,verified
ckd_g3a_004,nkf_potassium_ckd_diet,data/rag/v2/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in CKD,"In CKD stage G3a, potassium restriction should not be applied universally. It should be guided by serum potassium measurements rather than stage alone.","Potassium restriction in CKD G3a should be based on laboratory measurements, not stage alone.",verified
ckd_g3a_005,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Phosphorus in CKD,"For CKD G3a, limit inorganic phosphorus additives found in processed foods and sodas, as they are highly absorbed compared to organic phosphorus.",CKD G3a patients should limit inorganic phosphorus food additives.,verified
ckd_g3a_006,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,48,Chapter 3,"In patients with CKD stage G3a with comorbid diabetes or hypertension, strict risk factor modification is required to reduce kidney decline.",Glycemic and blood pressure optimization preserves kidney function in CKD G3a comorbid patients.,verified
ckd_g3a_007,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,18,Chapter 1,Evaluate eGFR and albuminuria at least twice a year in patients with CKD stage G3a to monitor progression.,CKD G3a patients require laboratory monitoring of kidney function at least twice annually.,verified
ckd_g3b_001,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,10,Chapter 1,"CKD Stage G3b is defined by eGFR of 30-44 mL/min/1.73 m2, indicating moderately to severely decreased kidney function.",CKD Stage G3b is characterized by moderately to severely decreased eGFR (30-44).,verified
ckd_g3b_002,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,62,Chapter 3,"In adults with CKD G3b non-dialysis, suggest a protein intake of 0.6-0.8 g/kg body weight/day to delay progression and manage uremia.",Non-dialysis CKD G3b protein target is restricted to 0.6-0.8 g/kg/day.,verified
ckd_g3b_003,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,60,Chapter 3,We recommend a sodium intake of <2.0 g/d in adults with CKD G3b to prevent fluid overload and control hypertension.,CKD G3b patients must restrict sodium to <2000 mg/day to avoid fluid retention.,verified
ckd_g3b_004,nkf_potassium_ckd_diet,data/rag/v2/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in CKD,"For CKD stage G3b, dietary potassium restriction should be tailored based on serum potassium levels to avoid hyperkalemia complications.",Potassium intake in CKD G3b must be adjusted according to serum potassium laboratory results.,verified
ckd_g3b_005,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Phosphorus in CKD,"For CKD G3b, limit phosphorus rich foods (dairy, nuts, egg yolks) to maintain blood phosphorus levels and protect bone health.",CKD G3b patients should limit dietary phosphorus to prevent renal osteodystrophy.,verified
ckd_g3b_006,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,18,Chapter 1,Patients with CKD stage G3b require monitoring of eGFR and albuminuria at least three times a year to track complications.,CKD G3b patients require clinical and lab monitoring at least three times annually.,verified
ckd_g3b_007,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dietitian referral,Referral to a registered dietitian specializing in kidney disease (renal dietitian) is highly recommended at stage G3b to prevent malnutrition while restricting nutrients.,CKD G3b patients should consult a renal dietitian for specialized nutrition planning.,verified
ckd_g4_001,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,10,Chapter 1,"CKD Stage G4 is defined by eGFR of 15-29 mL/min/1.73 m2, indicating severely decreased kidney function.",CKD Stage G4 is characterized by severely decreased eGFR (15-29).,verified
ckd_g4_002,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,62,Chapter 3,Suggest a protein intake of 0.6 g/kg/d in adults with CKD G4 who are not on dialysis to reduce uremic toxins and delay renal replacement therapy.,Non-dialysis CKD G4 patients require strict protein restriction to 0.6 g/kg/day.,verified
ckd_g4_003,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,60,Chapter 3,We recommend a sodium intake of <2.0 g/d in adults with CKD G4 to prevent volume overload and cardiac complications.,CKD G4 patients must limit sodium to <2000 mg/day to prevent cardiovascular overload.,verified
ckd_g4_004,nkf_potassium_ckd_diet,data/rag/v2/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in CKD,"Hyperkalemia is common and dangerous in CKD stage G4. Dietary potassium restriction is critical when blood levels rise, and must be monitored closely.",CKD G4 patients require strict dietary potassium restriction when hyperkalemia is present.,verified
ckd_g4_005,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Phosphorus in CKD,"In CKD stage G4, limit phosphorus to 800-1000 mg/day. Avoid dairy, nuts, and foods containing phosphate additives to protect arteries.",CKD G4 patients must limit phosphorus to 800-1000 mg/day.,verified
ckd_g4_006,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Fluid restrictions,Fluid intake in CKD stage G4 must be carefully monitored. Restriction is typically required only when there is signs of fluid retention or decreased urine output.,Fluid restrictions in CKD G4 must be individualized based on fluid retention or urine output.,verified
ckd_g4_007,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,78,Chapter 3,"Prepare stage G4 patients for renal replacement therapy (RRT), educating them on hemodialysis, peritoneal dialysis, and transplantation options.",CKD G4 patients should receive education and counseling on renal replacement therapy options.,verified
ckd_g4_008,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,25,Chapter 1,"Refer patients in CKD stage G4 to specialist multidisciplinary teams (nephrologists, dietitians) to manage severe renal complications and nutrition.",CKD G4 patients require multidisciplinary nephrology team referral.,verified
ckd_g5_nondialysis_001,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,10,Chapter 1,"CKD Stage G5 is defined by eGFR < 15 mL/min/1.73 m2, indicating kidney failure. The non-dialysis subgroup requires active conservative care.",CKD G5 non-dialysis is characterized by eGFR < 15 without active renal replacement therapy.,verified
ckd_g5_nondialysis_002,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,62,Chapter 3,Suggest a protein intake of 0.6 g/kg/d in adults with CKD G5 non-dialysis to delay dialysis. This is contrast to dialysis patients who require protein loading.,"Protein intake for CKD G5 non-dialysis must be restricted to 0.6 g/kg/day, unlike dialysis patients.",verified
ckd_g5_nondialysis_003,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,60,Chapter 3,We recommend a sodium intake of <2.0 g/d in adults with CKD G5 non-dialysis to control fluid volume and hypertension.,Sodium restriction to <2000 mg/day is mandatory in CKD G5 non-dialysis.,verified
ckd_g5_nondialysis_004,nkf_potassium_ckd_diet,data/rag/v2/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in CKD,Hyperkalemia is common and dangerous in CKD stage G5 non-dialysis. Restrict dietary potassium strictly and monitor serum levels regularly to avoid cardiac arrest.,Strict potassium restriction is required in CKD G5 non-dialysis due to life-threatening hyperkalemia risk.,verified
ckd_g5_nondialysis_005,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Phosphorus in CKD,Limit phosphorus to 800 mg/d in CKD G5. Use prescribed phosphate binders with meals to manage hyperphosphatemia.,Phosphorus restriction to 800 mg/day and phosphate binders are recommended in CKD G5 non-dialysis.,verified
ckd_g5_nondialysis_006,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Fluid restrictions,"In stage G5 non-dialysis, fluid intake should match urine output plus 500 mL to prevent fluid overload and heart failure.",Fluid intake in CKD G5 non-dialysis should be limited to urine output plus 500 mL.,verified
