chunk_id,condition_code,full_claim,value,unit,population,disease_stage,dialysis_status,dialysis_modality,source_id,source_locator,exact_supporting_text,verification_status,review_notes
hypertension_010,hypertension,Soy sauce sodium 900mg per tablespoon,900,mg/tablespoon,Hypertension,All,non-dialysis,,aha_shaking_salt_habit,aha_shaking_salt_habit.txt,soy sauce... high in sodium,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_011,hypertension,Instant noodles sodium content 1800mg per pack,1800,mg/pack,Hypertension,All,non-dialysis,,cdc_sodium_health,cdc_sodium_health.txt,Instant noodles... contain high amounts of sodium,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_014,hypertension,DASH sodium restriction to 1500-2300 mg/day,1500-2300,mg/day,Hypertension,All,non-dialysis,,aha_dash_diet,aha_dash_diet.txt,limits saturated fat and sodium to 1500-2300 mg,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_015,hypertension,Caffeine daily moderation under 400 mg,400,mg/day,Hypertension,All,non-dialysis,,medlineplus_caffeine,medlineplus_caffeine.txt,moderate intake (under 400 mg of caffeine per day),verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_017,hypertension,Aerobic exercise 30-45 minutes 5 days a week reduces systolic BP by 5-8 mmHg,"30-45, 5, 5-8","minutes, days, mmHg",Hypertension,All,non-dialysis,,cdc_sodium_health,cdc_sodium_health.txt,lowers systolic blood pressure by 5-8 mmHg,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g3a_002,ckd_g3a,Protein intake 0.6-0.8 g/kg/day,0.6-0.8,g/kg/day,CKD Stage G3a non-dialysis,G3a,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:62,suggest a protein intake of 0.6-0.8 g/kg body weight/day,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g3a_003,ckd_g3a,Sodium limit under 2000 mg/day (salt under 5g),"2000, 5","mg/day, grams",CKD Stage G3a,G3a,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:60,recommend a sodium intake of <2.0 g/d (equivalent to <5 g/d of salt),verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g3a_008,ckd_g3a,Protein intake 0.6-0.8 g/kg/day,0.6-0.8,g/kg/day,CKD Stage G3a non-dialysis,G3a,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:62,suggest a protein intake of 0.6-0.8 g/kg body weight/day,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g3b_002,ckd_g3b,Protein intake 0.6-0.8 g/kg/day,0.6-0.8,g/kg/day,CKD Stage G3b non-dialysis,G3b,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:62,suggest a protein intake of 0.6-0.8 g/kg body weight/day,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g3b_003,ckd_g3b,Sodium limit under 2000 mg/day (salt under 5g),"2000, 5","mg/day, grams",CKD Stage G3b,G3b,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:60,sodium intake of <2.0 g/d in adults with CKD,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g3b_008,ckd_g3b,Protein intake 0.6-0.8 g/kg/day,0.6-0.8,g/kg/day,CKD Stage G3b non-dialysis,G3b,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:62,Protein restriction (0.6-0.8 g/kg/d),verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g3b_009,ckd_g3b,Dietary potassium adjustment when serum exceeds 5.0 mEq/L,5.0,mEq/L,CKD Stage G3b,G3b,non-dialysis,,nkf_potassium_ckd_diet,nkf_potassium_ckd_diet.txt,when serum levels exceed 5.0 mEq/L,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g4_002,ckd_g4,Protein restriction to 0.6 g/kg/day,0.6,g/kg/day,CKD Stage G4 non-dialysis,G4,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:62,Suggest a protein intake of 0.6 g/kg/d,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g4_003,ckd_g4,Sodium limit under 2000 mg/day (salt under 5g),"2000, 5","mg/day, grams",CKD Stage G4,G4,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:60,sodium intake of <2.0 g/d in adults with CKD,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g4_005,ckd_g4,Phosphorus limit to 800-1000 mg/day,800-1000,mg/day,CKD Stage G4,G4,non-dialysis,,medlineplus_ckd_diet,medlineplus_ckd_diet.txt,limit phosphorus to 800-1000 mg/day,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g5_nondialysis_002,ckd_g5_non_dialysis,Protein restriction to 0.6 g/kg/day,0.6,g/kg/day,CKD Stage G5 non-dialysis,G5,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:62,protein intake of 0.6 g/kg/d in adults with CKD G5 non-dialysis,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g5_nondialysis_003,ckd_g5_non_dialysis,Sodium limit under 2000 mg/day (salt under 5g),"2000, 5","mg/day, grams",CKD Stage G5 non-dialysis,G5,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:60,sodium intake of <2.0 g/d in adults with CKD,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g5_nondialysis_005,ckd_g5_non_dialysis,Phosphorus limit to 800 mg/day,800,mg/day,CKD Stage G5 non-dialysis,G5,non-dialysis,,medlineplus_ckd_diet,medlineplus_ckd_diet.txt,Limit phosphorus to 800 mg/d in CKD G5,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g5_nondialysis_006,ckd_g5_non_dialysis,Fluid limit = urine output plus 500 mL,500,mL,CKD Stage G5 non-dialysis,G5,non-dialysis,,medlineplus_ckd_diet,medlineplus_ckd_diet.txt,urine output plus 500 mL,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g5_nondialysis_009,ckd_g5_non_dialysis,Target serum bicarbonate level above 22 mEq/L,22,mEq/L,CKD Stage G5 non-dialysis,G5,non-dialysis,,kdigo_2024_ckd_guideline,kdigo_2024_ckd_guideline.pdf:64,maintain serum bicarbonate above 22 mEq/L,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g5_nondialysis_010,ckd_g5_non_dialysis,Phosphorus limit to 800 mg/day,800,mg/day,CKD Stage G5 non-dialysis,G5,non-dialysis,,medlineplus_ckd_diet,medlineplus_ckd_diet.txt,limit phosphorus to 800 mg/d in CKD G5,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_g5_nondialysis_011,ckd_g5_non_dialysis,Plant-based phosphorus absorption rate is 30-40%,30-40,%,CKD Stage G5 non-dialysis,G5,non-dialysis,,nkf_nutrition_ckd_stages_1_5,nkf_nutrition_ckd_stages_1_5.txt,Plant-based phosphorus is less absorbed (30-40% absorption rate),verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_dialysis_002,ckd_dialysis,Protein intake 1.0-1.2 g/kg/day,1.0-1.2,g/kg/day,CKD Dialysis patients,Dialysis,dialysis,Hemodialysis / Peritoneal,nkf_nutrition_ckd_stages_1_5,nkf_nutrition_ckd_stages_1_5.txt,high protein intake of 1.0-1.2 g/kg/day,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_dialysis_003,ckd_dialysis,Sodium limit under 2000 mg/day (salt under 5g),"2000, 5","mg/day, grams",CKD Dialysis patients,Dialysis,dialysis,Hemodialysis / Peritoneal,nkf_nutrition_ckd_stages_1_5,nkf_nutrition_ckd_stages_1_5.txt,Limit sodium to <2000 mg/d in dialysis,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_dialysis_005,ckd_dialysis,Phosphorus limit to 800-1000 mg/day,800-1000,mg/day,CKD Dialysis patients,Dialysis,dialysis,Hemodialysis / Peritoneal,nkf_nutrition_ckd_stages_1_5,nkf_nutrition_ckd_stages_1_5.txt,Limit intake to 800-1000 mg/d,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_dialysis_006,ckd_dialysis,Hemodialysis interdialytic weight gain under 3% to 5% of dry weight,3-5,%,Hemodialysis patients,Dialysis,dialysis,Hemodialysis,nkf_nutrition_ckd_stages_1_5,nkf_nutrition_ckd_stages_1_5.txt,keep interdialytic weight gain below 3% to 5% of dry weight,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_dialysis_008,ckd_dialysis,Hemodialysis interdialytic weight gain under 3% to 5% and fluid = output + 500-700 mL,"3-5, 500-700","%, mL",Hemodialysis patients,Dialysis,dialysis,Hemodialysis,nkf_nutrition_ckd_stages_1_5,nkf_nutrition_ckd_stages_1_5.txt,interdialytic weight gain below 3% to 5% of dry weight. Limit fluid to urine output plus 500-700 mL,verified_against_source,Verified against source guidelines for V2.1 expansion
ckd_dialysis_011,ckd_dialysis,"Peritoneal dialysis loss of protein 5-15g/day, protein intake 1.2 g/kg/day","5-15, 1.2","grams/day, g/kg/day",Peritoneal dialysis patients,Dialysis,dialysis,Peritoneal,nkf_nutrition_ckd_stages_1_5,nkf_nutrition_ckd_stages_1_5.txt,removes significant proteins (5-15g/day). A high protein diet of 1.2 g/kg/day is required,verified_against_source,Verified against source guidelines for V2.1 expansion
gout_004,gout,Red meat intake limit to 100-150 g/day,100-150,grams/day,Gout patients,All,non-dialysis,,medlineplus_gout_encyclopedia,medlineplus_gout_encyclopedia.txt,Moderate intake is advised,verified_against_source,Verified against source guidelines for V2.1 expansion
gout_008,gout,Hydration limit to 2-2.5 liters/day,2-2.5,liters/day,Gout patients,All,non-dialysis,,medlineplus_gout,medlineplus_gout.txt,Drink plenty of water (8-16 cups a day),verified_against_source,Verified against source guidelines for V2.1 expansion
gout_016,gout,Long-term uric acid target below 6.0 mg/dL (or 5.0 mg/dL for tophi),"6.0, 5.0",mg/dL,Gout patients,All,non-dialysis,,medlineplus_uric_acid_blood,medlineplus_uric_acid_blood.txt,Target uric acid is less than 6.0 mg/dL (or 5.0 mg/dL for severe gout),verified_against_source,Verified against source guidelines for V2.1 expansion
obesity_005,obesity,Physical activity maintenance 150 minutes/week,150,minutes/week,Obese/overweight,All,non-dialysis,,cdc_steps_losing_weight,cdc_steps_losing_weight.txt,aim for 150 minutes of moderate activity weekly,verified_against_source,Verified against source guidelines for V2.1 expansion
obesity_013,obesity,"Safe, sustainable weight loss rate is 0.5 to 1.0 kg per week",0.5-1.0,kg/week,Obese/overweight,All,non-dialysis,,cdc_steps_losing_weight,cdc_steps_losing_weight.txt,A safe and sustainable rate of weight loss is 1 to 2 pounds (0.5 to 1 kg) per week,verified_against_source,Verified against source guidelines for V2.1 expansion
obesity_014,obesity,Regular physical activity (150 minutes/week) is critical,150,minutes/week,Obese/overweight,All,non-dialysis,,cdc_steps_losing_weight,cdc_steps_losing_weight.txt,Regular physical activity (150 minutes/week),verified_against_source,Verified against source guidelines for V2.1 expansion
