condition_code,condition_name_en,condition_name_vi,condition_group,nutrient_code,nutrient_name_en,nutrient_name_vi,rule_type,rule_direction,priority,threshold_value,threshold_unit,threshold_basis,applies_when,recommendation_en,recommendation_vi,food_filter_hint,clinical_caution_en,clinical_caution_vi,source_name,source_url,evidence_level,rule_id,source_accessed_at,row_hash
cardiovascular_risk,Cardiovascular Risk,Nguy cơ tim mạch,cardiovascular,trans_fat,Trans Fat,Chất béo chuyển hóa,avoid,avoid,high,0.0,g/day,per_day,general_adult_guidance,Eliminate partially hydrogenated oils and trans fats from the diet to protect vascular integrity.,Loại bỏ dầu hydro hóa một phần và chất béo chuyển hóa khỏi chế độ ăn để bảo vệ mạch máu.,avoid_trans_fat,"Saturated fat is a risk factor, but industrial trans fat is an absolute toxin for heart health.","Chất béo bão hòa là yếu tố nguy cơ, nhưng chất béo chuyển hóa công nghiệp là chất độc đối với tim mạch.",WHO REPLACE Action Package,https://www.who.int/teams/nutrition-and-food-safety/replace-trans-fat,official_guideline,cardiovascular_risk_trans_fat_avoid,2026-07-04T09:28:54Z,efe9b66dd11723fb51cc2c5b5727c882
cardiovascular_risk,Cardiovascular Risk,Nguy cơ tim mạch,cardiovascular,added_sugar,Added Sugar,Đường thêm vào,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,Limit added sugars to under 10% of daily calories to lower triglycerides and obesity risk.,Hạn chế đường thêm vào dưới 10% năng lượng hàng ngày để giảm triglyceride và nguy cơ béo phì.,penalize_added_sugar,Excessive simple sugars are associated with atherosclerosis risk factors.,Thừa đường đơn có liên quan đến các yếu tố nguy cơ gây xơ vữa động mạch.,AHA Added Sugars Scientific Statement,https://www.ahajournals.org/doi/10.1161/cir.0b013e3181bbc3ed,professional_association_guidance,cardiovascular_risk_added_sugar_limit,2026-07-04T09:28:54Z,ba332b54e80ad478a784773743494a7e
cardiovascular_risk,Cardiovascular Risk,Nguy cơ tim mạch,cardiovascular,omega_3,Omega-3 Fatty Acids,Axit béo Omega-3,prioritize,higher,medium,250.0,mg/day,per_day,general_adult_guidance,Prioritize dietary EPA and DHA sources (such as fatty fish) to support cardioprotection.,Ưu tiên các nguồn EPA và DHA từ chế độ ăn (như cá béo) để hỗ trợ bảo vệ tim mạch.,prioritize_omega_3,High-dose supplements should be monitored due to potential mild blood-thinning effects.,Thực phẩm bổ sung liều cao phải theo dõi do có tác dụng làm loãng máu nhẹ.,AHA Omega-3 Advisory,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000482,professional_association_guidance,cardiovascular_risk_omega_3_prioritize,2026-07-04T09:28:54Z,91396ced9b77529cc1eac1315ca8a959
heart_failure,Heart Failure,Suy tim,cardiovascular,sodium,Sodium,Natri,limit,lower,high,2000.0,mg/day,per_day,doctor_or_dietitian_required,Strictly limit sodium to under 2000 mg/day to reduce fluid retention and cardiac workload.,Hạn chế nghiêm ngặt natri dưới 2000 mg/ngày để giảm tích tụ dịch và gánh nặng cho tim.,penalize_high_sodium,Heart failure patients must receive individualized targets from their cardiologist. Extreme restriction (<1500mg) is controversial in some stages.,Bệnh nhân suy tim phải nhận mục tiêu cá nhân từ bác sĩ tim mạch. Giới hạn quá mức (<1500mg) gây tranh cãi ở một số giai đoạn.,ACC/AHA Heart Failure Guidelines,https://www.jacc.org/doi/10.1016/j.jacc.2022.02.010,professional_association_guidance,heart_failure_sodium_limit,2026-07-04T09:28:54Z,6c906195241550f0d0a2a44a0c84cc79
heart_failure,Heart Failure,Suy tim,cardiovascular,water,Fluid / Water,Nước,individualize,individualized,high,,individualized,individualized,doctor_or_dietitian_required,Monitor and limit total fluid intake under doctor supervision to prevent fluid overload.,Theo dõi và hạn chế tổng lượng nước uống dưới sự giám sát của bác sĩ để ngăn thừa dịch.,monitor_fluids,Fluid limits (e.g. 1.5 - 2.0 L/day) are stage-dependent and must be prescribed by a physician.,Giới hạn dịch (ví dụ 1.5 - 2.0 lít/ngày) tùy thuộc giai đoạn bệnh và phải do bác sĩ chỉ định.,AHA Heart Failure Care,https://www.jacc.org/doi/10.1016/j.jacc.2022.02.010,professional_association_guidance,heart_failure_water_individualize,2026-07-04T09:28:54Z,52a52101ad86bd940df9679c0151c154
stroke_risk,Stroke Risk,Nguy cơ đột quỵ,cardiovascular,sodium,Sodium,Natri,limit,lower,high,2300.0,mg/day,per_day,high_blood_pressure,Limit sodium intake to manage hypertension and reduce primary stroke risk.,Giới hạn lượng natri để kiểm soát cao huyết áp và giảm nguy cơ đột quỵ nguyên phát.,penalize_high_sodium,Control of systolic blood pressure is the single most important dietary-related factor for stroke prevention.,Kiểm soát huyết áp tâm thu là yếu tố liên quan đến chế độ ăn uống quan trọng nhất để phòng ngừa đột quỵ.,AHA/ASA Stroke Prevention Guidelines,https://www.ahajournals.org/doi/10.1161/STR.0000000000000350,professional_association_guidance,stroke_risk_sodium_limit,2026-07-04T09:28:54Z,d91dc58a08527684359382bbd7d51a94
prediabetes,Prediabetes,Tiền tiểu đường,metabolic,carbohydrate,Carbohydrates,Carbohydrate,monitor,monitor,high,,individualized,individualized,diabetes_meal_planning,"Monitor carbohydrate portions and focus on complex, high-fiber carbohydrates.","Theo dõi khẩu phần carbohydrate và tập trung vào các nguồn carb phức hợp, giàu chất xơ.",monitor_total_carbs,Do NOT completely avoid carbohydrates. Choose high-fiber grains over refined options.,KHÔNG tránh hoàn toàn carbohydrate. Chọn ngũ cốc giàu chất xơ thay vì ngũ cốc tinh chế.,ADA Standards of Care,https://diabetesjournals.org/care/article/46/Supplement_1/S49/148043/3-Prevention-or-Delay-of-Type-2-Diabetes-and,professional_association_guidance,prediabetes_carbohydrate_monitor,2026-07-04T09:28:54Z,5950f2b47bdd415421ce5806430a2cb8
prediabetes,Prediabetes,Tiền tiểu đường,metabolic,sugar_sweetened_beverage,Sugar-Sweetened Beverages,Đồ uống có đường,avoid,avoid,high,0.0,g/day,per_day,diabetes_meal_planning,Completely avoid sugar-sweetened beverages to reduce glycemic load and hepatic fat.,Tránh hoàn toàn đồ uống có đường để giảm tải đường huyết và tích tụ mỡ gan.,penalize_added_sugar,Sweetened drinks contribute directly to insulin resistance development.,Đồ uống ngọt góp phần trực tiếp vào sự phát triển của tình trạng kháng insulin.,ADA Prevention Guidelines,https://diabetesjournals.org/care/article/46/Supplement_1/S49/148043/3-Prevention-or-Delay-of-Type-2-Diabetes-and,professional_association_guidance,prediabetes_sugar_sweetened_beverage_avoid,2026-07-04T09:28:54Z,4e650d0ba0af3d3abd1994e47a176e3b
diabetes_type_2,Type 2 Diabetes,Tiểu đường type 2,metabolic,carbohydrate,Carbohydrates,Carbohydrate,monitor,monitor,high,,individualized,individualized,diabetes_meal_planning,"Monitor total carbohydrate intake and distribute throughout the day. Prioritize high-fiber, low-glycemic sources.",Theo dõi tổng lượng carbohydrate nạp vào và phân bổ đều trong ngày. Ưu tiên chất xơ và tinh bột hấp thu chậm.,monitor_total_carbs,Do NOT avoid all carbohydrates. Work with a certified diabetes educator to set personalized carb targets per meal.,KHÔNG tránh hoàn toàn carbohydrate. Hãy trao đổi với chuyên gia nội tiết để xác định lượng carbs phù hợp cho từng bữa ăn.,American Diabetes Association,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes,professional_association_guidance,diabetes_type_2_carbohydrate_monitor,2026-07-04T09:28:54Z,ef400a960277affdb2bd651420a02906
diabetes_type_2,Type 2 Diabetes,Tiểu đường type 2,metabolic,added_sugar,Added Sugar,Đường thêm vào,limit,lower,high,10.0,percent_calories,percent_of_daily_calories,diabetes_meal_planning,"Limit added sugars to less than 10% of total energy intake, and avoid sugar-sweetened beverages.",Giới hạn đường thêm vào dưới 10% tổng năng lượng nạp vào và tránh các loại đồ uống có đường.,penalize_added_sugar,Sugar restriction helps manage glycemic index fluctuations and body weight.,Hạn chế đường giúp kiểm soát tốt chỉ số đường huyết và trọng lượng cơ thể.,CDC Diabetes Food Guide,https://www.cdc.gov/diabetes/healthy-eating/index.html,official_public_health_page,diabetes_type_2_added_sugar_limit,2026-07-04T09:28:54Z,32db10d4ca773fb52b49ad471c4a43d4
diabetes_type_2,Type 2 Diabetes,Tiểu đường type 2,metabolic,refined_grain,Refined Grains,Ngũ cốc tinh chế,limit,lower,medium,,individualized,individualized,diabetes_meal_planning,"Limit refined grains (white bread, white rice) and replace with minimally processed whole grains.","Hạn chế ngũ cốc tinh chế (bánh mì trắng, gạo trắng) và thay thế bằng ngũ cốc nguyên hạt ít chế biến.",penalize_refined_grains,Refined grains cause rapid blood glucose spikes compared to whole grains.,Ngũ cốc tinh chế gây tăng huyết đường nhanh hơn so với ngũ cốc nguyên hạt.,ADA Nutrition Recommendations,https://diabetesjournals.org/care/article/42/5/731/36679/Nutrition-Therapy-for-Adults-With-Diabetes-or,professional_association_guidance,diabetes_type_2_refined_grain_limit,2026-07-04T09:28:54Z,545b09cf521df307bf880674df7a2d9f
diabetes_type_1,Type 1 Diabetes,Tiểu đường type 1,metabolic,carbohydrate,Carbohydrates,Carbohydrate,monitor,monitor,high,,individualized,individualized,diabetes_meal_planning,Track carbohydrate intake precisely for insulin-to-carbohydrate ratio dosing calculations.,Theo dõi chính xác lượng carbohydrate nạp vào để phục vụ tính toán tỷ lệ insulin-to-carb.,monitor_total_carbs,Carbohydrate tracking must coordinate directly with insulin therapy. Do NOT avoid all carbohydrates.,Theo dõi carbohydrate phải phối hợp trực tiếp với liệu pháp insulin. KHÔNG tránh hoàn toàn carbohydrate.,ADA Standards of Care - Diabetes Nutrition,https://diabetesjournals.org/care/article/46/Supplement_1/S49/148043/,professional_association_guidance,diabetes_type_1_carbohydrate_monitor,2026-07-04T09:28:54Z,c19ee7289fbe61717d27db5fec096094
obesity,Obesity,Béo phì,weight_management,calories,Calories,Calo,monitor,monitor,high,,kcal/day,individualized,weight_loss_goal,"Monitor total calorie intake to maintain a safe, individualized calorie deficit.","Theo dõi tổng lượng calo nạp vào để duy trì mức thâm hụt calo an toàn, được cá nhân hóa.",monitor_calories,Do NOT prescribe extreme calorie deficits. Safe targets must support metabolic health.,KHÔNG áp dụng thâm hụt calo quá mức. Mục tiêu an toàn phải hỗ trợ sức khỏe trao đổi chất.,CDC Weight Loss Eating Plan,https://www.cdc.gov/healthyweight/healthy_eating/index.html,official_public_health_page,obesity_calories_monitor,2026-07-04T09:28:54Z,0366abb1d340a436c992a7ead3066a67
obesity,Obesity,Béo phì,weight_management,ultra_processed_food,Ultra-processed Foods,Thực phẩm siêu chế biến,limit,lower,medium,,individualized,individualized,weight_loss_goal,Limit consumption of ultra-processed foods which are hyper-palatable and promote overeating.,Hạn chế tiêu thụ thực phẩm siêu chế biến vốn kích thích vị giác mạnh và dễ dẫn đến ăn quá mức.,penalize_ultra_processed,"Substitute processed snacks with whole foods (nuts, fruits, vegetables).","Thay thế đồ ăn nhẹ chế biến bằng thực phẩm nguyên bản (các loại hạt, trái cây, rau).",Dietary Guidelines for Americans,https://www.dietaryguidelines.gov/,official_guideline,obesity_ultra_processed_food_limit,2026-07-04T09:28:54Z,a4c2318a833917e7cb772a6f38bbdd82
metabolic_syndrome,Metabolic Syndrome,Hội chứng chuyển hóa,metabolic,added_sugar,Added Sugar,Đường thêm vào,limit,lower,high,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,Restrict added sugars to prevent worsening of insulin resistance and dyslipidemia.,Hạn chế đường thêm vào để ngăn tình trạng kháng insulin và rối loạn mỡ máu tồi tệ hơn.,penalize_added_sugar,Metabolic syndrome involves clustering of heart disease and diabetes risk factors.,Hội chứng chuyển hóa bao gồm nhóm các yếu tố nguy cơ gây bệnh tim và tiểu đường.,AHA/NHLBI Scientific Statement,https://www.ahajournals.org/doi/10.1161/circulationaha.105.169404,professional_association_guidance,metabolic_syndrome_added_sugar_limit,2026-07-04T09:28:54Z,f139a2c58b94fc8e2d146af5ad573c66
fatty_liver_nafld,Non-alcoholic Fatty Liver Disease,Gan nhiễm mỡ không do rượu,metabolic,alcohol,Alcohol,Rượu / Cồn,avoid,avoid,high,0.0,g/day,per_day,doctor_or_dietitian_required,Strictly avoid alcohol consumption to prevent progression to steatohepatitis.,Tránh tuyệt đối uống rượu bia để ngăn tiến triển thành viêm gan nhiễm mỡ.,avoid_alcohol,NAFLD diagnosis increases vulnerability to toxic effects of ethanol.,Chẩn đoán bệnh gan nhiễm mỡ làm tăng khả năng bị tổn thương do cồn.,AASLD Practice Guidelines,https://www.aasld.org/practice-guidelines,professional_association_guidance,fatty_liver_nafld_alcohol_avoid,2026-07-04T09:28:54Z,8c64af23660438fbf71f531d29b90743
fatty_liver_nafld,Non-alcoholic Fatty Liver Disease,Gan nhiễm mỡ không do rượu,metabolic,added_sugar,Added Sugar,Đường thêm vào,limit,lower,high,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,"Limit added sugars, particularly high-fructose corn syrup, to minimize de novo lipogenesis in the liver.","Hạn chế đường thêm vào, đặc biệt là siro ngô cao đường để giảm thiểu tạo mỡ mới tại gan.",penalize_added_sugar,"Fructose is metabolized exclusively in the liver, promoting hepatic fat accumulation.","Fructose được chuyển hóa duy nhất tại gan, kích thích tích tụ mỡ gan.",AASLD NAFLD Guidelines,https://www.aasld.org/practice-guidelines,professional_association_guidance,fatty_liver_nafld_added_sugar_limit,2026-07-04T09:28:54Z,24816de2176ec84ac7e7c99484c5c7f9
chronic_kidney_disease,Chronic Kidney Disease,Suy thận mạn,kidney,sodium,Sodium,Natri,limit,lower,high,2300.0,mg/day,per_day,ckd_stage_dependent,Limit sodium to under 2300 mg/day to help control blood pressure and swelling.,Giới hạn natri dưới 2300 mg/ngày để kiểm soát huyết áp và tình trạng phù nề.,penalize_high_sodium,Universal guidance for CKD. Monitor blood pressure and fluid balance.,Hướng dẫn chung cho bệnh nhân suy thận mạn. Theo dõi huyết áp và cân bằng dịch.,National Kidney Foundation,https://www.kidney.org/nutrition/Kidney-Disease-Stages-1-4-Nutrition,professional_association_guidance,chronic_kidney_disease_sodium_limit,2026-07-04T09:28:54Z,40eb4606d14f66a021ef6c430d022912
chronic_kidney_disease,Chronic Kidney Disease,Suy thận mạn,kidney,potassium,Potassium,Kali,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Monitor and adjust potassium intake based on lab results and clinical guidance.,Theo dõi và điều chỉnh lượng kali dựa trên kết quả xét nghiệm và hướng dẫn lâm sàng.,ckd_monitor_potassium,"No universal limit. High blood potassium is life-threatening, but restrictions are only needed if blood levels are high.","Không có giới hạn chung. Tăng kali máu gây nguy hiểm tính mạng, nhưng chỉ hạn chế nếu nồng độ kali trong máu tăng cao.",National Kidney Foundation Nutrition,https://www.kidney.org/atoz/content/potassium,professional_association_guidance,chronic_kidney_disease_potassium_individualize,2026-07-04T09:28:54Z,4ac30f0b9410cf8e09f969aff1ed48a3
chronic_kidney_disease,Chronic Kidney Disease,Suy thận mạn,kidney,phosphorus,Phosphorus,Phốt pho,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Monitor phosphorus intake and limit organic/inorganic phosphate additives as stage advances.,Theo dõi lượng phốt pho và hạn chế chất phụ gia phốt phát khi bệnh tiến triển.,ckd_monitor_phosphorus,Phosphate control is highly individualized. Excessive blood phosphorus weakens bones and damages blood vessels.,Kiểm soát phốt pho mang tính cá nhân hóa cao. Tăng phốt pho máu làm yếu xương và hỏng mạch máu.,National Kidney Foundation Nutrition,https://www.kidney.org/atoz/content/phosphorus,professional_association_guidance,chronic_kidney_disease_phosphorus_individualize,2026-07-04T09:28:54Z,56a20a665aa4b736571b781df0bbf17a
chronic_kidney_disease,Chronic Kidney Disease,Suy thận mạn,kidney,protein,Protein,Đạm,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Individualize protein intake to avoid taxing the kidneys (non-dialysis stages) or support dialysate losses.,Cá nhân hóa lượng đạm để tránh quá tải cho thận (giai đoạn chưa lọc máu) hoặc bù đắp lượng đạm mất đi khi lọc máu.,ckd_individualize_protein,Protein needs differ drastically between pre-dialysis stage (requires restriction) and dialysis stage (requires higher intake).,Nhu cầu đạm khác nhau hoàn toàn giữa giai đoạn tiền lọc máu (cần hạn chế) và lọc máu (cần đạm cao).,National Institute of Diabetes and Digestive and Kidney Diseases,https://www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/eating-right,official_public_health_page,chronic_kidney_disease_protein_individualize,2026-07-04T09:28:54Z,14bfd66f34b719d8ab4f65af2e81151c
chronic_kidney_disease,Chronic Kidney Disease,Suy thận mạn,kidney,water,Fluid / Water,Nước,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Monitor total fluid intake and limit when swelling or dialysis requirements dictate.,Theo dõi tổng lượng nước uống và hạn chế khi có tình trạng phù hoặc yêu cầu lọc máu.,monitor_fluids,Fluid targets are strictly stage-dependent. Only restrict fluid when directed by your renal clinician.,Mục tiêu uống nước tùy thuộc nghiêm ngặt vào giai đoạn bệnh. Chỉ hạn chế khi bác sĩ thận khuyên dùng.,NIDDK Kidney Disease Information,https://www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/eating-right,official_public_health_page,chronic_kidney_disease_water_individualize,2026-07-04T09:28:54Z,2cbb9bcaa4cd382b2675dbfa93ed6977
chronic_kidney_disease,Chronic Kidney Disease,Suy thận mạn,kidney,calcium,Calcium,Canxi,individualize,individualized,medium,,individualized,individualized,ckd_stage_dependent,Monitor calcium intake to avoid vascular calcification or mineral bone disorder.,Theo dõi lượng canxi nạp vào để tránh tình trạng vôi hóa mạch máu hoặc rối loạn xương khoáng chất.,ckd_monitor_calcium,CKD alters calcium-phosphorus balance. Targets should be individualized.,Bệnh thận làm thay đổi sự cân bằng canxi-phốt pho. Mục tiêu canxi phải được cá nhân hóa.,National Kidney Foundation,https://www.kidney.org/nutrition/Kidney-Disease-Stages-1-4-Nutrition,professional_association_guidance,chronic_kidney_disease_calcium_individualize,2026-07-04T09:28:54Z,d5c0c74e35e49e8c5573555081917cf5
kidney_stone_risk,Kidney Stone Risk,Nguy cơ sỏi thận,kidney,water,Water / Hydration,Nước,prioritize,higher,high,2500.0,ml/day,per_day,general_adult_guidance,Prioritize high water intake (at least 2.5 liters/day) to dilute urine and prevent stone formation.,Ưu tiên uống nhiều nước (ít nhất 2.5 lít/ngày) để làm loãng nước tiểu và ngăn ngừa hình thành sỏi.,prioritize_hydration,Ensure constant hydration throughout the day. Patients with heart or kidney failure should consult a doctor before increasing fluids.,Đảm bảo uống nước đều trong ngày. Bệnh nhân suy tim hoặc suy thận nên hỏi ý kiến bác sĩ trước khi tăng nước.,NIDDK Kidney Stones Guide,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones/eating-diet-nutrition,official_public_health_page,kidney_stone_risk_water_prioritize,2026-07-04T09:28:54Z,b99f37a06633ad6e058a5368efab47d1
kidney_stone_risk,Kidney Stone Risk,Nguy cơ sỏi thận,kidney,sodium,Sodium,Natri,limit,lower,medium,2300.0,mg/day,per_day,general_adult_guidance,"Limit sodium intake. High sodium increases the amount of calcium excreted in urine, raising stone risk.","Hạn chế lượng muối. Natri cao làm tăng lượng canxi bài tiết qua nước tiểu, làm tăng nguy cơ sỏi.",penalize_high_sodium,Lowering sodium helps prevent calcium-based kidney stones.,Giảm muối giúp phòng ngừa sỏi thận dạng canxi.,NIDDK Kidney Stones Diet,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones/eating-diet-nutrition,official_public_health_page,kidney_stone_risk_sodium_limit,2026-07-04T09:28:54Z,875aaf94c34112ab779a0b6db85aa6d5
