activity_id,source_compendium,category_name_vi,category_name_en,description_vi,description_en,met_value,met_type,baseline_value,baseline_unit,intensity_level,suitable_for_beginner,suitable_for_elderly,suitable_for_wheelchair_user,source_url
adult_01018,adult,đạp xe,Bicycling,"đạp xe, leisure 5.5 mph","Bicycling, leisure 5.5 mph",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01019,adult,đạp xe,Bicycling,"đạp xe, leisure, 9.4 mph","Bicycling, leisure, 9.4 mph",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01020,adult,đạp xe,Bicycling,"đạp xe, 10-11.9 mph, leisure, chậm, nhẹ nỗ lực","Bicycling, 10-11.9 mph, leisure, slow, light effort",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01030,adult,đạp xe,Bicycling,"đạp xe, 12-13.9 mph, leisure, vừa nỗ lực","Bicycling, 12-13.9 mph, leisure, moderate effort",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01040,adult,đạp xe,Bicycling,"đạp xe, 14-15.9 mph, racing hoặc leisure, nhanh, mạnh nỗ lực","Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",10.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01050,adult,đạp xe,Bicycling,"đạp xe, 16-19 mph, racing/not drafting hoặc >19 mph drafting, very nhanh, racing chung","Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",12.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01060,adult,đạp xe,Bicycling,"đạp xe, >20 mph, racing, not drafting","Bicycling, >20 mph, racing, not drafting",16.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01065,adult,đạp xe,Bicycling,"đạp xe, 12 mph, seated, hands on brake hoods hoặc bar drops, 80 rpm","Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01066,adult,đạp xe,Bicycling,"đạp xe, 12 mph, đứng, hands on brake hoods, 60 rpm","Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01070,adult,đạp xe,Bicycling,Unicycling,Unicycling,5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01080,adult,đạp xe,Bicycling,E-bike (electrically assisted) không có electronic support,E-bike (electrically assisted) without electronic support,6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01084,adult,đạp xe,Bicycling,E-bike (electrically assisted) với nhẹ electronic support,E-bike (electrically assisted) with light electronic support,6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01088,adult,đạp xe,Bicycling,E-bike (electrically assisted) với high electronic support,E-bike (electrically assisted) with high electronic support,4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01200,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, chung","Bicycling, stationary, general",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01210,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 25-30 watts, very nhẹ to nhẹ nỗ lực","Bicycling, stationary, 25-30 watts, very light to light effort",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01214,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 50 watts, nhẹ nỗ lực","Bicycling, stationary, 50 watts, light effort",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01216,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 60 watts, nhẹ to vừa nỗ lực","Bicycling, stationary, 60 watts, light to moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01218,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 70-80 watts","Bicycling, stationary, 70-80 watts",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01220,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 90-100 watts, vừa to mạnh","Bicycling, stationary, 90-100 watts, moderate to vigorous",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01224,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 101-125 watts","Bicycling, stationary, 101-125 watts",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01228,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 126-150 watts","Bicycling, stationary, 126-150 watts",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01232,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 151-199 watts","Bicycling, stationary, 151-199 watts",10.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01236,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 200-229 watts, mạnh","Bicycling, stationary, 200-229 watts, vigorous",10.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01240,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 230-250 watts, very mạnh","Bicycling, stationary, 230-250 watts, very vigorous",12.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01244,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, 270-305 watts, very mạnh","Bicycling, stationary, 270-305 watts, very vigorous",13.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01248,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, >325 watts, very mạnh","Bicycling, stationary, >325 watts, very vigorous",16.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01252,adult,đạp xe,Bicycling,"đạp xe, concentric only, 100 W","Bicycling, concentric only, 100 W",5.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01254,adult,đạp xe,Bicycling,"đạp xe, concentric only, 200 W","Bicycling, concentric only, 200 W",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01262,adult,đạp xe,Bicycling,"đạp xe, eccentric only, 100 to 149 W","Bicycling, eccentric only, 100 to 149 W",2.3,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/bicycling
adult_01264,adult,đạp xe,Bicycling,"đạp xe, eccentric only, 200 W","Bicycling, eccentric only, 200 W",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01270,adult,đạp xe,Bicycling,"đạp xe, tại chỗ, RPM/Spin bike class","Bicycling, stationary, RPM/Spin bike class",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01290,adult,đạp xe,Bicycling,"đạp xe, interactive virtual đạp xe, indoor cycle ergometer","Bicycling, interactive virtual cycling, indoor cycle ergometer",8.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01305,adult,đạp xe,Bicycling,"đạp xe, high intensity interval training","Bicycling, high intensity interval training",8.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_02000,adult,bài tập thể lực,Conditioning Exercise,"Aerobic, chung","Aerobic, general",7.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02001,adult,bài tập thể lực,Conditioning Exercise,"Aerobic, step, với 4-inch step","Aerobic, step, with 4-inch step",5.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02002,adult,bài tập thể lực,Conditioning Exercise,"Aerobic, step, với 6 – 8 inch step","Aerobic, step, with 6 – 8 inch step",7.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02003,adult,bài tập thể lực,Conditioning Exercise,"Aerobic, step, với 10 – 12 inch step","Aerobic, step, with 10 – 12 inch step",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02004,adult,bài tập thể lực,Conditioning Exercise,"Bench step class, chung","Bench step class, general",7.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02005,adult,bài tập thể lực,Conditioning Exercise,"Aerobic dance, low impact, vừa nỗ lực","Aerobic dance, low impact, moderate effort",4.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02006,adult,bài tập thể lực,Conditioning Exercise,"Aerobic dance, high impact, mạnh nỗ lực","Aerobic dance, high impact, vigorous effort",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02007,adult,bài tập thể lực,Conditioning Exercise,Aerobic dance wearing 10-15 lb weights,Aerobic dance wearing 10-15 lb weights,10.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02008,adult,bài tập thể lực,Conditioning Exercise,"Army type obstacle course exercise, boot camp training program","Army type obstacle course exercise, boot camp training program",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02020,adult,bài tập thể lực,Conditioning Exercise,"Calisthenics (e.g., pushups, sit ups, pull-ups, nhảy jacks, burpees, battling ropes), mạnh nỗ lực","Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",7.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02022,adult,bài tập thể lực,Conditioning Exercise,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), vừa nỗ lực","Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort",3.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02024,adult,bài tập thể lực,Conditioning Exercise,"Calisthenics (e.g., curl ups, abdominal crunches, plank), nhẹ nỗ lực","Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02030,adult,bài tập thể lực,Conditioning Exercise,"Calisthenics, nhẹ hoặc vừa nỗ lực, chung (e.g., back exercises), going up & down from floor (Taylor Code 150)","Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02032,adult,bài tập thể lực,Conditioning Exercise,"Circuit training, body weight exercises","Circuit training, body weight exercises",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02034,adult,bài tập thể lực,Conditioning Exercise,"Circuit training, nhẹ nỗ lực","Circuit training, light effort",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02035,adult,bài tập thể lực,Conditioning Exercise,"Circuit training, vừa nỗ lực","Circuit training, moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02040,adult,bài tập thể lực,Conditioning Exercise,"Circuit training, including kettlebells, some aerobic movement với minimal rest, chung, mạnh intensity","Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",7.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02045,adult,bài tập thể lực,Conditioning Exercise,Curves™ exercise routines trong women,Curves™ exercise routines in women,3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02048,adult,bài tập thể lực,Conditioning Exercise,"Elliptical trainer, vừa nỗ lực","Elliptical trainer, moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02049,adult,bài tập thể lực,Conditioning Exercise,"Elliptical trainer, mạnh nỗ lực","Elliptical trainer, vigorous effort",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02050,adult,bài tập thể lực,Conditioning Exercise,"kháng lực (weight nâng – free weight, nautilus hoặc universal-type), power nâng hoặc body building, mạnh nỗ lực (Taylor Code 210)","Resistance (weight lifting – free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210)",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02052,adult,bài tập thể lực,Conditioning Exercise,"kháng lực (weight) training, squats, deadlift, chậm hoặc explosive nỗ lực","Resistance (weight) training, squats, deadlift, slow or explosive effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02054,adult,bài tập thể lực,Conditioning Exercise,"kháng lực (weight) training, multiple exercises, 8-15 reps at varied kháng lực","Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02055,adult,bài tập thể lực,Conditioning Exercise,"kháng lực Training, circuit, reciprocal supersets, peripheral heart action training","Resistance Training, circuit, reciprocal supersets, peripheral heart action training",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02056,adult,bài tập thể lực,Conditioning Exercise,"Body weight kháng lực exercises (e.g., squat, lunge, push-up, crunch), chung","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",3.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02057,adult,bài tập thể lực,Conditioning Exercise,"Body weight kháng lực exercises (e.g., squat, lunge, push-up, crunch), high intensity","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity",6.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02058,adult,bài tập thể lực,Conditioning Exercise,Kettlebell swings,Kettlebell swings,9.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02060,adult,bài tập thể lực,Conditioning Exercise,"Health club exercise, chung (Taylor Code 160)","Health club exercise, general (Taylor Code 160)",5.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02061,adult,bài tập thể lực,Conditioning Exercise,"Health club exercise classes, chung, gym/weight training combined trong one visit","Health club exercise classes, general, gym/weight training combined in one visit",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02062,adult,bài tập thể lực,Conditioning Exercise,"Health club exercise, thể lực classes","Health club exercise, conditioning classes",7.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02064,adult,bài tập thể lực,Conditioning Exercise,"Home exercise, chung","Home exercise, general",3.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02065,adult,bài tập thể lực,Conditioning Exercise,"Stair treadmill ergometer, chung","Stair treadmill ergometer, general",9.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02068,adult,bài tập thể lực,Conditioning Exercise,"Rope skipping exercise, chung","Rope skipping exercise, general",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02069,adult,bài tập thể lực,Conditioning Exercise,"nhảy rope, Digi-Jump Machine, 120 jumps/minute","Jumping rope, Digi-Jump Machine, 120 jumps/minute",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02070,adult,bài tập thể lực,Conditioning Exercise,"Rowing, tại chỗ ergometer, chung, mạnh nỗ lực","Rowing, stationary ergometer, general, vigorous effort",7.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02071,adult,bài tập thể lực,Conditioning Exercise,"Rowing, tại chỗ ergometer, chung, <100 watts, vừa nỗ lực","Rowing, stationary ergometer, general, <100 watts, moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02072,adult,bài tập thể lực,Conditioning Exercise,"Rowing, tại chỗ, 100 to 149 watts, mạnh nỗ lực","Rowing, stationary, 100 to 149 watts, vigorous effort",7.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02073,adult,bài tập thể lực,Conditioning Exercise,"Rowing, tại chỗ, 150 to 199 watts, mạnh nỗ lực","Rowing, stationary, 150 to 199 watts, vigorous effort",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02074,adult,bài tập thể lực,Conditioning Exercise,"Rowing, tại chỗ, ≥ 200 watts, very mạnh nỗ lực","Rowing, stationary, ≥ 200 watts, very vigorous effort",14.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02078,adult,bài tập thể lực,Conditioning Exercise,"Shuttle chạy bộ, forward/backward/lateral","Shuttle running, forward/backward/lateral",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02080,adult,bài tập thể lực,Conditioning Exercise,"Ski machine, chung","Ski machine, general",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02082,adult,bài tập thể lực,Conditioning Exercise,"Ski ergometer, cross country, double poling, chậm to vừa tốc độ","Ski ergometer, cross country, double poling, slow to moderate speed",10.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02084,adult,bài tập thể lực,Conditioning Exercise,"Ski ergometer, cross country, double poling, nhanh to maximum tốc độ","Ski ergometer, cross country, double poling, fast to maximum speed",18.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02085,adult,bài tập thể lực,Conditioning Exercise,"Slide board exercise, chung","Slide board exercise, general",10.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02090,adult,bài tập thể lực,Conditioning Exercise,"Slimnastics, jazzercise","Slimnastics, jazzercise",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02101,adult,bài tập thể lực,Conditioning Exercise,"giãn cơ, mild","Stretching, mild",2.3,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02103,adult,bài tập thể lực,Conditioning Exercise,"Pilates, traditional, mat","Pilates, traditional, mat",1.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02105,adult,bài tập thể lực,Conditioning Exercise,"Pilates, chung","Pilates, general",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02107,adult,bài tập thể lực,Conditioning Exercise,"Pound, combination of Pilates và body movements với drumming","Pound, combination of Pilates and body movements with drumming",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02108,adult,bài tập thể lực,Conditioning Exercise,"Pole khiêu vũ, exercise class","Pole dancing, exercise class",4.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02110,adult,bài tập thể lực,Conditioning Exercise,"Teaching exercise classes (e.g., aerobic, water)","Teaching exercise classes (e.g., aerobic, water)",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02112,adult,bài tập thể lực,Conditioning Exercise,"Therapeutic exercise ball, Fitball exercise","Therapeutic exercise ball, Fitball exercise",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02114,adult,bài tập thể lực,Conditioning Exercise,"Therapeutic exercise ball, Fitball exercise, high intensity","Therapeutic exercise ball, Fitball exercise, high intensity",9.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02115,adult,bài tập thể lực,Conditioning Exercise,"Upper body exercise, arm ergometer, chung, nhẹ","Upper body exercise, arm ergometer, general, light",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02116,adult,bài tập thể lực,Conditioning Exercise,"Arm Ergometer, hand bike, 15W","Arm Ergometer, hand bike, 15W",2.0,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02117,adult,bài tập thể lực,Conditioning Exercise,"Arm Ergometer, hand bike, 25-30W","Arm Ergometer, hand bike, 25-30W",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02118,adult,bài tập thể lực,Conditioning Exercise,"Arm Ergometer, hand bike, 45W","Arm Ergometer, hand bike, 45W",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02119,adult,bài tập thể lực,Conditioning Exercise,"Upper body exercise, tại chỗ bicycle – Airdyne (arms only) 40 rpm, vừa intensity","Upper body exercise, stationary bicycle – Airdyne (arms only) 40 rpm, moderate intensity",4.3,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02120,adult,bài tập thể lực,Conditioning Exercise,"Water thể dục nhịp điệu, water calisthenics, water exercise","Water aerobics, water calisthenics, water exercise",5.3,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02135,adult,bài tập thể lực,Conditioning Exercise,"Whirlpool, ngồi","Whirlpool, sitting",1.3,MET,3.5,ml/kg/min,sedentary,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02140,adult,bài tập thể lực,Conditioning Exercise,"Video, exercise workouts, TV thể lực programs (e.g., yoga, giãn cơ, seated), nhẹ nỗ lực","Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort",2.5,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02143,adult,bài tập thể lực,Conditioning Exercise,"Video, exercise workouts, TV thể lực programs (e.g., cardio-resistance training), vừa","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02145,adult,bài tập thể lực,Conditioning Exercise,"Video, exercise workouts, TV thể lực programs (e.g., cardio-resistance training), mạnh","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02150,adult,bài tập thể lực,Conditioning Exercise,"yoga, Hatha","Yoga, Hatha",2.3,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02153,adult,bài tập thể lực,Conditioning Exercise,"yoga, Hatha, high intensity","Yoga, Hatha, high intensity",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02155,adult,bài tập thể lực,Conditioning Exercise,"yoga, Hot","Yoga, Hot",3.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02160,adult,bài tập thể lực,Conditioning Exercise,"yoga, Power","Yoga, Power",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02170,adult,bài tập thể lực,Conditioning Exercise,"yoga, Nadisodhana","Yoga, Nadisodhana",2.0,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02175,adult,bài tập thể lực,Conditioning Exercise,"yoga, chung","Yoga, General",2.3,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02180,adult,bài tập thể lực,Conditioning Exercise,"yoga, Surya Namaskar","Yoga, Surya Namaskar",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02185,adult,bài tập thể lực,Conditioning Exercise,"yoga, Vinyasa","Yoga, Vinyasa",2.7,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02200,adult,bài tập thể lực,Conditioning Exercise,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), chung vừa nỗ lực","Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort",5.3,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02205,adult,bài tập thể lực,Conditioning Exercise,"Native New Zealander PA, chung, mạnh nỗ lực","Native New Zealander PA, general, vigorous effort",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
