food_id,source_name,name_vi,name_en,category_vi,category_en,item_type,processing_level,recommendation_priority,water_g,kcal_per_100g,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,iron_mg,magnesium_mg,zinc_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,purine_mg
FOOD000018,VTN_FCT_2007,Cơm gạo tẻ máy,Cooked rice,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,70.0,130.0,2.99,0.38,28.68,0.15,0.05,19.27,91.08,39.3,11.34,0.49,5.29,0.57,0.0,0.039,,
FOOD000019,VTN_FCT_2007,Gạo nếp cái,"Glutinous rice, milled",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,14.0,344.0,8.6,1.5,74.5,0.6,,31.0,282.0,98.0,32.0,1.2,17.0,2.2,0.0,,,
FOOD000020,VTN_FCT_2007,Gạo lứt,"Rice, brown or hulled",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,12.4,345.0,7.5,2.7,72.8,3.4,0.0,52.0,202.0,246.0,16.0,2.8,52.0,1.9,0.0,0.203,0.002,
FOOD000021,VTN_FCT_2007,Gạo nếp máy (Loại thường),"Glutinous rice, milled",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,13.9,346.0,8.4,1.6,74.9,0.5,,32.0,282.0,130.0,16.0,1.2,17.0,2.2,0.0,,,
FOOD000022,VTN_FCT_2007,Gạo tẻ máy,Ordinary polished rice,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,14.0,344.0,7.9,1.0,75.9,0.4,,51.0,241.0,104.0,30.0,1.3,14.0,1.5,0.0,,,
FOOD000023,VTN_FCT_2007,Gạo tẻ giã,"Under milled, home-pounded rice",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,14.0,344.0,8.1,1.3,75.0,0.7,,51.0,202.0,108.0,36.0,0.2,52.0,1.9,0.0,,,
FOOD000024,VTN_FCT_2007,Bánh bao nhân thịt,Steamed bun with pork filling,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,44.0,219.0,6.1,0.5,47.5,0.5,,,,88.0,19.0,1.5,,,0.0,,,
FOOD000025,VTN_FCT_2007,Bột gạo nếp,Glutinous rice flour,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,10.0,362.0,8.2,1.6,78.8,0.6,,33.0,293.0,148.0,12.0,0.8,18.0,2.29,0.0,,,
FOOD000026,VTN_FCT_2007,Bột gạo tẻ,Rice ordinary flour,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,10.0,359.0,6.6,0.4,82.2,0.4,,0.0,76.0,135.0,24.0,1.9,35.0,0.8,0.0,,,
FOOD000027,VTN_FCT_2007,Bột mì,Wheat flour,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,14.0,346.0,10.3,1.1,73.6,0.3,,41.0,186.0,132.0,29.0,2.0,173.0,2.5,0.0,,,14.0
FOOD000028,VTN_FCT_2007,Bột ngô vàng,Yellow maize flour,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,12.0,361.0,8.3,4.0,73.0,1.5,,53.0,315.0,170.0,15.0,2.1,93.0,1.73,0.0,,,
FOOD000029,VTN_FCT_2007,Kê,Foxtail millet,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,14.0,331.0,7.0,3.0,69.0,3.4,,71.0,249.0,290.0,22.0,2.7,430.0,1.5,0.0,,,62.0
FOOD000030,VTN_FCT_2007,Mì sợi,Wheat noodles,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,13.0,349.0,11.0,0.9,74.2,0.3,,,,97.0,34.0,1.5,,,0.0,,,
FOOD000031,VTN_FCT_2007,Ngô bắp tươi,"Fresh maize seeds, raw",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,52.0,196.0,4.1,2.3,39.6,1.2,1.7,35.0,306.0,170.0,45.0,0.6,39.0,1.4,0.0,,,52.0
FOOD000032,VTN_FCT_2007,Ngô nếp luộc,"Glutinous maize, boiled",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,59.0,167.0,3.9,2.2,32.9,1.2,,,,146.0,18.0,0.8,,,0.0,,,
FOOD000033,VTN_FCT_2007,Ngô vàng hạt khô,"Yellow maize, dried seeds",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,14.0,354.0,8.6,4.7,69.4,2.0,0.64,35.0,287.0,190.0,30.0,2.3,127.0,2.21,0.0,,,
FOOD000034,VTN_FCT_2007,Chuối nước đường,Banana in syrup,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,83.9,58.0,0.5,0.0,13.9,1.3,,,,160.0,12.0,0.6,,,0.0,,,
FOOD000035,VTN_FCT_2007,Dưa chuột hộp,Cucumber (canned),Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,94.1,8.0,0.3,0.2,1.2,3.1,1.06,1208.0,23.0,16.0,12.0,0.3,4.0,0.02,0.0,,,
FOOD000036,VTN_FCT_2007,Dứa hộp,"Pineapple, canned in syrup",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,85.7,53.0,0.4,0.1,12.7,0.8,12.65,13.0,105.0,12.0,20.0,0.3,16.0,0.12,0.0,,,
FOOD000037,VTN_FCT_2007,Lạc chao dầu,"Peanut, oil fried",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,1.8,680.0,25.7,59.5,10.3,,,,,,,,,,0.0,,,
FOOD000038,VTN_FCT_2007,Mắc coọc nước đường,Mac cooc fruit in syrup,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,85.1,56.0,0.2,0.0,13.7,0.7,,,,16.0,20.0,0.4,,,0.0,,,
FOOD000039,VTN_FCT_2007,Mận nước đường,"Plum, canned, sweetened",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,83.0,64.0,0.4,0.1,15.4,0.9,15.35,20.0,93.0,15.0,16.0,0.86,5.0,0.08,0.0,,,
FOOD000040,VTN_FCT_2007,Mứt bí ngô,Pumpkin jam,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,49.4,198.0,0.5,0.0,49.1,0.7,,,,92.0,32.0,,,,0.0,,,
FOOD000041,VTN_FCT_2007,Mứt cam có vỏ,"Orange marmalade, jellies",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,42.8,218.0,0.4,0.0,54.2,2.2,,,,22.0,28.0,0.26,,,0.0,,,
FOOD000042,VTN_FCT_2007,Mứt chuối,Banana jam,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,43.8,218.0,0.7,0.0,53.9,1.3,,,,28.0,28.0,0.3,,,0.0,,,
FOOD000043,VTN_FCT_2007,Mứt dứa,Pineapple jam,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,47.2,208.0,0.5,0.0,51.5,0.4,,,,16.0,20.0,0.3,,,0.0,,,
FOOD000044,VTN_FCT_2007,Mứt đu đủ,Papaya jam,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,53.2,178.0,0.4,0.0,44.1,2.0,,,,30.0,24.0,,,,0.0,,,
FOOD000045,VTN_FCT_2007,Nhãn nước đường,"Longan, canned, sweetened",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,83.3,62.0,0.5,0.0,15.0,1.0,,,,230.0,12.0,0.3,,,0.0,,,
FOOD000046,VTN_FCT_2007,Nước dứa hộp,Pineapple juice,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,86.4,53.0,0.4,0.1,12.6,0.2,9.98,23.0,130.0,12.0,32.0,0.3,12.0,0.11,0.0,0.011,0.0,
FOOD000047,VTN_FCT_2007,Vải nước đường,"Litchi, canned, sweetened",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,83.6,60.0,0.4,0.0,14.7,1.1,,,,160.0,81.0,0.6,,,0.0,,,
FOOD000048,VTN_FCT_2007,Cá thu hộp,"Mackerel, canned",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,57.5,207.0,24.8,12.0,0.0,0.0,0.0,379.0,194.0,260.0,50.0,1.6,37.0,1.02,79.0,1.857,,
FOOD000049,VTN_FCT_2007,Cá trích hộp,"Herring, canned",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,56.7,233.0,22.3,14.4,3.5,,,,,437.0,86.0,2.3,,,,,,
FOOD000050,VTN_FCT_2007,Thịt bò hộp,"Beef, canned",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,61.4,251.0,16.4,20.6,0.0,,0.0,475.0,320.0,250.0,13.0,2.9,25.0,1.2,22.0,1.677,0.0,
FOOD000051,VTN_FCT_2007,Thịt gà hộp,"Chicken, canned",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,59.0,273.0,17.0,22.8,0.0,0.0,0.0,482.0,153.0,138.0,108.0,2.8,19.0,2.5,50.0,2.25,,
FOOD000052,VTN_FCT_2007,Thịt lợn hộp,"Pork, canned",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,49.0,344.0,17.3,29.3,2.7,5.5,,414.0,309.0,200.0,91.0,1.2,34.0,1.46,7.0,0.599,0.0,
FOOD000053,VTN_FCT_2007,"Thịt lợn, thịt bò xay hộp","Pork and beef, minced canned",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,62.8,244.0,16.0,20.0,0.0,,0.0,,,120.0,81.0,2.1,,,,,,
FOOD000054,VTN_FCT_2007,Thịt vịt hầm,"Duck, stewed meat",Đồ hộp,Canned foods,raw_ingredient,minimally_processed,high,59.9,224.0,19.6,16.2,0.0,,0.0,,,,,,,,,,,
FOOD000055,VTN_FCT_2007,Bánh bích cốt,Whole wheat rusk,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,12.0,346.0,12.3,1.3,71.3,0.8,,,,231.0,39.0,2.7,,,0.0,,,
FOOD000056,VTN_FCT_2007,Bánh bích quy,Biscuits,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,10.4,376.0,8.8,4.5,75.1,0.5,,,,79.0,75.0,3.6,,,0.0,,,
FOOD000057,VTN_FCT_2007,Bánh chả,Sweet meat pie in lumps,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,8.0,395.0,3.4,6.6,80.5,1.0,,,,29.0,42.0,1.9,,,0.0,,,
FOOD000058,VTN_FCT_2007,Bánh con cá,"Small biscuits, fish figured",Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,10.0,368.0,7.5,2.2,79.6,0.2,,,,99.0,54.0,2.9,,,0.0,,,
FOOD000059,VTN_FCT_2007,Bánh đậu xanh,Mungbean cake,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,6.8,416.0,15.6,11.5,62.4,1.1,,,,273.0,111.0,3.4,,,0.0,,,
FOOD000060,VTN_FCT_2007,Bánh kem xốp,Wafers filled,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,1.9,492.0,8.3,24.0,60.7,3.5,,,,125.0,86.0,0.8,,,0.0,,,
FOOD000061,VTN_FCT_2007,Bánh khảo chay,"Rice cake, plain",Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,5.8,376.0,3.2,0.3,90.2,0.2,,,,11.0,21.0,0.1,,,0.0,,,
FOOD000062,VTN_FCT_2007,Bánh quế,Cinnamon waffle (roll),Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,3.6,435.0,8.3,10.7,76.4,0.3,,,,115.0,33.0,2.0,,,0.0,,,
FOOD000063,VTN_FCT_2007,Bánh sô cô la,"Chocolate, filled",Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,8.5,449.0,3.9,17.6,68.8,0.0,,,,142.0,58.0,3.7,,,0.0,,,
FOOD000064,VTN_FCT_2007,Bánh thỏi sô cô la,"Chocolate, sweet",Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,0.8,543.0,4.9,30.4,62.5,,,,,280.0,280.0,1.5,,,0.0,,,
FOOD000065,VTN_FCT_2007,Bánh trứng nhện,Small biscuit,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,11.6,369.0,9.6,3.7,74.2,0.2,,,,140.0,76.0,3.9,,,0.0,,,
FOOD000066,VTN_FCT_2007,Bột ca cao,Cocoa powder,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,3.0,414.0,19.6,13.7,53.0,4.6,1.75,21.0,1524.0,734.0,128.0,13.86,499.0,6.81,0.0,,,
FOOD000067,VTN_FCT_2007,Đường cát,Refined sugar,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,1.7,390.0,0.0,0.0,97.4,0.0,96.21,39.0,346.0,72.0,178.0,5.8,29.0,0.18,0.0,,,0.0
FOOD000068,VTN_FCT_2007,Đường kính,Granulated sugar,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,0.5,397.0,0.0,0.0,99.3,0.0,,,23.0,0.0,0.0,0.06,,,0.0,,,
FOOD000069,VTN_FCT_2007,Kẹo bơ cứng,"Toffee, sweets",Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,8.8,448.0,2.1,17.2,71.1,0.0,,,,64.0,64.0,0.76,,,0.0,,,
FOOD000070,VTN_FCT_2007,Kẹo cà phê,Coffee sweets,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,6.6,378.0,0.0,1.3,91.5,0.0,,,,,,,,,0.0,,,
FOOD000071,VTN_FCT_2007,Kẹo cam chanh,"Sweets, caramel with citron, orange aroma",Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,5.4,377.0,0.0,0.5,93.1,0.3,,,,12.0,23.0,1.4,,,0.0,,,
FOOD000072,VTN_FCT_2007,Kẹo dừa mềm,Sweets with coconut aroma,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,8.5,415.0,0.6,12.2,75.6,2.5,,,,71.0,16.0,0.4,,,0.0,,,
FOOD000073,VTN_FCT_2007,Kẹo dứa mềm,Pineapple sweets candy,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,8.5,415.0,0.6,12.2,75.6,2.5,,,,71.0,16.0,0.4,,,0.0,,,
FOOD000074,VTN_FCT_2007,Kẹo lạc,Peanut candy,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,5.0,449.0,10.3,16.5,64.8,2.2,,,,,,,,,0.0,,,
FOOD000075,VTN_FCT_2007,Kẹo Pastille (kẹo ngậm bạc hà),Menthol pastille,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,10.2,356.0,5.2,0.0,83.8,,,,,18.0,96.0,1.6,,,0.0,,,
FOOD000076,VTN_FCT_2007,Kẹo sô cô la,Sweets with chocolate,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,6.8,388.0,1.6,4.6,85.1,1.2,,,,,,,,,0.0,,,
FOOD000077,VTN_FCT_2007,Kẹo sữa,Sweets with milk,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,8.4,390.0,2.9,5.2,83.0,,,,,,,,,,0.0,,,
FOOD000078,VTN_FCT_2007,Kẹo vừng viên,Sesame candy,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,1.7,417.0,2.8,6.9,85.9,1.7,,,,,,,,,0.0,,,
FOOD000079,VTN_FCT_2007,Mạch nha,Malt,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,15.0,331.0,0.2,0.0,82.5,0.0,0.8,11.0,224.0,303.0,37.0,4.71,97.0,2.06,0.0,0.386,,
FOOD000080,VTN_FCT_2007,Mật ong,Honey,Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,18.0,327.0,0.4,0.0,81.3,0.0,81.02,43.0,52.0,16.0,51.0,0.9,2.0,0.22,0.0,4.73,,0.0
FOOD000081,VTN_FCT_2007,Mứt lạc,Peanut sugar (Jam),Đồ ngọt,Sweets,raw_ingredient,minimally_processed,high,1.8,431.0,5.4,8.6,82.9,0.7,,,,,,,,,0.0,,,
FOOD000082,VTN_FCT_2007,Cary bột,"Cari powder (Mix, turmeric, red pepper and other spices)","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,10.0,283.0,8.2,7.3,46.0,8.9,,,,421.0,906.0,,,,0.0,,,
FOOD000083,VTN_FCT_2007,Gửng khô (bột),"Ginger root, dried powder","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,9.4,323.0,9.1,5.9,58.3,12.5,3.4,32.0,1343.0,148.0,180.0,11.52,184.0,4.72,0.0,,,
FOOD000084,VTN_FCT_2007,Gửng tươi,"Ginger root, fresh","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,90.0,29.0,0.4,0.8,5.1,3.3,1.7,71.0,316.0,81.0,60.0,2.5,43.0,0.34,0.0,,,
FOOD000085,VTN_FCT_2007,Hạt tiêu,"Peppercorn, seeds","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,13.5,231.0,7.0,7.4,34.1,33.5,0.64,44.0,1259.0,44.0,732.0,4.6,19.0,0.3,0.0,,,0.0
FOOD000086,VTN_FCT_2007,Muối,Table salt,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38758.0,41.0,70.0,150.0,0.81,0.0,0.0,0.0,51.368,3.278,0.0
FOOD000087,VTN_FCT_2007,"Nghệ khô, bột","Turmeric rhizome, dried powder","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,11.4,295.0,7.8,9.9,43.8,21.1,3.21,38.0,2525.0,284.0,146.0,18.6,193.0,4.35,0.0,,,
FOOD000088,VTN_FCT_2007,Nghệ tươi,"Turmeric, rhizome, fresh","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,86.7,25.0,1.1,0.3,4.4,6.5,,52.0,587.0,22.0,12.0,,,,0.0,,,
FOOD000089,VTN_FCT_2007,ớt khô bột,"Red pepper, dried powder","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,12.0,227.0,15.6,4.2,31.8,23.6,,,,380.0,85.0,17.0,,,0.0,,,
FOOD000091,VTN_FCT_2007,Magi,Soybean sauce,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,66.0,65.0,10.5,0.1,5.6,0.0,1.7,5586.0,212.0,130.0,20.0,2.38,40.0,0.43,0.0,,,
FOOD000092,VTN_FCT_2007,Mắm tôm đặc,Shrimp sauce concentrate,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,48.0,73.0,14.8,1.5,0.0,0.0,0.0,,,,,,,,,,,
FOOD000093,VTN_FCT_2007,Mắm tôm loãng,"Shrimp sauce, diluted","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,68.6,44.0,7.0,0.8,2.1,0.0,0.0,,,226.0,645.0,,,,,,,
FOOD000094,VTN_FCT_2007,Mắm tép chua,"Tiny shrimp, sour sauce","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,55.5,68.0,8.7,1.2,5.5,0.0,0.0,,,,,,,,,,,
FOOD000095,VTN_FCT_2007,Nước mắm cá (loại đặc biệt),Fish - sauce (super quality).,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,60.0,60.0,15.0,0.0,0.0,0.0,0.0,,,247.0,387.0,2.7,,,,,,
FOOD000096,VTN_FCT_2007,Nước mắm cá loại I,"Fish sauce, grade I","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,67.9,28.0,7.1,0.0,0.0,0.0,,,,247.0,387.0,2.7,,,0.0,,,
FOOD000097,VTN_FCT_2007,Nước mắm loại II,"Fish sauce, grade II","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,66.8,21.0,5.2,0.0,0.0,0.0,0.0,,,116.0,314.0,1.9,,,0.0,,,
FOOD000098,VTN_FCT_2007,Nước mắm cá,"Fish sauce, ready-to-serve","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,71.1,35.0,5.1,0.01,3.6,0.0,0.0,7720.0,288.0,73.0,43.0,0.78,175.0,0.2,0.0,,,
FOOD000099,VTN_FCT_2007,Nước mắm cô,"Fish sauce, concentrated","Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,20.2,131.0,32.8,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,
FOOD000100,VTN_FCT_2007,Tương ngô,Soybean sauce with rice and maize,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,70.3,75.0,3.9,0.1,14.5,0.0,0.0,,,,,,,,0.0,,,
FOOD000101,VTN_FCT_2007,Tương nếp,Soybean sauce with glutinous rice,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,68.3,86.0,4.3,0.7,15.7,0.0,0.0,,,,,,,,0.0,,,
FOOD000102,VTN_FCT_2007,Tương ớt,Red pepper sauce concentrate,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,84.0,37.0,0.5,0.5,7.6,0.9,2.55,25.0,564.0,16.0,93.0,0.5,12.0,0.15,0.0,,,
FOOD000103,VTN_FCT_2007,Xì dầu,Soybean sauce,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,70.8,53.0,6.3,0.04,6.8,0.8,1.7,5637.0,217.0,125.0,19.0,1.93,43.0,0.52,0.0,,,
FOOD000104,VTN_FCT_2007,Sốt mayonnaise,Mayonnaise,"Gia vị, nước chấm",Spices and sauces,raw_ingredient,minimally_processed,high,21.7,701.0,0.0,77.8,0.1,0.0,0.1,486.0,14.0,25.0,73.0,0.23,1.0,0.13,0.0,,,
FOOD000105,VTN_FCT_2007,"Bia (cồn: 4,5 g)","Beer light (4,5 % Alcohol)",Nước giải khát,"Beverages, beer, wine",raw_ingredient,minimally_processed,high,92.5,11.0,0.5,0.0,2.3,0.0,,43.0,27.0,26.0,61.0,0.1,6.0,0.01,0.0,,,
FOOD000106,VTN_FCT_2007,Cô nhắc (cồn 32 g),Cognac,Nước giải khát,"Beverages, beer, wine",raw_ingredient,minimally_processed,high,67.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,
FOOD000107,VTN_FCT_2007,Cốc tai (cồn 13 g),"Cocktail, vermouth sweet",Nước giải khát,"Beverages, beer, wine",raw_ingredient,minimally_processed,high,71.0,63.0,0.0,0.0,15.7,0.0,,,,61.0,61.0,0.36,,,0.0,,,
