activity_id,source_compendium,category_name_vi,category_name_en,description_vi,description_en,met_value,met_type,baseline_value,baseline_unit,intensity_level,suitable_for_beginner,suitable_for_elderly,suitable_for_wheelchair_user,source_url
adult_01017,adult,Đạp xe,Bicycling,"Đạp xe, tự chọn tốc độ nhanh, cường độ cao","Bicycling, self-selected vigorous pace",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01018,adult,Đạp xe,Bicycling,"Đạp xe, thư giãn 5.5 mph","Bicycling, leisure 5.5 mph",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01019,adult,Đạp xe,Bicycling,"Đạp xe, thư giãn, 9.4 mph","Bicycling, leisure, 9.4 mph",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01020,adult,Đạp xe,Bicycling,"Đạp xe, 10-11.9 mph, thư giãn, chậm, cường độ nhẹ","Bicycling, 10-11.9 mph, leisure, slow, light effort",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01030,adult,Đạp xe,Bicycling,"Đạp xe, 12-13.9 mph, thư giãn, cường độ vừa","Bicycling, 12-13.9 mph, leisure, moderate effort",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01040,adult,Đạp xe,Bicycling,"Đạp xe, 14-15.9 mph, đua hoặc thư giãn, nhanh, cường độ cao","Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",10.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01050,adult,Đạp xe,Bicycling,"Đạp xe, 16-19 mph, đua/không drafting hoặc >19 mph drafting, rất nhanh, đua thông thường","Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",12.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01060,adult,Đạp xe,Bicycling,"Đạp xe, >20 mph, đua, không drafting","Bicycling, >20 mph, racing, not drafting",16.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01065,adult,Đạp xe,Bicycling,"Đạp xe, 12 mph, ở tư thế ngồi, hai tay trên tay phanh trên ghi-đông hoặc phần ghi-đông cong, 80 rpm","Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01066,adult,Đạp xe,Bicycling,"Đạp xe, 12 mph, đứng, hai tay trên tay phanh trên ghi-đông, 60 rpm","Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01070,adult,Đạp xe,Bicycling,Đạp xe một bánh,Unicycling,5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01080,adult,Đạp xe,Bicycling,Xe đạp điện trợ lực (có trợ lực điện) không có trợ lực điện,E-bike (electrically assisted) without electronic support,6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01084,adult,Đạp xe,Bicycling,Xe đạp điện trợ lực (có trợ lực điện) với trợ lực điện nhẹ,E-bike (electrically assisted) with light electronic support,6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01088,adult,Đạp xe,Bicycling,Xe đạp điện trợ lực (có trợ lực điện) với trợ lực điện cao,E-bike (electrically assisted) with high electronic support,4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01200,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, thông thường","Bicycling, stationary, general",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01210,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 25-30 W, cường độ rất nhẹ đến nhẹ","Bicycling, stationary, 25-30 watts, very light to light effort",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01214,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 50 W, cường độ nhẹ","Bicycling, stationary, 50 watts, light effort",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01216,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 60 W, cường độ nhẹ đến vừa","Bicycling, stationary, 60 watts, light to moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01218,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 70-80 W","Bicycling, stationary, 70-80 watts",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01220,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 90-100 W, cường độ vừa đến cao","Bicycling, stationary, 90-100 watts, moderate to vigorous",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01224,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 101-125 W","Bicycling, stationary, 101-125 watts",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01228,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 126-150 W","Bicycling, stationary, 126-150 watts",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01232,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 151-199 W","Bicycling, stationary, 151-199 watts",10.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01236,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 200-229 W, cường độ cao","Bicycling, stationary, 200-229 watts, vigorous",10.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01240,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 230-250 W, rất mạnh","Bicycling, stationary, 230-250 watts, very vigorous",12.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01244,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, 270-305 W, rất mạnh","Bicycling, stationary, 270-305 watts, very vigorous",13.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01248,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, >325 W, rất mạnh","Bicycling, stationary, >325 watts, very vigorous",16.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01252,adult,Đạp xe,Bicycling,"Đạp xe, chỉ co cơ đồng tâm, 100 W","Bicycling, concentric only, 100 W",5.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01254,adult,Đạp xe,Bicycling,"Đạp xe, chỉ co cơ đồng tâm, 200 W","Bicycling, concentric only, 200 W",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01262,adult,Đạp xe,Bicycling,"Đạp xe, lệch tâm chỉ, 100–149 W","Bicycling, eccentric only, 100 to 149 W",2.3,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/bicycling
adult_01264,adult,Đạp xe,Bicycling,"Đạp xe, lệch tâm chỉ, 200 W","Bicycling, eccentric only, 200 W",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01270,adult,Đạp xe,Bicycling,"Đạp xe, tại chỗ, lớp đạp xe RPM/Spin","Bicycling, stationary, RPM/Spin bike class",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01290,adult,Đạp xe,Bicycling,"Đạp xe, đạp xe thực tế ảo tương tác, trong nhà cycle máy đo công suất vận động","Bicycling, interactive virtual cycling, indoor cycle ergometer",8.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01305,adult,Đạp xe,Bicycling,"Đạp xe, cường độ cao tập ngắt quãng","Bicycling, high intensity interval training",8.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_02000,adult,Bài tập thể lực,Conditioning Exercise,"Aerobic, thông thường","Aerobic, general",7.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02001,adult,Bài tập thể lực,Conditioning Exercise,"Aerobic, bước, với 4-inch bước","Aerobic, step, with 4-inch step",5.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02002,adult,Bài tập thể lực,Conditioning Exercise,"Aerobic, bước, với 6 – 8 inch bước","Aerobic, step, with 6 – 8 inch step",7.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02003,adult,Bài tập thể lực,Conditioning Exercise,"Aerobic, bước, với 10 – 12 inch bước","Aerobic, step, with 10 – 12 inch step",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02004,adult,Bài tập thể lực,Conditioning Exercise,"Lớp tập bước bục, thông thường","Bench step class, general",7.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02005,adult,Bài tập thể lực,Conditioning Exercise,"Nhảy aerobic, tác động nhẹ, cường độ vừa","Aerobic dance, low impact, moderate effort",4.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02006,adult,Bài tập thể lực,Conditioning Exercise,"Nhảy aerobic, tác động mạnh, cường độ cao","Aerobic dance, high impact, vigorous effort",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02007,adult,Bài tập thể lực,Conditioning Exercise,Nhảy aerobic mặc 10-15 lb weights,Aerobic dance wearing 10-15 lb weights,10.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02008,adult,Bài tập thể lực,Conditioning Exercise,"Tập vượt chướng ngại vật kiểu quân đội, chương trình tập boot camp","Army type obstacle course exercise, boot camp training program",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02020,adult,Bài tập thể lực,Conditioning Exercise,"Bài tập thể trọng (ví dụ: chống đẩy, gập bụng, kéo xà, jumping jack, burpee, battling dây), cường độ cao","Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",7.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02022,adult,Bài tập thể lực,Conditioning Exercise,"Bài tập thể trọng (ví dụ: chống đẩy, gập bụng, kéo xà, lunge), cường độ vừa","Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort",3.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02024,adult,Bài tập thể lực,Conditioning Exercise,"Bài tập thể trọng (ví dụ: gập bụng, gập bụng crunch, plank), cường độ nhẹ","Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02030,adult,Bài tập thể lực,Conditioning Exercise,"Bài tập thể trọng, nhẹ hoặc cường độ vừa, thông thường (ví dụ: back bài tập), đứng lên và hạ xuống sàn (Taylor Code 150)","Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02032,adult,Bài tập thể lực,Conditioning Exercise,"Tập luyện theo vòng, bài tập dùng trọng lượng cơ thể","Circuit training, body weight exercises",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02034,adult,Bài tập thể lực,Conditioning Exercise,"Tập luyện theo vòng, cường độ nhẹ","Circuit training, light effort",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02035,adult,Bài tập thể lực,Conditioning Exercise,"Tập luyện theo vòng, cường độ vừa","Circuit training, moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02040,adult,Bài tập thể lực,Conditioning Exercise,"Tập luyện theo vòng, bao gồm tạ ấm kettlebell, một số vận động aerobic với nghỉ rất ít, thông thường, cường độ cao","Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",7.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02045,adult,Bài tập thể lực,Conditioning Exercise,Chương trình tập Curves™ trong phụ nữ,Curves™ exercise routines in women,3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02048,adult,Bài tập thể lực,Conditioning Exercise,"Máy tập elliptical, cường độ vừa","Elliptical trainer, moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02049,adult,Bài tập thể lực,Conditioning Exercise,"Máy tập elliptical, cường độ cao","Elliptical trainer, vigorous effort",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02050,adult,Bài tập thể lực,Conditioning Exercise,"Tập kháng lực/nâng tạ (tạ tự do, máy Nautilus hoặc máy universal), powerlifting hoặc thể hình, cường độ cao (Taylor Code 210)","Resistance (weight lifting – free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210)",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02052,adult,Bài tập thể lực,Conditioning Exercise,"Tập kháng lực/tạ: squat, deadlift, động tác chậm hoặc bùng nổ","Resistance (weight) training, squats, deadlift, slow or explosive effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02054,adult,Bài tập thể lực,Conditioning Exercise,"Kháng lực (trọng lượng) tập luyện, nhiều bài tập, 8-15 lần lặp ở mức kháng lực thay đổi","Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02055,adult,Bài tập thể lực,Conditioning Exercise,"Tập kháng lực theo vòng, superset đối ứng, bài tập ngoại vi tim tác động","Resistance Training, circuit, reciprocal supersets, peripheral heart action training",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02056,adult,Bài tập thể lực,Conditioning Exercise,"Bài tập kháng lực bằng trọng lượng cơ thể (ví dụ: squat, lunge, chống đẩy, crunch), thông thường","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",3.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02057,adult,Bài tập thể lực,Conditioning Exercise,"Bài tập kháng lực bằng trọng lượng cơ thể (ví dụ: squat, lunge, chống đẩy, crunch), cường độ cao","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity",6.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02058,adult,Bài tập thể lực,Conditioning Exercise,Vung tạ ấm kettlebell,Kettlebell swings,9.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02060,adult,Bài tập thể lực,Conditioning Exercise,"Tập luyện tại phòng gym, thông thường (Taylor Code 160)","Health club exercise, general (Taylor Code 160)",5.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02061,adult,Bài tập thể lực,Conditioning Exercise,"Các lớp tập tại phòng gym, thông thường, gym/tập tạ kết hợp trong cùng một buổi tập","Health club exercise classes, general, gym/weight training combined in one visit",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02062,adult,Bài tập thể lực,Conditioning Exercise,"Tập luyện tại phòng gym, các lớp rèn luyện thể lực","Health club exercise, conditioning classes",7.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02064,adult,Bài tập thể lực,Conditioning Exercise,"Tập luyện tại nhà, thông thường","Home exercise, general",3.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02065,adult,Bài tập thể lực,Conditioning Exercise,"Máy tập mô phỏng leo cầu thang, thông thường","Stair treadmill ergometer, general",9.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02068,adult,Bài tập thể lực,Conditioning Exercise,"Nhảy dây tập luyện, thông thường","Rope skipping exercise, general",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02069,adult,Bài tập thể lực,Conditioning Exercise,"Nhảy dây, máy Digi-nhảy, 120 lần nhảy/phút","Jumping rope, Digi-Jump Machine, 120 jumps/minute",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02070,adult,Bài tập thể lực,Conditioning Exercise,"Chèo thuyền, tại chỗ máy đo công suất vận động, thông thường, cường độ cao","Rowing, stationary ergometer, general, vigorous effort",7.3,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02071,adult,Bài tập thể lực,Conditioning Exercise,"Chèo thuyền, tại chỗ máy đo công suất vận động, thông thường, <100 W, cường độ vừa","Rowing, stationary ergometer, general, <100 watts, moderate effort",5.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02072,adult,Bài tập thể lực,Conditioning Exercise,"Chèo thuyền, tại chỗ, 100–149 W, cường độ cao","Rowing, stationary, 100 to 149 watts, vigorous effort",7.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02073,adult,Bài tập thể lực,Conditioning Exercise,"Chèo thuyền, tại chỗ, 150–199 W, cường độ cao","Rowing, stationary, 150 to 199 watts, vigorous effort",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02074,adult,Bài tập thể lực,Conditioning Exercise,"Chèo thuyền, tại chỗ, ≥ 200 W, rất cường độ cao","Rowing, stationary, ≥ 200 watts, very vigorous effort",14.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02078,adult,Bài tập thể lực,Conditioning Exercise,"Chạy shuttle, tiến/lùi/ngang","Shuttle running, forward/backward/lateral",11.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02080,adult,Bài tập thể lực,Conditioning Exercise,"Ski máy, thông thường","Ski machine, general",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02082,adult,Bài tập thể lực,Conditioning Exercise,"Ski máy đo công suất vận động, băng đồng, dùng hai gậy trượt tuyết, tốc độ chậm đến vừa","Ski ergometer, cross country, double poling, slow to moderate speed",10.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02084,adult,Bài tập thể lực,Conditioning Exercise,"Ski máy đo công suất vận động, băng đồng, dùng hai gậy trượt tuyết, tốc độ nhanh đến tối đa","Ski ergometer, cross country, double poling, fast to maximum speed",18.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02085,adult,Bài tập thể lực,Conditioning Exercise,"Bài tập với ván trượt ngang, thông thường","Slide board exercise, general",10.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02090,adult,Bài tập thể lực,Conditioning Exercise,"Slimnastics, jazzercise","Slimnastics, jazzercise",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02101,adult,Bài tập thể lực,Conditioning Exercise,"Giãn cơ, nhẹ","Stretching, mild",2.3,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02103,adult,Bài tập thể lực,Conditioning Exercise,"Pilates, truyền thống, mat","Pilates, traditional, mat",1.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02105,adult,Bài tập thể lực,Conditioning Exercise,"Pilates, thông thường","Pilates, general",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02107,adult,Bài tập thể lực,Conditioning Exercise,"Pound Fitness, kết hợp Pilates, chuyển động cơ thể và đánh trống","Pound, combination of Pilates and body movements with drumming",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02108,adult,Bài tập thể lực,Conditioning Exercise,"Gậy/cột khiêu vũ, lớp tập luyện","Pole dancing, exercise class",4.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02110,adult,Bài tập thể lực,Conditioning Exercise,"Hướng dẫn lớp tập luyện (ví dụ: aerobic, nước)","Teaching exercise classes (e.g., aerobic, water)",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02112,adult,Bài tập thể lực,Conditioning Exercise,"Bóng tập trị liệu, bài tập với bóng thể lực","Therapeutic exercise ball, Fitball exercise",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02114,adult,Bài tập thể lực,Conditioning Exercise,"Bóng tập trị liệu, bài tập với bóng thể lực, cường độ cao","Therapeutic exercise ball, Fitball exercise, high intensity",9.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02115,adult,Bài tập thể lực,Conditioning Exercise,"Tập thân trên, máy tập quay tay, thông thường, cường độ nhẹ","Upper body exercise, arm ergometer, general, light",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02116,adult,Bài tập thể lực,Conditioning Exercise,"Máy tập quay tay, xe đạp tay, 15W","Arm Ergometer, hand bike, 15W",2.0,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02117,adult,Bài tập thể lực,Conditioning Exercise,"Máy tập quay tay, xe đạp tay, 25-30W","Arm Ergometer, hand bike, 25-30W",2.8,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02118,adult,Bài tập thể lực,Conditioning Exercise,"Máy tập quay tay, xe đạp tay, 45W","Arm Ergometer, hand bike, 45W",3.5,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02119,adult,Bài tập thể lực,Conditioning Exercise,"Tập thân trên, tại chỗ bicycle – Airdyne (chỉ dùng tay) 40 rpm, cường độ vừa","Upper body exercise, stationary bicycle – Airdyne (arms only) 40 rpm, moderate intensity",4.3,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02120,adult,Bài tập thể lực,Conditioning Exercise,"Aerobic dưới nước, bài tập thể trọng dưới nước, nước tập luyện","Water aerobics, water calisthenics, water exercise",5.3,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02135,adult,Bài tập thể lực,Conditioning Exercise,"Ngồi bồn xoáy nước, ngồi","Whirlpool, sitting",1.3,MET,3.5,ml/kg/min,sedentary,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02140,adult,Bài tập thể lực,Conditioning Exercise,"Video/bài tập thể lực trên TV (ví dụ: yoga, giãn cơ, bài tập ngồi), cường độ nhẹ","Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort",2.5,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02143,adult,Bài tập thể lực,Conditioning Exercise,"Video/bài tập thể lực trên TV (ví dụ: cardio và tập sức mạnh có kháng lực), cường độ vừa","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02145,adult,Bài tập thể lực,Conditioning Exercise,"Video/bài tập thể lực trên TV (ví dụ: cardio và tập sức mạnh có kháng lực), cường độ cao","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous",6.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02150,adult,Bài tập thể lực,Conditioning Exercise,"Yoga, Hatha","Yoga, Hatha",2.3,MET,3.5,ml/kg/min,light,True,False,False,https://pacompendium.com/conditioning-exercise
adult_02153,adult,Bài tập thể lực,Conditioning Exercise,"Yoga, Hatha, cường độ cao","Yoga, Hatha, high intensity",8.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/conditioning-exercise
adult_02155,adult,Bài tập thể lực,Conditioning Exercise,"Yoga, Hot","Yoga, Hot",3.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/conditioning-exercise
