rule_id,condition_code,condition_name_vi,condition_name_en,nutrient_code,evaluation_field,rule_type,rule_direction,priority,threshold_value,threshold_unit,threshold_basis,applies_when,recommendation_vi,clinical_caution_vi,source_name,source_url
general_healthy_adult_fiber_prioritize,general_healthy_adult,Người lớn khỏe mạnh bình thường,General Healthy Adult,fiber,fiber_g,prioritize,higher,medium,25.0,g/day,per_day,general_adult_guidance,Tiêu thụ ít nhất 25 g chất xơ hàng ngày từ thực phẩm nguồn gốc thực vật nguyên bản.,Cần uống đủ nước khi tiêu thụ khẩu phần ăn nhiều chất xơ.,WHO Healthy Diet Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
general_healthy_adult_saturated_fat_limit,general_healthy_adult,Người lớn khỏe mạnh bình thường,General Healthy Adult,saturated_fat,saturated_fat_g,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,"Giới hạn chất béo bão hòa dưới 10% tổng lượng calo hàng ngày, thay bằng chất béo chưa bão hòa đa.",AHA khuyến nghị mức 5-6% cho các đối tượng có cholesterol nguy cơ cao.,WHO Guidelines on Dietary Fats,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
general_healthy_adult_sodium_limit,general_healthy_adult,Người lớn khỏe mạnh bình thường,General Healthy Adult,sodium,sodium_mg,limit,lower,medium,2000.0,mg/day,per_day,general_adult_guidance,Giới hạn natri hàng ngày dưới 2000 mg để ngừa tăng huyết áp và giảm nguy cơ đột quỵ.,Mục tiêu y tế công cộng. Nhu cầu cá nhân có thể khác. Hãy hỏi bác sĩ nếu mắc bệnh tim thận.,WHO Sodium Guidelines,https://www.who.int/publications/i/item/9789241504836
general_healthy_adult_water_prioritize,general_healthy_adult,Người lớn khỏe mạnh bình thường,General Healthy Adult,water,water_g,prioritize,higher,medium,2000.0,ml/day,per_day,general_adult_guidance,Duy trì lượng chất lỏng (nước) tối thiểu 2 lít mỗi ngày để đảm bảo cấp nước và hoạt động trao đổi chất.,"Nhu cầu nước thực tế phụ thuộc vào khí hậu, mức vận động và tình trạng bệnh lý.",Dietary Guidelines for Americans,https://www.dietaryguidelines.gov/
gerd_total_fat_moderate,gerd,Trào ngược dạ dày thực quản,GERD / Acid Reflux,total_fat,fat_g,moderate,lower,medium,,individualized,individualized,general_adult_guidance,Hạn chế thực phẩm nhiều chất béo và các bữa ăn nhiều dầu mỡ lớn gây chậm làm rỗng dạ dày.,Các bữa ăn nhiều béo làm tăng triệu chứng trào ngược do kéo dài thời gian căng dạ dày.,NIDDK GERD Eating Guide,https://www.niddk.nih.gov/health-information/digestive-diseases/acid-reflux-ger-gerd-adults/eating-diet-nutrition
gout_purine_limit,gout,Bệnh gout,Gout,purine,purine_mg,limit,lower,high,,individualized,individualized,doctor_or_dietitian_required,"Hạn chế các thực phẩm giàu purine (như thịt đỏ, nội tạng và một số loại hải sản) để tránh bùng phát axit uric.",Hướng dẫn chung. Nồng độ axit uric phụ thuộc nhiều vào đào thải. Tránh nhịn ăn quá mức vì có thể gây tăng axit uric.,NIAMS NIH Gout Info,https://www.niams.nih.gov/health-topics/gout
heart_failure_sodium_limit,heart_failure,Suy tim,Heart Failure,sodium,sodium_mg,limit,lower,high,2000.0,mg/day,per_day,doctor_or_dietitian_required,Hạn chế nghiêm ngặt natri dưới 2000 mg/ngày để giảm tích tụ dịch và gánh nặng cho tim.,Bệnh nhân suy tim phải nhận mục tiêu cá nhân từ bác sĩ tim mạch. Giới hạn quá mức (<1500mg) gây tranh cãi ở một số giai đoạn.,ACC/AHA Heart Failure Guidelines,https://www.jacc.org/doi/10.1016/j.jacc.2022.02.010
heart_failure_water_individualize,heart_failure,Suy tim,Heart Failure,water,water_g,individualize,individualized,high,,individualized,individualized,doctor_or_dietitian_required,Theo dõi và hạn chế tổng lượng nước uống dưới sự giám sát của bác sĩ để ngăn thừa dịch.,Giới hạn dịch (ví dụ 1.5 - 2.0 lít/ngày) tùy thuộc giai đoạn bệnh và phải do bác sĩ chỉ định.,AHA Heart Failure Care,https://www.jacc.org/doi/10.1016/j.jacc.2022.02.010
high_uric_acid_purine_limit,high_uric_acid,Axit uric máu cao,High Uric Acid,purine,purine_mg,limit,lower,high,,individualized,individualized,general_adult_guidance,Tiết chế nhân purine để duy trì nồng độ axit uric trong máu ổn định.,Hướng dẫn chung. Cơn gout lâm sàng bùng phát cần quản lý cá nhân hóa.,NIH Gout Info Guidelines,https://www.niams.nih.gov/health-topics/gout
high_uric_acid_water_prioritize,high_uric_acid,Axit uric máu cao,High Uric Acid,water,water_g,prioritize,higher,high,2500.0,ml/day,per_day,general_adult_guidance,Ưu tiên uống nhiều nước (2.5+ lít mỗi ngày) để tăng cường đào thải axit uric qua thận.,Đảm bảo lượng nước nạp vào được chia đều trong ngày.,NIH Gout and Uric Acid Info,https://www.niams.nih.gov/health-topics/gout
hyperlipidemia_saturated_fat_limit,hyperlipidemia,Rối loạn mỡ máu,Hyperlipidemia,saturated_fat,saturated_fat_g,limit,lower,high,6.0,percent_calories,percent_of_daily_calories,high_blood_pressure,Giới hạn chất béo bão hòa ở mức 5% đến 6% tổng lượng calo hàng ngày cho người cần giảm cholesterol LDL.,Tham khảo ý kiến bác sĩ hoặc chuyên gia dinh dưỡng để tính toán lượng calo mục tiêu hàng ngày.,American Heart Association,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/saturated-fats
hyperlipidemia_trans_fat_avoid,hyperlipidemia,Rối loạn mỡ máu,Hyperlipidemia,trans_fat,trans_fat_g,avoid,avoid,high,0.0,g/day,per_day,general_adult_guidance,Tránh hoàn toàn chất béo chuyển hóa và dầu hydro hóa để bảo vệ mạch máu.,Đọc kỹ nhãn thực phẩm; chất béo chuyển hóa làm tăng đáng kể nguy cơ bệnh tim.,WHO Guidelines on Fats,https://www.who.int/news-room/fact-sheets/detail/fats-and-fatty-acids
hyperlipidemia_cholesterol_monitor,hyperlipidemia,Rối loạn mỡ máu,Hyperlipidemia,cholesterol,cholesterol_mg,monitor,monitor,low,,individualized,individualized,blood_test_dependent,"Theo dõi lượng cholesterol nạp vào, đặc biệt nếu bạn bị tăng cholesterol máu hoặc tiểu đường.","Hướng dẫn chung. Dù chất béo bão hòa ảnh hưởng nhiều hơn đến lipid máu, cholesterol ăn vào vẫn nên theo dõi ở người nhạy cảm.",AHA/ACC Dietary Guidelines,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000732
hyperlipidemia_fiber_prioritize,hyperlipidemia,Rối loạn mỡ máu,Hyperlipidemia,fiber,fiber_g,prioritize,higher,medium,25.0,g/day,per_day,general_adult_guidance,Đảm bảo bổ sung đủ chất xơ hòa tan để hỗ trợ giảm nồng độ cholesterol trong máu.,Chất xơ hòa tan liên kết với axit mật trong ruột để giảm hấp thụ cholesterol.,American Heart Association Diet Recommendations,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/aha-diet-and-lifestyle-recommendations
hypertension_sodium_limit,hypertension,Cao huyết áp,Hypertension,sodium,sodium_mg,limit,lower,high,2300.0,mg/day,per_day,high_blood_pressure,Giới hạn lượng natri nạp vào dưới 2300 mg/ngày (mức lý tưởng là 1500 mg/ngày cho hầu hết người trưởng thành).,Hướng dẫn chung cho bệnh nhân cao huyết áp. Mục tiêu cá nhân có thể thay đổi. Bệnh nhân suy thận hoặc suy tim phải hỏi ý kiến bác sĩ.,American Heart Association,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure
hypertension_calcium_prioritize,hypertension,Cao huyết áp,Hypertension,calcium,calcium_mg,prioritize,higher,low,1000.0,mg/day,per_day,high_blood_pressure,Duy trì lượng canxi tiêu chuẩn (1000 mg/ngày) để hỗ trợ lợi ích hạ huyết áp của chế độ ăn DASH.,Tham khảo ý kiến bác sĩ nếu bị tăng canxi máu hoặc sỏi thận trước khi bổ sung thêm.,NIH NHLBI DASH Diet Guidance,https://www.nhlbi.nih.gov/education/dash-eating-plan
hypertension_fiber_prioritize,hypertension,Cao huyết áp,Hypertension,fiber,fiber_g,prioritize,higher,medium,25.0,g/day,per_day,high_blood_pressure,"Ưu tiên thực phẩm giàu chất xơ như ngũ cốc nguyên hạt, rau quả như một phần của chế độ ăn DASH.",Tăng lượng chất xơ từ từ cùng với việc uống đủ nước để tránh khó chịu đường tiêu hóa.,NIH NHLBI DASH Eating Plan,https://www.nhlbi.nih.gov/education/dash-eating-plan
hypertension_magnesium_prioritize,hypertension,Cao huyết áp,Hypertension,magnesium,magnesium_mg,prioritize,higher,medium,310.0,mg/day,per_day,high_blood_pressure,Đảm bảo bổ sung đủ magiê (310-420 mg/ngày) để hỗ trợ chức năng mạch máu và kiểm soát huyết áp.,Thừa magiê từ các thực phẩm bổ sung có thể gây tác dụng phụ; ưu tiên nguồn thực phẩm tự nhiên.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/
hypertension_potassium_prioritize,hypertension,Cao huyết áp,Hypertension,potassium,potassium_mg,prioritize,higher,medium,3500.0,mg/day,per_day,high_blood_pressure,Ưu tiên các thực phẩm giàu kali để giúp hạ huyết áp ở người trưởng thành bị cao huyết áp.,Bệnh nhân suy thận mạn (CKD) hoặc đang dùng thuốc giữ kali KHÔNG được tăng lượng kali mà không có hướng dẫn của bác sĩ.,WHO Potassium Intake Guidelines,https://www.who.int/publications/i/item/9789241504829
hypertension_saturated_fat_limit,hypertension,Cao huyết áp,Hypertension,saturated_fat,saturated_fat_g,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,Giới hạn chất béo bão hòa dưới 10% tổng năng lượng nạp vào hàng ngày.,Sử dụng cho bộ lọc MVP chung. Xác nhận lượng calo mục tiêu với chuyên gia dinh dưỡng.,WHO Guidelines,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
ibs_sensitive_digestion_fiber_monitor,ibs_sensitive_digestion,Hội chứng ruột kích thích / Tiêu hóa nhạy cảm,Irritable Bowel Syndrome / Sensitive Digestion,fiber,fiber_g,monitor,monitor,high,,individualized,individualized,general_adult_guidance,Theo dõi loại chất xơ nạp vào. Chất xơ hòa tan thường được dung nạp tốt hơn xơ không hòa tan đối với IBS.,Bổ sung chất xơ từ từ để xem mức dung nạp. Tránh dư thừa chất xơ không hòa tan khi bùng phát.,NIDDK IBS Diet Guide,https://www.niddk.nih.gov/health-information/digestive-diseases/irritable-bowel-syndrome-ibs/eating-diet-nutrition
kidney_stone_risk_water_prioritize,kidney_stone_risk,Nguy cơ sỏi thận,Kidney Stone Risk,water,water_g,prioritize,higher,high,2500.0,ml/day,per_day,general_adult_guidance,Ưu tiên uống nhiều nước (ít nhất 2.5 lít/ngày) để làm loãng nước tiểu và ngăn ngừa hình thành sỏi.,Đảm bảo uống nước đều trong ngày. Bệnh nhân suy tim hoặc suy thận nên hỏi ý kiến bác sĩ trước khi tăng nước.,NIDDK Kidney Stones Guide,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones/eating-diet-nutrition
kidney_stone_risk_calcium_monitor,kidney_stone_risk,Nguy cơ sỏi thận,Kidney Stone Risk,calcium,calcium_mg,monitor,monitor,medium,1000.0,mg/day,per_day,general_adult_guidance,Duy trì lượng canxi từ chế độ ăn bình thường (1000-1200 mg/ngày) để liên kết oxalate trong ruột.,KHÔNG hạn chế canxi ăn vào; lượng canxi thấp thực tế lại làm tăng nguy cơ sỏi do nhiều oxalate được hấp thu hơn.,NIDDK Kidney Stones Diet,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones/eating-diet-nutrition
kidney_stone_risk_sodium_limit,kidney_stone_risk,Nguy cơ sỏi thận,Kidney Stone Risk,sodium,sodium_mg,limit,lower,medium,2300.0,mg/day,per_day,general_adult_guidance,"Hạn chế lượng muối. Natri cao làm tăng lượng canxi bài tiết qua nước tiểu, làm tăng nguy cơ sỏi.",Giảm muối giúp phòng ngừa sỏi thận dạng canxi.,NIDDK Kidney Stones Diet,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones/eating-diet-nutrition
metabolic_syndrome_fiber_prioritize,metabolic_syndrome,Hội chứng chuyển hóa,Metabolic Syndrome,fiber,fiber_g,prioritize,higher,medium,25.0,g/day,per_day,general_adult_guidance,Ưu tiên thực phẩm giàu chất xơ để cải thiện sức khỏe chuyển hóa và điều hòa cân nặng.,Chất xơ hỗ trợ cải thiện các thông số lipid máu và giảm tăng đường huyết.,AHA/NHLBI Guidelines,https://www.ahajournals.org/doi/10.1161/circulationaha.105.169404
metabolic_syndrome_saturated_fat_limit,metabolic_syndrome,Hội chứng chuyển hóa,Metabolic Syndrome,saturated_fat,saturated_fat_g,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,Giới hạn chất béo bão hòa dưới 10% năng lượng để hỗ trợ kiểm soát mỡ máu.,Tập trung vào chất béo chưa bão hòa đơn và đa tốt cho tim mạch.,AHA/NHLBI Metabolic Statement,https://www.ahajournals.org/doi/10.1161/circulationaha.105.169404
obesity_calories_monitor,obesity,Béo phì,Obesity,calories,kcal_per_100g,monitor,monitor,high,,kcal/day,individualized,weight_loss_goal,"Theo dõi tổng lượng calo nạp vào để duy trì mức thâm hụt calo an toàn, được cá nhân hóa.",KHÔNG áp dụng thâm hụt calo quá mức. Mục tiêu an toàn phải hỗ trợ sức khỏe trao đổi chất.,CDC Weight Loss Eating Plan,https://www.cdc.gov/healthyweight/healthy_eating/index.html
obesity_protein_prioritize,obesity,Béo phì,Obesity,protein,protein_g,prioritize,higher,low,,individualized,individualized,weight_loss_goal,Ưu tiên thực phẩm giàu đạm để hỗ trợ bảo tồn khối cơ và tạo cảm giác no khi giảm cân.,Đảm bảo lượng đạm cân bằng. Bệnh nhân suy thận KHÔNG được ăn quá nhiều đạm.,Dietary Guidelines for Americans,https://www.dietaryguidelines.gov/
obesity_fiber_prioritize,obesity,Béo phì,Obesity,fiber,fiber_g,prioritize,higher,medium,25.0,g/day,per_day,weight_loss_goal,Ưu tiên thực phẩm giàu chất xơ để tăng cảm giác no và làm chậm làm rỗng dạ dày.,Chất xơ giúp điều hòa sự thèm ăn một cách tự nhiên và giảm calo nạp vào.,USDA Dietary Guidelines,https://www.dietaryguidelines.gov/
obesity_saturated_fat_limit,obesity,Béo phì,Obesity,saturated_fat,saturated_fat_g,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,weight_loss_goal,Tiết chế lượng chất béo bão hòa để phòng ngừa nguy cơ chuyển hóa tim mạch liên quan đến béo phì.,"Thâm hụt calo là ưu tiên, nhưng chất lượng chất béo cũng quan trọng cho tim mạch.",WHO Healthy Diet Plan,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
obesity_ultra_processed_food_limit,obesity,Béo phì,Obesity,ultra_processed_food,processing_level,limit,lower,medium,,individualized,individualized,weight_loss_goal,Hạn chế tiêu thụ thực phẩm siêu chế biến vốn kích thích vị giác mạnh và dễ dẫn đến ăn quá mức.,"Thay thế đồ ăn nhẹ chế biến bằng thực phẩm nguyên bản (các loại hạt, trái cây, rau).",Dietary Guidelines for Americans,https://www.dietaryguidelines.gov/
osteoporosis_risk_calcium_prioritize,osteoporosis_risk,Nguy cơ loãng xương,Osteoporosis Risk,calcium,calcium_mg,prioritize,higher,high,1200.0,mg/day,per_day,general_adult_guidance,Đảm bảo lượng canxi từ chế độ ăn uống (1000-1200 mg/ngày tùy theo tuổi/giới) để bảo vệ mật độ xương.,Không vượt quá giới hạn tối đa (2000-2500 mg/ngày) do nguy cơ tim mạch và sỏi thận. Bệnh nhân suy thận cần hướng dẫn của chuyên gia.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/
osteoporosis_risk_protein_monitor,osteoporosis_risk,Nguy cơ loãng xương,Osteoporosis Risk,protein,protein_g,monitor,monitor,low,,individualized,individualized,general_adult_guidance,Đảm bảo lượng đạm đầy đủ nhưng không quá thừa để hỗ trợ cấu trúc nền xương.,"Ăn quá nhiều đạm có thể tăng canxi niệu, trong khi đạm thấp làm suy yếu cấu trúc xương.",NIH Osteoporosis Guidelines,https://www.bones.nih.gov/health-info/bone/osteoporosis/overview
osteoporosis_risk_sodium_limit,osteoporosis_risk,Nguy cơ loãng xương,Osteoporosis Risk,sodium,sodium_mg,limit,lower,low,2300.0,mg/day,per_day,general_adult_guidance,"Tiết chế lượng natri nạp vào, do ăn nhiều muối có thể làm tăng đào thải canxi qua nước tiểu.",Giảm muối có lợi cho cả kiểm soát huyết áp và duy trì canxi.,NIH Osteoporosis Guidelines,https://www.bones.nih.gov/health-info/bone/osteoporosis/overview
