dish_id,dish_name_vi,dish_name_en,dish_category,meal_type,region,serving_size_g,estimated_kcal,protein_g,fat_g,carb_g,fiber_g,sodium_mg,source,confidence_level,notes
DISH000016,Hủ tiếu Nam Vang,Hu tieu Nam Vang noodles,noodle/phở/bún dishes,breakfast_lunch_dinner,South,580,313.5,17.87,10.34,36.46,0.7,78.7,ingredient_estimate,medium,"Noodle soup topped with minced pork, pork liver, and quail eggs."
DISH000017,Phở xào bò,Stir-fried pho with beef,noodle/phở/bún dishes,lunch_dinner,Nationwide,450,634.2,20.88,32.4,64.92,1.44,465.2,ingredient_estimate,medium,Pan-fried pho noodles tossed with beef and vegetables.
DISH000018,Cháo gà,Chicken congee,porridge/congee,breakfast_dinner,Nationwide,400,340.1,14.96,14.2,38.17,0.24,315.55,ingredient_estimate,medium,Smooth rice congee slow-cooked with bone broth and shredded chicken.
DISH000019,Cháo thịt bằm,Minced pork congee,porridge/congee,breakfast_dinner,Nationwide,400,281.8,13.87,7.91,38.17,0.24,54.85,ingredient_estimate,medium,Rice congee with seasoned minced pork and green onions.
DISH000020,Cháo cá lóc,Snakehead fish congee,porridge/congee,breakfast_dinner,South,420,244.3,17.46,2.43,38.21,0.36,29.05,ingredient_estimate,high,Rice congee with boiled snakehead fish slices and fresh ginger.
DISH000021,Cháo sườn,Pork rib congee,porridge/congee,breakfast_dinner,North,380,299.9,14.95,9.39,38.17,0.24,60.55,ingredient_estimate,medium,Congee cooked from ground rice with soft baby pork ribs.
DISH000022,Canh chua cá,Vietnamese sour fish soup,soups/canh,lunch_dinner,South,350,108.8,16.56,2.3,5.52,0.56,11.2,ingredient_estimate,high,"Tamarind-based soup with fish, okra, pineapple, and tomatoes."
DISH000023,Canh bí đỏ,Pumpkin soup with minced pork,soups/canh,lunch_dinner,Nationwide,300,105.1,5.98,4.61,9.37,1.08,139.45,ingredient_estimate,medium,Hearty sweet pumpkin soup cooked with minced pork.
DISH000024,Canh cải ngọt thịt bằm,Mustard greens soup with minced pork,soups/canh,lunch_dinner,Nationwide,280,83.1,7.51,4.69,2.38,2.23,53.32,ingredient_estimate,medium,Light daily soup cooked with mustard greens and minced pork.
DISH000025,Canh khoai mỡ,Purple yam soup with minced pork,soups/canh,lunch_dinner,South,300,217.2,7.63,4.74,35.5,1.71,17.95,ingredient_estimate,medium,Sticky purple yam soup cooked with pork and culantro.
DISH000026,Canh mướp đắng nhồi thịt,Stuffed bitter melon soup,soups/canh,lunch_dinner,South,350,168.8,13.56,9.18,7.45,2.0,117.2,ingredient_estimate,medium,Bitter melon stuffed with seasoned ground pork in clear broth.
DISH000027,Canh chua nghêu,Sour clam soup,soups/canh,lunch_dinner,North,300,58.7,4.12,0.71,8.94,0.56,65.95,ingredient_estimate,high,"Tangy sour soup cooked with fresh clams, pineapple, and tomato."
DISH000028,Rau muống xào tỏi,Stir-fried water spinach with garlic,stir-fried dishes,lunch_dinner,Nationwide,180,141.8,5.72,10.66,5.66,1.75,61.0,ingredient_estimate,medium,Garlicky water spinach stir-fried in hot wok.
DISH000029,Bông bí xào tỏi,Stir-fried pumpkin flowers with garlic,stir-fried dishes,lunch_dinner,Central,150,136.9,0.99,10.15,10.23,1.06,107.1,ingredient_estimate,medium,Tender pumpkin blossoms quickly stir-fried with garlic.
DISH000030,Thịt bò xào bông cải,Stir-fried beef with broccoli,stir-fried dishes,lunch_dinner,Nationwide,250,341.6,17.17,26.62,8.35,1.43,410.9,ingredient_estimate,medium,Sautéed beef slices tossed with broccoli florets.
DISH000031,Mực xào cần tỏi,Stir-fried squid with celery and leek,stir-fried dishes,lunch_dinner,Nationwide,220,216.8,20.3,11.1,9.05,1.57,140.9,ingredient_estimate,medium,"Squid stir-fried with fresh celery stalks, leek, and garlic."
DISH000032,Khổ qua xào trứng,Stir-fried bitter melon with egg,stir-fried dishes,lunch_dinner,South,180,191.9,8.48,16.01,3.61,1.32,142.6,ingredient_estimate,high,Crisp bitter melon slices scrambled with chicken eggs.
DISH000033,Cá kho tộ,Claypot braised fish,protein dishes,lunch_dinner,South,180,197.2,30.3,4.05,9.93,0.0,0.0,ingredient_estimate,high,Traditional fish steaks slow-braised in sticky caramel fish sauce.
DISH000034,Thịt kho trứng,Braised pork with eggs (Thit kho tau),protein dishes,lunch_dinner,South,220,428.4,36.98,27.98,5.21,0.0,164.5,ingredient_estimate,medium,Braised pork belly blocks cooked with boiled chicken eggs in coconut juice.
DISH000035,Đậu hũ sốt cà,Tofu in tomato sauce,protein dishes,lunch_dinner,Nationwide,200,217.7,13.5,16.59,3.64,1.04,96.0,ingredient_estimate,high,Crispy fried tofu blocks simmered in fresh tomato sauce.
DISH000036,Gà kho sả ớt,Braised chicken with lemongrass and chili,protein dishes,lunch_dinner,South,180,418.5,27.75,34.2,0.0,0.0,723.0,ingredient_estimate,low,Savory chicken pieces braised with lemongrass and birds eye chili.
DISH000037,Sườn rim mặn ngọt,Sweet and sour baby back ribs,protein dishes,lunch_dinner,North,200,409.2,31.47,23.68,15.95,0.28,91.4,ingredient_estimate,medium,Caramelized pork rib lets in sweet and sour glaze.
DISH000038,Thịt heo luộc,Boiled pork slices,protein dishes,lunch_dinner,Nationwide,120,253.2,21.86,17.75,0.0,0.0,68.4,ingredient_estimate,medium,"Tender boiled pork belly slices, served with fish sauce."
DISH000039,Bò kho,Vietnamese beef stew,protein dishes,breakfast_lunch_dinner,South,350,424.5,28.35,31.1,7.8,1.2,764.5,ingredient_estimate,low,"Aromatic beef stew with carrots, lemongrass, and star anise."
DISH000040,Gỏi đu đủ tai heo,Papaya salad with pork ear,vegetables,snack_lunch_dinner,South,250,225.9,17.13,13.32,8.45,3.25,144.8,ingredient_estimate,medium,Shredded green papaya tossed with boiled pork ears and herbs.
DISH000041,Nộm hoa chuối,Banana flower salad,vegetables,snack_lunch_dinner,North,200,200.5,13.15,13.57,6.45,3.05,196.9,ingredient_estimate,medium,Crisp banana flower strips with herbs and roasted peanuts.
DISH000042,Đậu cô ve luộc,Boiled green beans,vegetables,lunch_dinner,Nationwide,150,109.5,7.5,0.41,19.95,1.5,144.0,ingredient_estimate,high,Quick-boiled fresh green beans.
DISH000043,Khoai lang luộc,Boiled sweet potato,vegetables,breakfast_snack,Nationwide,150,174.0,1.8,0.45,40.65,1.2,0.0,ingredient_estimate,high,Healthy boiled sweet potato tuber.
DISH000044,Rau củ luộc kho quẹt,Boiled vegetables with caramelized dip,vegetables,lunch_dinner,South,300,133.3,10.77,4.74,11.4,2.2,92.1,ingredient_estimate,medium,Assorted boiled root vegetables dipped in sweet-savory caramelized dip.
DISH000045,Bánh mì thịt,Vietnamese pork baguette,snacks/cakes,breakfast_snack,Nationwide,180,361.7,17.31,13.39,42.95,0.37,5.5,ingredient_estimate,high,"Baguette stuffed with pork meat, cucumber, coriander, and pate."
DISH000046,Gỏi cuốn,Fresh salad rolls,snacks/cakes,breakfast_snack,South,160,242.0,16.3,6.68,28.63,0.35,190.0,ingredient_estimate,medium,"Translucent rice paper rolls filled with pork, shrimp, and herbs."
DISH000047,Chả giò,Fried spring rolls (Nem ran),snacks/cakes,snack_lunch_dinner,Nationwide,150,534.9,16.44,41.8,22.28,0.8,52.6,ingredient_estimate,medium,Crispy fried rice paper rolls stuffed with minced pork and mushrooms.
DISH000048,Bánh xèo,Vietnamese savory crepe,snacks/cakes,snack_lunch_dinner,South,300,617.1,23.59,28.55,65.76,0.32,237.5,ingredient_estimate,medium,"Crispy turmeric crepe stuffed with pork, shrimp, and bean sprouts."
DISH000049,Bánh cuốn nhân thịt,Steamed rice rolls with pork,snacks/cakes,breakfast_snack,North,250,357.3,15.63,7.65,55.82,0.94,35.5,ingredient_estimate,medium,Rice sheets rolled with minced pork and wood-ear mushrooms.
DISH000050,Bánh giò,Pyramidal steamed rice cake,snacks/cakes,breakfast_snack,North,150,294.5,12.43,7.24,44.39,0.55,40.4,ingredient_estimate,medium,"Steamed banana leaf parcel containing rice flour dough, minced pork, and quail egg."
DISH000051,Bánh chưng,Square sticky rice cake,snacks/cakes,breakfast_snack,North,250,832.5,29.51,15.54,143.55,1.3,76.5,ingredient_estimate,medium,Square boiled glutinous rice cake stuffed with fatty pork and mung bean.
DISH000052,Bánh tét,Cylindrical sticky rice cake,snacks/cakes,breakfast_snack,South,250,832.5,29.51,15.54,143.55,1.3,76.5,ingredient_estimate,medium,"Boiled log of glutinous rice, fatty pork and mung bean wrapped in banana leaf."
DISH000053,Sữa chua,Yogurt,basic drinks,snack,Nationwide,100,61.0,3.3,3.7,3.6,0.0,46.0,ingredient_estimate,high,A single tub of plain sweetened Vietnamese yogurt.
DISH000054,Sinh tố bơ,Avocado smoothie,basic drinks,snack,Nationwide,250,263.6,8.49,14.48,24.96,0.48,380.0,ingredient_estimate,medium,"Smoothie of fresh avocado, sweetened condensed milk, and fresh milk."
DISH000055,Sữa chua nếp cẩm,Yogurt with black glutinous rice,basic drinks,snack,North,180,272.7,7.6,4.45,50.78,0.3,61.5,ingredient_estimate,high,Yogurt topped with slow-simmered sweet black glutinous rice pudding.
DISH000056,Nước mía,Sugarcane juice,basic drinks,snack,Nationwide,250,2.6,0.09,0.0,0.55,0.41,0.0,ingredient_estimate,low,Sugarcane juice pressed with a touch of calamansi citrus.
DISH000057,Chè đỗ đen,Black bean sweet soup,basic drinks,snack,Nationwide,250,229.2,9.68,0.68,46.14,1.6,0.0,ingredient_estimate,medium,Traditional dessert of boiled black beans sweetened with sugar.
DISH000058,Sinh tố xoài,Mango smoothie,basic drinks,snack,Nationwide,250,249.2,7.05,7.4,38.52,2.16,405.2,ingredient_estimate,high,Sweet blended mango with condensed milk and ice.
DISH000059,Trứng chiên,Vietnamese fried egg omelet,protein dishes,breakfast_lunch_dinner,Nationwide,110,239.0,15.1,19.58,0.5,0.0,158.0,ingredient_estimate,high,A simple home-cooked omelet fried with fish sauce.
DISH000060,Ức gà luộc,Boiled chicken breast,protein dishes,breakfast_lunch_dinner,Nationwide,150,409.5,25.5,34.2,0.0,0.0,723.0,ingredient_estimate,medium,Healthy boiled chicken breast slices without skin.
