food_id,canonical_food_id,source_name,source_food_id,source_priority,name_vi,name_en,display_name,category_vi,category_en,item_type,processing_level,is_core_food,is_branded,brand_name,recommendation_priority,waste_percent,water_g,kcal_per_100g,protein_g,fat_g,carb_g,fiber_g,sugar_g,ash_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,iron_mg,magnesium_mg,zinc_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,purine_mg,preferred_source,needs_manual_review,review_reason,search_text_vi,search_text_en,fallback_source_name,fallback_source_food_id,fallback_reason,nutrient_source_note
FOOD000011,CANON000011,VTN_FCT_2007,1002,1,Bánh đúc,Rice pudding,Bánh đúc,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,86.8,52.0,0.9,0.3,11.3,0.1,,0.6,,,19.0,50.0,0.4,,,0.0,,,,VTN_FCT_2007,False,,Tên: Bánh đúc. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01002.,Name: Rice pudding. Category: Cereal and cereal products. Code: 01002.,,,,
FOOD000012,CANON000012,VTN_FCT_2007,1003,1,Bánh mì,French bread,Bánh mì,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,37.2,249.0,7.9,0.8,52.6,0.2,0.31,1.3,2.0,100.0,164.0,28.0,2.0,25.0,0.85,0.0,0.244,,,VTN_FCT_2007,True,usda_fallback_used,"Tên: Bánh mì. Nhóm: Ngũ cốc và sản phẩm chế biến. Type: raw_ingredient. Processing level: minimally_processed. Nutrition per 100g: kcal 249.0, protein 7.9, fat 0.8, carb 52.6. Fallbacked nutrients from USDA: sugar_g, sodium_mg, potassium_mg, magnesium_mg, zinc_mg, saturated_fat_g.",Name: French bread. Category: Cereal and cereal products. Code: 01003.,SR Legacy,168913.0,missing_local_nutrient,Fallbacked to USDA for: sugar_g; sodium_mg; potassium_mg; magnesium_mg; zinc_mg; saturated_fat_g
FOOD000013,CANON000013,VTN_FCT_2007,1005,1,Bánh phở,Rice noodles,Bánh phở,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,64.3,143.0,3.2,0.4,31.7,0.0,0.03,0.4,31.0,15.0,64.0,16.0,0.3,3.0,0.25,0.0,0.023,,0.0,VTN_FCT_2007,True,usda_fallback_used,"Tên: Bánh phở. Nhóm: Ngũ cốc và sản phẩm chế biến. Type: raw_ingredient. Processing level: minimally_processed. Nutrition per 100g: kcal 143.0, protein 3.2, fat 0.4, carb 31.7. Fallbacked nutrients from USDA: sugar_g, magnesium_mg, zinc_mg, saturated_fat_g.",Name: Rice noodles. Category: Cereal and cereal products. Code: 01005.,SR Legacy,168914.0,missing_local_nutrient,Fallbacked to USDA for: sugar_g; magnesium_mg; zinc_mg; saturated_fat_g
FOOD000014,CANON000014,VTN_FCT_2007,1006,1,Bánh quẩy,Wheat fritters twisted fried,Bánh quẩy,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,38.7,292.0,8.0,10.8,40.7,0.7,,1.1,973.0,194.0,156.0,7.0,0.89,13.0,2.45,0.0,8.38,,0.0,VTN_FCT_2007,True,usda_fallback_used,"Tên: Bánh quẩy. Nhóm: Ngũ cốc và sản phẩm chế biến. Type: raw_ingredient. Processing level: minimally_processed. Nutrition per 100g: kcal 292.0, protein 8.0, fat 10.8, carb 40.7. Fallbacked nutrients from USDA: sodium_mg, potassium_mg, phosphorus_mg, calcium_mg, iron_mg, magnesium_mg, zinc_mg, saturated_fat_g.",Name: Wheat fritters twisted fried. Category: Cereal and cereal products. Code: 01006.,SR Legacy,168289.0,missing_local_nutrient,Fallbacked to USDA for: sodium_mg; potassium_mg; phosphorus_mg; calcium_mg; iron_mg; magnesium_mg; zinc_mg; saturated_fat_g
FOOD000015,CANON000015,VTN_FCT_2007,1007,1,Bỏng ngô,Corn flakes,Bỏng ngô,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,3.0,372.0,8.6,1.6,80.8,3.4,,2.6,,,47.0,31.0,0.6,,,0.0,,,,VTN_FCT_2007,False,,Tên: Bỏng ngô. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01007.,Name: Corn flakes. Category: Cereal and cereal products. Code: 01007.,,,,
FOOD000016,CANON000016,VTN_FCT_2007,1008,1,Bún,Rice vermicelli,Bún,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,72.0,110.0,1.7,,25.7,0.5,,0.1,,,32.0,12.0,0.2,,,0.0,,,,VTN_FCT_2007,False,,Tên: Bún. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01008.,Name: Rice vermicelli. Category: Cereal and cereal products. Code: 01008.,,,,
FOOD000017,CANON000017,VTN_FCT_2007,1009,1,Cốm,"Rice, unriped. Raw",Cốm,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,25.0,297.0,6.1,0.8,66.3,0.6,0.73,1.2,3.0,101.0,143.0,24.0,1.0,32.0,1.34,0.0,0.049,,,VTN_FCT_2007,True,usda_fallback_used,"Tên: Cốm. Nhóm: Ngũ cốc và sản phẩm chế biến. Type: raw_ingredient. Processing level: minimally_processed. Nutrition per 100g: kcal 297.0, protein 6.1, fat 0.8, carb 66.3. Fallbacked nutrients from USDA: sugar_g, sodium_mg, potassium_mg, magnesium_mg, zinc_mg, saturated_fat_g.","Name: Rice, unriped. Raw. Category: Cereal and cereal products. Code: 01009.",SR Legacy,168897.0,missing_local_nutrient,Fallbacked to USDA for: sugar_g; sodium_mg; potassium_mg; magnesium_mg; zinc_mg; saturated_fat_g
FOOD000018,CANON000018,VTN_FCT_2007,1010,1,Cơm gạo tẻ máy,Cooked rice,Cơm gạo tẻ máy,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,70.0,130.0,2.99,0.38,28.68,0.15,0.05,0.3,19.27,91.08,39.3,11.34,0.49,5.29,0.57,0.0,0.039,,,VTN_FCT_2007,True,usda_fallback_used,"Tên: Cơm gạo tẻ máy. Nhóm: Ngũ cốc và sản phẩm chế biến. Type: raw_ingredient. Processing level: minimally_processed. Nutrition per 100g: kcal 130.0, protein 2.99, fat 0.38, carb 28.68. Fallbacked nutrients from USDA: sugar_g, saturated_fat_g.",Name: Cooked rice. Category: Cereal and cereal products. Code: 01010.,SR Legacy,169711.0,missing_local_nutrient,Fallbacked to USDA for: sugar_g; saturated_fat_g
FOOD000019,CANON000019,VTN_FCT_2007,1011,1,Gạo nếp cái,"Glutinous rice, milled",Gạo nếp cái,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,14.0,344.0,8.6,1.5,74.5,0.6,,0.8,31.0,282.0,98.0,32.0,1.2,17.0,2.2,0.0,,,,VTN_FCT_2007,False,,Tên: Gạo nếp cái. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01011.,"Name: Glutinous rice, milled. Category: Cereal and cereal products. Code: 01011.",,,,
FOOD000020,CANON000020,VTN_FCT_2007,1012,1,Gạo lứt,"Rice, brown or hulled",Gạo lứt,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,12.4,345.0,7.5,2.7,72.8,3.4,0.0,1.3,52.0,202.0,246.0,16.0,2.8,52.0,1.9,0.0,0.203,0.002,,VTN_FCT_2007,True,usda_fallback_used,"Tên: Gạo lứt. Nhóm: Ngũ cốc và sản phẩm chế biến. Type: raw_ingredient. Processing level: minimally_processed. Nutrition per 100g: kcal 345.0, protein 7.5, fat 2.7, carb 72.8. Fallbacked nutrients from USDA: sugar_g, saturated_fat_g, trans_fat_g.","Name: Rice, brown or hulled. Category: Cereal and cereal products. Code: 01012.",SR Legacy,172026.0,missing_local_nutrient,Fallbacked to USDA for: sugar_g; saturated_fat_g; trans_fat_g
FOOD000021,CANON000021,VTN_FCT_2007,1013,1,Gạo nếp máy (Loại thường),"Glutinous rice, milled",Gạo nếp máy (Loại thường),Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,13.9,346.0,8.4,1.6,74.9,0.5,,0.7,32.0,282.0,130.0,16.0,1.2,17.0,2.2,0.0,,,,VTN_FCT_2007,False,,Tên: Gạo nếp máy (Loại thường). Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01013.,"Name: Glutinous rice, milled. Category: Cereal and cereal products. Code: 01013.",,,,
FOOD000022,CANON000022,VTN_FCT_2007,1014,1,Gạo tẻ máy,Ordinary polished rice,Gạo tẻ máy,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,14.0,344.0,7.9,1.0,75.9,0.4,,0.8,51.0,241.0,104.0,30.0,1.3,14.0,1.5,0.0,,,,VTN_FCT_2007,False,,Tên: Gạo tẻ máy. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01014.,Name: Ordinary polished rice. Category: Cereal and cereal products. Code: 01014.,,,,
FOOD000023,CANON000023,VTN_FCT_2007,1015,1,Gạo tẻ giã,"Under milled, home-pounded rice",Gạo tẻ giã,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,14.0,344.0,8.1,1.3,75.0,0.7,,0.9,51.0,202.0,108.0,36.0,0.2,52.0,1.9,0.0,,,,VTN_FCT_2007,False,,Tên: Gạo tẻ giã. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01015.,"Name: Under milled, home-pounded rice. Category: Cereal and cereal products. Code: 01015.",,,,
FOOD000024,CANON000024,VTN_FCT_2007,1016,1,Bánh bao nhân thịt,,Bánh bao nhân thịt,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,44.0,219.0,6.1,0.5,47.5,0.5,,1.4,,,88.0,19.0,1.5,,,0.0,,,,VTN_FCT_2007,True,missing_english_name,Tên: Bánh bao nhân thịt. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01016.,Name: . Category: Cereal and cereal products. Code: 01016.,,,,
FOOD000025,CANON000025,VTN_FCT_2007,1017,1,Bột gạo nếp,Glutinous rice flour,Bột gạo nếp,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,10.0,362.0,8.2,1.6,78.8,0.6,,0.8,33.0,293.0,148.0,12.0,0.8,18.0,2.29,0.0,,,,VTN_FCT_2007,False,low_confidence_translation,Tên: Bột gạo nếp. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01017.,Name: Glutinous rice flour. Category: Cereal and cereal products. Code: 01017.,,,,
FOOD000026,CANON000026,VTN_FCT_2007,1018,1,Bột gạo tẻ,Rice ordinary flour,Bột gạo tẻ,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,10.0,359.0,6.6,0.4,82.2,0.4,,0.4,0.0,76.0,135.0,24.0,1.9,35.0,0.8,0.0,,,,VTN_FCT_2007,False,,Tên: Bột gạo tẻ. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01018.,Name: Rice ordinary flour. Category: Cereal and cereal products. Code: 01018.,,,,
FOOD000027,CANON000027,VTN_FCT_2007,1019,1,Bột mì,Wheat flour,Bột mì,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,14.0,346.0,10.3,1.1,73.6,0.3,,0.7,41.0,186.0,132.0,29.0,2.0,173.0,2.5,0.0,,,14.0,VTN_FCT_2007,False,low_confidence_translation,Tên: Bột mì. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01019.,Name: Wheat flour. Category: Cereal and cereal products. Code: 01019.,,,,
FOOD000028,CANON000028,VTN_FCT_2007,1020,1,Bột ngô vàng,Yellow maize flour,Bột ngô vàng,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,12.0,361.0,8.3,4.0,73.0,1.5,,1.2,53.0,315.0,170.0,15.0,2.1,93.0,1.73,0.0,,,,VTN_FCT_2007,False,,Tên: Bột ngô vàng. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01020.,Name: Yellow maize flour. Category: Cereal and cereal products. Code: 01020.,,,,
FOOD000029,CANON000029,VTN_FCT_2007,1021,1,Kê,Foxtail millet,Kê,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,2.0,14.0,331.0,7.0,3.0,69.0,3.4,,3.6,71.0,249.0,290.0,22.0,2.7,430.0,1.5,0.0,,,62.0,VTN_FCT_2007,False,,Tên: Kê. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01021.,Name: Foxtail millet. Category: Cereal and cereal products. Code: 01021.,,,,
FOOD000030,CANON000030,VTN_FCT_2007,1022,1,Mì sợi,Wheat noodles,Mì sợi,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,13.0,349.0,11.0,0.9,74.2,0.3,,0.6,,,97.0,34.0,1.5,,,0.0,,,,VTN_FCT_2007,False,,Tên: Mì sợi. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01022.,Name: Wheat noodles. Category: Cereal and cereal products. Code: 01022.,,,,
FOOD000031,CANON000031,VTN_FCT_2007,1023,1,Ngô bắp tươi,"Fresh maize seeds, raw",Ngô bắp tươi,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,45.0,52.0,196.0,4.1,2.3,39.6,1.2,1.7,0.8,35.0,306.0,170.0,45.0,0.6,39.0,1.4,0.0,,,52.0,VTN_FCT_2007,False,,Tên: Ngô bắp tươi. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01023.,"Name: Fresh maize seeds, raw. Category: Cereal and cereal products. Code: 01023.",,,,
FOOD000032,CANON000032,VTN_FCT_2007,1024,1,Ngô nếp luộc,"Glutinous maize, boiled",Ngô nếp luộc,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,50.0,59.0,167.0,3.9,2.2,32.9,1.2,,0.8,,,146.0,18.0,0.8,,,0.0,,,,VTN_FCT_2007,False,,Tên: Ngô nếp luộc. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01024.,"Name: Glutinous maize, boiled. Category: Cereal and cereal products. Code: 01024.",,,,
FOOD000033,CANON000033,VTN_FCT_2007,1025,1,Ngô vàng hạt khô,"Yellow maize, dried seeds",Ngô vàng hạt khô,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,2.0,14.0,354.0,8.6,4.7,69.4,2.0,0.64,1.3,35.0,287.0,190.0,30.0,2.3,127.0,2.21,0.0,,,,VTN_FCT_2007,False,,Tên: Ngô vàng hạt khô. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01025.,"Name: Yellow maize, dried seeds. Category: Cereal and cereal products. Code: 01025.",,,,
FOOD000034,CANON000034,VTN_FCT_2007,11001,1,Chuối nước đường,Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -,Chuối nước đường,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,83.9,58.0,0.5,0.0,13.9,1.3,,0.4,,,160.0,12.0,0.6,,,0.0,,,,VTN_FCT_2007,False,,Tên: Chuối nước đường. Nhóm: Đồ hộp. Mã: 11001.,Name: Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -. Category: Canned foods. Code: 11001.,,,,
FOOD000035,CANON000035,VTN_FCT_2007,11002,1,Dưa chuột hộp,Cucumber (canned),Dưa chuột hộp,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,94.1,8.0,0.3,0.2,1.2,3.1,1.06,1.1,1208.0,23.0,16.0,12.0,0.3,4.0,0.02,0.0,,,,VTN_FCT_2007,False,,Tên: Dưa chuột hộp. Nhóm: Đồ hộp. Mã: 11002.,Name: Cucumber (canned). Category: Canned foods. Code: 11002.,,,,
FOOD000036,CANON000036,VTN_FCT_2007,11003,1,Dứa hộp,Magiê (Magnesium) mg 16 3 TS acid béo không no nhiều nối đôi g 0.040 3,Dứa hộp,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,85.7,53.0,0.4,0.1,12.7,0.8,12.65,0.3,13.0,105.0,12.0,20.0,0.3,16.0,0.12,0.0,,,,VTN_FCT_2007,False,,Tên: Dứa hộp. Nhóm: Đồ hộp. Mã: 11003.,Name: Magiê (Magnesium) mg 16 3 TS acid béo không no nhiều nối đôi g 0.040 3. Category: Canned foods. Code: 11003.,,,,
FOOD000037,CANON000037,VTN_FCT_2007,11004,1,Lạc chao dầu,"Peanut, oil fried",Lạc chao dầu,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,1.8,680.0,25.7,59.5,10.3,,,2.7,,,,,,,,0.0,,,,VTN_FCT_2007,False,,Tên: Lạc chao dầu. Nhóm: Đồ hộp. Mã: 11004.,"Name: Peanut, oil fried. Category: Canned foods. Code: 11004.",,,,
FOOD000038,CANON000038,VTN_FCT_2007,11005,1,Mắc coọc nước đường,Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -,Mắc coọc nước đường,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,85.1,56.0,0.2,0.0,13.7,0.7,,0.3,,,16.0,20.0,0.4,,,0.0,,,,VTN_FCT_2007,False,,Tên: Mắc coọc nước đường. Nhóm: Đồ hộp. Mã: 11005.,Name: Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -. Category: Canned foods. Code: 11005.,,,,
FOOD000039,CANON000039,VTN_FCT_2007,11006,1,Mận nước đường,"Plum, canned, sweetened",Mận nước đường,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,10.0,83.0,64.0,0.4,0.1,15.4,0.9,15.35,0.2,20.0,93.0,15.0,16.0,0.86,5.0,0.08,0.0,,,,VTN_FCT_2007,False,,Tên: Mận nước đường. Nhóm: Đồ hộp. Mã: 11006.,"Name: Plum, canned, sweetened. Category: Canned foods. Code: 11006.",,,,
FOOD000040,CANON000040,VTN_FCT_2007,11007,1,Mứt bí ngô,Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -,Mứt bí ngô,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,49.4,198.0,0.5,0.0,49.1,0.7,,0.3,,,92.0,32.0,,,,0.0,,,,VTN_FCT_2007,False,,Tên: Mứt bí ngô. Nhóm: Đồ hộp. Mã: 11007.,Name: Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -. Category: Canned foods. Code: 11007.,,,,
FOOD000041,CANON000041,VTN_FCT_2007,11008,1,Mứt cam cã vỏ,"Orange marmalade, jellies",Mứt cam cã vỏ,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,42.8,218.0,0.4,0.0,54.2,2.2,,0.4,,,22.0,28.0,0.26,,,0.0,,,,VTN_FCT_2007,False,,Tên: Mứt cam cã vỏ. Nhóm: Đồ hộp. Mã: 11008.,"Name: Orange marmalade, jellies. Category: Canned foods. Code: 11008.",,,,
FOOD000042,CANON000042,VTN_FCT_2007,11009,1,Mứt chuối,Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -,Mứt chuối,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,43.8,218.0,0.7,0.0,53.9,1.3,,0.3,,,28.0,28.0,0.3,,,0.0,,,,VTN_FCT_2007,False,,Tên: Mứt chuối. Nhóm: Đồ hộp. Mã: 11009.,Name: Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -. Category: Canned foods. Code: 11009.,,,,
FOOD000043,CANON000043,VTN_FCT_2007,11010,1,Mứt dứa,Pineapple jam,Mứt dứa,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,47.2,208.0,0.5,0.0,51.5,0.4,,0.4,,,16.0,20.0,0.3,,,0.0,,,,VTN_FCT_2007,False,,Tên: Mứt dứa. Nhóm: Đồ hộp. Mã: 11010.,Name: Pineapple jam. Category: Canned foods. Code: 11010.,,,,
FOOD000044,CANON000044,VTN_FCT_2007,11011,1,Papaya jam,Papaya jam,Papaya jam,Đồ hộp,Canned foods,raw_ingredient,minimally_processed,True,False,,high,0.0,53.2,178.0,0.4,0.0,44.1,2.0,,0.3,,,30.0,24.0,,,,0.0,,,,VTN_FCT_2007,True,missing_vietnamese_name; missing Vietnamese food name,Tên: . Nhóm: Đồ hộp. Mã: 11011.,Name: Papaya jam. Category: Canned foods. Code: 11011.,,,,
